gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
553783,Emma Bungard,Affinity Gymnastics Academy,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,10.9,3.2,7.7,0,17,9.233,2.4,6.833,0,29,8.0,3.3,4.7,0.0,31,11.833,4.4,7.433,0.0,10,39.966,30,2023-05-13T08:30:18.739Z
531971,Klara McKeefry,Counties Manukau,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,11.0,2.4,8.6,0,12,10.1,2.1,8.0,0,16,11.0,2.6,8.4,0.0,11,10.566,3.4,7.166,0.0,29,42.666,16,2023-05-13T08:20:55.617Z
301398,Meshay Paulsen,Counties Manukau,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,12.3,3.4,8.9,0,3,11.766,3.9,7.866,0,5,10.733,3.8,7.033,0.1,16,11.4,4.0,7.4,0.0,16,46.199,5,2023-05-13T08:00:19.023Z
582297,Chelsea Brennan,Counties Manukau,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,12.4,3.4,9.0,0,2,12.066,3.9,8.166,0,1,11.966,4.2,7.766,0.0,2,11.966,3.9,8.066,0.0,9,48.398,2,2023-05-13T08:18:22.001Z
207338,Shavaun Harvey,Counties Manukau,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,10.733,2.4,8.333,0,20,11.933,3.5,8.433,0,4,11.833,4.4,7.533,0.1,3,11.8,3.5,8.3,0.0,12,46.299,4,2023-05-13T07:58:04.219Z
217121,Brianna Valent-Hay,Fantastic Gymnastics,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,10.833,2.4,8.433,0,18,9.966,2.4,7.566,0,18,8.333,3.2,5.233,0.1,29,11.233,3.2,8.033,0.0,20,40.365,28,2023-05-13T08:12:38.427Z
216501,Abby Powell,Howick Gymnastics Club,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,10.1,1.6,8.5,0,28,9.033,2.1,6.933,0,31,9.2,2.9,6.3,0.0,28,9.8,2.7,7.1,0.0,30,38.133,31,2023-05-13T08:11:27.201Z
242936,Betsy Lu,Howick Gymnastics Club,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,10.266,1.6,8.666,0,27,9.666,2.2,7.466,0,24,10.133,3.2,6.933,0.0,20,11.466,3.5,7.966,0.0,14,41.531,24,2023-05-13T08:15:22.892Z
226317,Taylor Whiting,Hutt Valley,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,10.733,2.4,8.333,0,20,10.433,3.4,7.033,0,11,9.9,2.3,7.6,0.0,21,11.033,3.6,7.433,0.0,24,42.099,21,2023-05-13T08:10:01.679Z
267024,Susannah Charlier,Hutt Valley,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,10.666,2.4,8.266,0,23,10.066,2.1,7.966,0,17,10.933,3.3,7.633,0.0,12,8.8,2.8,6.0,0.0,31,40.465,27,2023-05-13T08:09:20.666Z
188490,Makenzie Reddaway,Hutt Valley,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,11.133,2.6,8.533,0,9,10.666,2.4,8.266,0,10,11.2,3.2,8.0,0.0,5,11.133,3.2,7.933,0.0,22,44.132,9,2023-05-13T08:08:08.591Z
240902,Elizabeth Longhurst,Hutt Valley,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,11.0,1.6,9.4,0,12,12.066,3.5,8.566,0,1,11.2,3.6,7.6,0.0,5,12.733,4.0,8.733,0.0,3,46.999,3,2023-05-13T08:05:12.056Z
171683,Akaylia Jackson,Impact Gymnastics,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,9.633,1.6,8.033,0,31,11.3,3.1,8.2,0,6,9.433,3.0,6.433,0.0,26,11.4,3.5,7.9,0.0,16,41.766,22,2023-05-13T08:21:00.141Z
269827,Paige Pratt,Impact Gymnastics,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,11.8,3.4,8.4,0,5,12.033,3.5,8.533,0,3,12.0,4.2,7.8,0.0,1,12.866,4.3,8.566,0.0,1,48.699,1,2023-05-13T08:17:34.529Z
586091,Eleanor Barnes,Impact Gymnastics,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,10.733,1.6,9.133,0,20,10.233,2.4,7.833,0,13,9.433,3.2,6.233,0.0,26,10.933,3.8,7.433,0.3,25,41.332,25,2023-05-13T08:24:18.014Z
540311,Marissa Tan,NHG,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,10.1,1.6,8.5,0,28,9.333,2.1,7.233,0,27,11.166,4.2,6.966,0.0,7,11.166,3.4,7.766,0.0,21,41.765,23,2023-05-13T08:09:26.681Z
542097,Yuki Squires,NHG,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,10.566,1.6,8.966,0,24,11.2,2.7,8.5,0,8,11.833,3.5,8.333,0.0,3,10.7,2.9,7.8,0.0,27,44.299,8,2023-05-13T08:06:48.272Z
542048,Rebecca Andrewes,NHG,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,10.833,2.4,8.433,0,18,10.2,2.7,7.5,0,14,9.8,3.1,6.8,0.1,22,11.6,3.7,7.9,0.0,13,42.433,18,2023-05-13T08:16:22.969Z
542001,Jessica Handley,NHG,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,10.366,1.6,8.766,0,25,9.7,3.0,6.7,0,23,11.133,4.5,6.633,0.0,9,12.1,4.3,7.8,0.0,7,43.299,14,2023-05-13T08:05:42.378Z
542006,Kate Bisset,NHG,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,11.066,2.4,8.666,0,11,9.733,2.4,7.333,0,22,10.9,4.4,6.5,0.0,14,12.0,4.0,8.0,0.0,8,43.699,11,2023-05-13T08:27:46.227Z
542089,Taylor Jeffreys,NHG,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,10.333,2.4,7.933,0,26,10.366,2.4,7.966,0,12,10.933,3.0,7.933,0.0,12,11.3,3.4,7.9,0.0,18,42.932,15,2023-05-13T07:59:52.763Z
541973,Emma Smith,NHG,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,11.166,2.4,8.766,0,8,9.2,2.0,7.2,0,30,11.1,2.8,8.3,0.0,10,11.133,3.0,8.133,0.0,22,42.599,17,2023-05-13T08:07:01.060Z
540648,Sienna Thorburn,NHG,Step 7,OVER,2023 Tri Star Senior Champs,"AA, & Team - Day 1",,10.033,1.6,8.433,0,30,9.633,2.7,6.933,0,25,10.166,4.2,5.966,0.0,18,11.433,3.6,7.833,0.0,15,41.265,26,2023-05-13T08:03:26.193Z
