gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
553783,Emma Bungard,Affinity Gymnastics Academy,Step 7,OVER,2023 Tri Star Senior Champs,Apparatus - Day 2,,12.033,3.2,8.833,0,2,9.9,2.1,7.8,0,16,10.633,3.4,7.233,0,17,10.666,4.4,6.366,0.1,29,43.232,0,2023-05-14T04:51:55.999Z
531971,Klara McKeefry,Counties Manukau,Step 7,OVER,2023 Tri Star Senior Champs,Apparatus - Day 2,,11.0,2.4,8.6,0,14,8.466,1.4,7.066,0,29,10.866,2.7,8.166,0,15,11.8,3.8,8.0,0.0,15,42.132,0,2023-05-14T05:04:56.183Z
301398,Meshay Paulsen,Counties Manukau,Step 7,OVER,2023 Tri Star Senior Champs,Apparatus - Day 2,,12.033,3.4,8.633,0,2,9.8,2.4,7.4,0,18,10.933,3.9,7.033,0,13,12.166,4.3,7.866,0.0,9,44.932,0,2023-05-14T04:53:18.805Z
582297,Chelsea Brennan,Counties Manukau,Step 7,OVER,2023 Tri Star Senior Champs,Apparatus - Day 2,,11.7,3.4,8.3,0,6,11.233,3.2,8.033,0,5,10.566,3.6,6.966,0,19,12.366,4.0,8.366,0.0,7,45.865,0,2023-05-14T04:55:15.190Z
207338,Shavaun Harvey,Counties Manukau,Step 7,OVER,2023 Tri Star Senior Champs,Apparatus - Day 2,,10.733,2.4,8.333,0,20,9.033,2.1,6.933,0,26,11.7,4.4,7.3,0,6,11.933,3.5,8.433,0.0,12,43.399,0,2023-05-14T05:06:45.023Z
217121,Brianna Valent-Hay,Fantastic Gymnastics,Step 7,OVER,2023 Tri Star Senior Champs,Apparatus - Day 2,,10.533,2.4,8.133,0,26,10.033,2.1,7.933,0,15,7.766,2.8,4.966,0,30,10.966,3.2,7.766,0.0,26,39.298,0,2023-05-14T04:52:34.580Z
216501,Abby Powell,Howick Gymnastics Club,Step 7,OVER,2023 Tri Star Senior Champs,Apparatus - Day 2,,10.266,1.6,8.666,0,29,8.766,2.1,6.666,0,27,9.933,4.0,5.933,0,23,9.433,2.7,6.733,0.0,31,38.398,0,2023-05-14T04:38:26.966Z
242936,Betsy Lu,Howick Gymnastics Club,Step 7,OVER,2023 Tri Star Senior Champs,Apparatus - Day 2,,9.933,1.6,8.333,0,31,7.666,1.5,6.166,0,31,10.1,3.3,6.8,0,22,11.166,3.5,7.666,0.0,22,38.865,0,2023-05-14T04:42:22.408Z
226317,Taylor Whiting,Hutt Valley,Step 7,OVER,2023 Tri Star Senior Champs,Apparatus - Day 2,,11.133,2.4,8.733,0,10,10.533,2.5,8.033,0,9,8.5,1.7,6.8,0,29,11.533,3.7,7.833,0.0,18,41.699,0,2023-05-14T04:48:34.219Z
267024,Susannah Charlier,Hutt Valley,Step 7,OVER,2023 Tri Star Senior Champs,Apparatus - Day 2,,11.1,2.4,8.7,0,11,8.733,2.1,6.633,0,28,11.766,3.8,7.966,0,5,12.4,4.2,8.2,0.0,4,43.999,0,2023-05-14T04:54:30.477Z
188490,Makenzie Reddaway,Hutt Valley,Step 7,OVER,2023 Tri Star Senior Champs,Apparatus - Day 2,,10.666,2.6,8.066,0,21,10.7,2.4,8.3,0,7,11.2,3.2,8.0,0,11,10.666,3.2,7.466,0.0,29,43.232,0,2023-05-14T04:50:38.367Z
240902,Elizabeth Longhurst,Hutt Valley,Step 7,OVER,2023 Tri Star Senior Champs,Apparatus - Day 2,,10.866,1.6,9.266,0,17,12.0,3.6,8.4,0,1,11.9,4.1,7.8,0,4,12.4,4.0,8.4,0.0,4,47.166,0,2023-05-14T04:49:15.478Z
171683,Akaylia Jackson,Impact Gymnastics,Step 7,OVER,2023 Tri Star Senior Champs,Apparatus - Day 2,,10.6,1.6,9.0,0,23,10.066,3.1,6.966,0,14,11.633,3.7,7.933,0,7,11.0,3.5,7.5,0.0,25,43.299,0,2023-05-14T05:07:16.411Z
269827,Paige Pratt,Impact Gymnastics,Step 7,OVER,2023 Tri Star Senior Champs,Apparatus - Day 2,,11.633,3.4,8.233,0,7,11.333,3.1,8.233,0,3,9.166,4.0,5.166,0,27,12.4,4.3,8.1,0.0,4,44.532,0,2023-05-14T05:10:29.230Z
586091,Eleanor Barnes,Impact Gymnastics,Step 7,OVER,2023 Tri Star Senior Champs,Apparatus - Day 2,,10.566,1.6,8.966,0,24,10.4,2.4,8.0,0,10,12.1,4.3,7.8,0,2,11.866,3.7,8.166,0.0,13,44.932,0,2023-05-14T05:04:47.671Z
