gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
531987,Gurjeeya Kaur,Counties Manukau,STEP 8 - Day 1,OVER,CSG Classic 2023,All Around and Team,,11.766,3.2,8.566,0,4,10.833,2.3,8.533,0,4,12.233,4.0,8.233,0,2,11.633,4.1,7.533,0.0,2,46.465,1,2023-04-14T06:14:18.405Z
222114,Zuzanna Kochan,Dunedin Gymnastics Academy,STEP 8 - Day 1,OVER,CSG Classic 2023,All Around and Team,,11.366,3.2,8.166,0,8,9.9,2.6,7.3,0,10,10.9,3.2,7.7,0,5,11.133,3.3,7.833,0.0,7,43.299,7,2023-04-14T06:18:57.353Z
220976,Anna Elliott,Hutt Valley Gymnastics Club,STEP 8 - Day 1,OVER,CSG Classic 2023,All Around and Team,,11.7,3.2,8.5,0,5,10.8,2.4,8.4,0,5,11.1,3.6,7.5,0,3,11.266,3.5,7.766,0.0,5,44.866,3,2023-04-14T05:58:39.864Z
208819,Charlie Simmons,Hutt Valley Gymnastics Club,STEP 8 - Day 1,OVER,CSG Classic 2023,All Around and Team,,10.633,2.4,8.233,0,11,8.933,2.1,6.833,0,11,11.033,3.4,7.633,0,4,10.533,3.5,7.033,0.0,12,41.132,9,2023-04-14T05:57:47.111Z
269872,Lulu Miller,Impact Gymsports Academy,STEP 8 - Day 1,OVER,CSG Classic 2023,All Around and Team,,0.0,0.0,0.0,0,0,10.533,3.7,6.833,0,7,12.3,3.4,8.9,0,1,0.0,0.0,0.0,0.0,0,22.833,0,2023-04-14T06:08:01.150Z
534480,Madison Philpot,Invercargill Gymnastics Club,STEP 8 - Day 1,OVER,CSG Classic 2023,All Around and Team,,11.466,3.4,8.066,0,5,12.1,3.3,8.8,0,1,11.733,4.7,7.033,0,3,8.9,3.5,5.7,0.3,12,44.199,5,2023-04-14T06:07:11.867Z
534476,Alyssa Gauldie,Invercargill Gymnastics Club,STEP 8 - Day 1,OVER,CSG Classic 2023,All Around and Team,,11.933,3.4,8.533,0,2,11.133,2.6,8.533,0,2,9.366,3.6,5.766,0,13,11.233,4.0,7.233,0.0,6,43.665,4,2023-04-14T05:57:03.486Z
542072,Sienna Shields,NHG Gymnastics Club,STEP 8 - Day 1,OVER,CSG Classic 2023,All Around and Team,,11.2,3.2,8.0,0,9,10.733,3.0,7.733,0,6,10.0,4.1,5.9,0,10,11.566,4.0,7.566,0.0,3,43.499,5,2023-04-14T05:58:22.250Z
147789,Alex Quickenden,Tri Star Gymnastics,STEP 8 - Day 1,OVER,CSG Classic 2023,All Around and Team,,11.6,3.4,8.2,0,7,10.2,2.3,7.9,0,8,10.766,3.5,7.266,0,6,10.9,3.8,7.1,0.0,9,43.466,6,2023-04-14T06:10:14.313Z
170735,Scarlett Lynas,Tri Star Gymnastics,STEP 8 - Day 1,OVER,CSG Classic 2023,All Around and Team,,10.1,2.4,7.7,0,14,0.0,0.0,0.0,0,0,9.733,2.8,6.933,0,11,10.033,3.1,6.933,0.0,14,29.866,0,2023-04-14T06:14:53.098Z
156710,Renee Brown,Tri Star Gymnastics,STEP 8 - Day 1,OVER,CSG Classic 2023,All Around and Team,,12.133,3.2,8.933,0,1,11.266,3.0,8.266,0,1,10.6,3.9,6.7,0,7,12.1,3.9,8.2,0.0,1,46.099,2,2023-04-14T06:15:48.794Z
531975,Merle Zibolsky,Tri Star Gymnastics,STEP 8 - Day 1,OVER,CSG Classic 2023,All Around and Team,,11.7,3.4,8.3,0,5,0.0,0.0,0.0,0,0,10.2,3.6,6.6,0,9,10.9,3.6,7.3,0.0,9,32.800,0,2023-04-14T05:55:45.545Z
