gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
634370,Lucy Sandland,Kapiti Gymnastics,Step 3A,OVER,Capital Juniors 2023,"All Around, App & Team",,14.3,5,9.3,0,2,11.9,5.0,6.9,0,16,12.65,5.0,7.65,0,10,11.7,4.5,7.2,0,17,50.550,13,2023-05-28T02:49:57.943Z
617636,Tylah Thompson,Kapiti Gymnastics,Step 3A,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.4,5,8.4,0,7,13.55,4.5,9.05,0,3,12.1,4.5,7.6,0,7,13.5,5.0,8.5,0,2,52.550,4,2023-05-28T02:51:49.444Z
587481,Keira Lee,Kapiti Gymnastics,Step 3A,OVER,Capital Juniors 2023,"All Around, App & Team",,13.75,5,8.75,0,7,12.4,5.0,7.4,0,11,13.4,5.0,8.4,0,4,14.0,5.0,9.0,0,2,53.550,4,2023-05-28T02:53:37.174Z
546424,Ruby Stewart,Kapiti Gymnastics,Step 3A,OVER,Capital Juniors 2023,"All Around, App & Team",,12.6,5,7.6,0,16,12.0,5.0,7.0,0,15,12.05,4.5,7.55,0,15,11.9,4.5,7.4,0,16,48.550,16,2023-05-28T02:39:23.692Z
617661,Annabelle Rushmere,Kapiti Gymnastics,Step 3A,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.0,5,8.0,0,10,12.6,5.0,7.6,0,8,12.0,4.5,7.5,0,9,13.85,5.0,8.85,0,1,51.450,8,2023-05-28T02:40:56.932Z
613238,Dawa Hiddleston-Beedle,Kapiti Gymnastics,Step 3A,UNDER,Capital Juniors 2023,"All Around, App & Team",,12.85,5,7.85,0,12,11.6,4.5,8.1,1,12,12.2,5.0,7.2,0,6,12.7,5.0,7.7,0,8,49.350,10,2023-05-28T02:43:00.309Z
287960,Holly McGregor,Kapiti Gymnastics,Step 3A,OVER,Capital Juniors 2023,"All Around, App & Team",,13.15,5,8.15,0,12,12.35,5.0,7.35,0,12,12.65,5.0,7.65,0,10,12.65,5.0,7.65,0,11,50.800,11,2023-05-28T02:44:43.044Z
207107,Jessica Button,Kapiti Gymnastics,Step 3A,OVER,Capital Juniors 2023,"All Around, App & Team",,13.5,5,8.5,0,11,12.1,5.0,7.1,0,14,10.15,4.0,6.15,0,18,12.6,5.0,7.6,0,12,48.350,18,2023-05-28T02:46:31.129Z
530239,Madison Grant,Kapiti Gymnastics,Step 3A,UNDER,Capital Juniors 2023,"All Around, App & Team",,14.0,5,9.0,0,2,13.85,5.0,8.85,0,1,12.75,5.0,7.75,0,5,13.25,5.0,8.25,0,5,53.850,1,2023-05-28T02:48:22.805Z
296408,Sofia Water,Hutt Valley Gymnastics,Step 3A,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.5,5,8.5,0,6,12.5,5.0,7.5,0,9,11.9,5.0,6.9,0,10,13.4,5.0,8.4,0,3,51.300,9,2023-05-28T02:43:37.367Z
