gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
273300,Sophie Tomlinson,Manawatu GymSports,Step 3B,UNDER,Capital Juniors 2023,"All Around, App & Team",,12.15,5,7.15,0,13,11.65,5.0,6.65,0,17,12.7,5.0,7.7,0,12,10.9,4.0,6.9,0,17,47.400,17,2023-05-28T05:43:38.088Z
252992,June Jessen,Manawatu GymSports,Step 3B,OVER,Capital Juniors 2023,"All Around, App & Team",,12.15,5,7.15,0,10,11.65,5.0,6.65,0,11,10.9,4.5,6.4,0,12,10.0,4.5,5.5,0,11,44.700,12,2023-05-28T05:45:45.645Z
302414,Madison Westwood-Morris,Manawatu GymSports,Step 3B,UNDER,Capital Juniors 2023,"All Around, App & Team",,12.35,5,7.35,0,12,13.35,5.0,8.35,0,10,10.2,4.5,5.7,0,17,12.15,4.5,7.65,0,16,48.050,16,2023-05-28T05:47:40.050Z
661203,Leah Hill,Manawatu GymSports,Step 3B,OVER,Capital Juniors 2023,"All Around, App & Team",,11.6,5,6.6,0,11,12.05,5.0,7.05,0,8,12.3,4.5,7.8,0,10,10.0,4.0,6.0,0,11,45.950,11,2023-05-28T05:36:48.237Z
572053,Jorja Pickering,Manawatu GymSports,Step 3B,UNDER,Capital Juniors 2023,"All Around, App & Team",,12.95,5,7.95,0,6,12.8,5.0,7.8,0,15,11.45,5.0,6.45,0,16,13.4,5.0,8.4,0,6,50.600,13,2023-05-28T05:38:29.613Z
302322,Kiara Ngatai-Cribb,Manawatu GymSports,Step 3B,OVER,Capital Juniors 2023,"All Around, App & Team",,14.1,5,9.1,0,1,13.8,5.0,8.8,0,2,13.75,5.0,8.75,0,2,12.95,5.0,7.95,0,6,54.600,1,2023-05-28T05:40:12.186Z
555920,Amorette Beukes,Manawatu GymSports,Step 3B,OVER,Capital Juniors 2023,"All Around, App & Team",,12.8,5,7.8,0,4,12.0,5.0,7.0,0,9,13.45,5.0,8.45,0,4,13.45,5.0,8.45,0,5,51.700,5,2023-05-28T05:41:52.278Z
621666,Amelia Armstrong,Twisters Tawa Gymnastics Club,Step 3B,UNDER,Capital Juniors 2023,"All Around, App & Team",,11.55,5,6.55,0,15,13.0,5.0,8.0,0,13,12.95,5.0,7.95,0,11,12.3,5.0,7.3,0,15,49.800,14,2023-05-28T05:31:53.613Z
626101,Sophia Donald,Twisters Tawa Gymnastics Club,Step 3B,OVER,Capital Juniors 2023,"All Around, App & Team",,11.05,5,6.05,0,12,12.85,5.0,7.85,0,7,13.2,5.0,8.2,0,5,12.55,4.5,8.05,0,7,49.650,8,2023-05-28T05:33:32.197Z
566966,Mia Geyer,Twisters Tawa Gymnastics Club,Step 3B,UNDER,Capital Juniors 2023,"All Around, App & Team",,14.05,5,9.05,0,2,13.35,5.0,8.35,0,10,13.75,5.0,8.75,0,6,12.5,5.0,7.5,0,14,53.650,5,2023-05-28T05:34:14.670Z
600793,Georgia Alderson,Twisters Tawa Gymnastics Club,Step 3B,UNDER,Capital Juniors 2023,"All Around, App & Team",,12.6,5,7.6,0,10,13.75,5.0,8.75,0,6,13.7,5.0,8.7,0,7,12.85,5.0,7.85,0,12,52.900,8,2023-05-28T05:25:44.643Z
634706,Isabella Zhou,Twisters Tawa Gymnastics Club,Step 3B,UNDER,Capital Juniors 2023,"All Around, App & Team",,11.0,5,6.0,0,17,13.55,5.0,8.55,0,8,14.1,5.0,9.1,0,3,13.0,5.0,8.0,0,9,51.650,10,2023-05-28T05:26:50.417Z
574779,Aanya Agnew,Twisters Tawa Gymnastics Club,Step 3B,UNDER,Capital Juniors 2023,"All Around, App & Team",,14.1,5,9.1,0,1,13.8,5.0,8.8,0,5,13.6,5.0,8.6,0,9,13.65,5.0,8.65,0,2,55.150,2,2023-05-28T05:27:32.418Z
600795,Elliana Naylor,Twisters Tawa Gymnastics Club,Step 3B,UNDER,Capital Juniors 2023,"All Around, App & Team",,12.9,5,7.9,0,7,13.7,5.0,8.7,0,7,14.2,5.0,9.2,0,2,12.85,5.0,7.85,0,12,53.650,5,2023-05-28T05:28:07.390Z
