gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
278519,Gabby Pearman,Capital Gymnastics,Step 4,UNDER,Capital Juniors 2023,"All Around, App & Team",,14.1,5,9.1,0,1,12.0,5.0,7.0,0.0,16,13.8,5.0,8.8,0,2,13.15,4.5,8.65,0,6,53.050,4,2023-05-26T21:37:26.558Z
682542,Carita Lindh̩r,Capital Gymnastics,Step 4,UNDER,Capital Juniors 2023,"All Around, App & Team",,12.9,5,7.9,0,15,14.0,5.0,9.0,0.0,1,14.05,5.0,9.05,0,1,13.75,5.0,8.75,0,2,54.700,1,2023-05-26T21:39:22.744Z
244316,Mackenzie Burwell-Garratt,Harbour City Gymnastics,Step 4,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.3,5,8.3,0,8,12.3,5.0,7.3,0.0,13,12.0,4.5,7.5,0,16,11.8,4.5,7.3,0,20,49.400,15,2023-05-26T21:40:34.268Z
548814,Mila Birch,Harbour City Gymnastics,Step 4,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.9,5,8.9,0,2,13.3,5.0,8.3,0.0,4,11.4,5.0,6.4,0,23,11.1,4.5,6.6,0,25,49.700,14,2023-05-26T21:42:12.135Z
596102,Xanthe McCutcheon,Harbour City Gymnastics,Step 4,UNDER,Capital Juniors 2023,"All Around, App & Team",,11.15,5,7.15,1,26,13.7,5.0,8.7,0.0,2,13.05,5.0,8.05,0,7,13.35,5.0,8.35,0,4,51.250,9,2023-05-26T21:43:26.030Z
272474,Libby Hall,Hutt Valley Gymnastics,Step 4,UNDER,Capital Juniors 2023,"All Around, App & Team",,12.6,5,7.6,0,19,9.4,4.5,5.4,0.5,26,11.55,4.0,7.55,0,21,13.15,5.0,8.15,0,6,46.700,25,2023-05-26T21:50:17.814Z
562648,Charlotte McColl,Hutt Valley Gymnastics,Step 4,OVER,Capital Juniors 2023,"All Around, App & Team",,12.1,5,7.1,0,8,11.8,5.0,6.8,0.0,9,12.7,5.0,7.7,0,6,10.6,4.5,6.1,0,10,47.200,8,2023-05-26T21:52:27.794Z
272530,Hana Roberts,Hutt Valley Gymnastics,Step 4,UNDER,Capital Juniors 2023,"All Around, App & Team",,12.4,5,7.4,0,22,11.1,5.0,6.1,0.0,23,11.8,4.5,7.3,0,19,11.65,4.5,7.15,0,21,46.950,24,2023-05-26T21:54:51.771Z
272458,Elise McLaughlin,Hutt Valley Gymnastics,Step 4,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.45,5,8.45,0,4,12.0,5.0,7.0,0.0,16,11.95,4.5,7.45,0,17,12.35,5.0,7.35,0,17,49.750,13,2023-05-26T21:31:06.944Z
249301,Hannah Broster,Hutt Valley Gymnastics,Step 4,OVER,Capital Juniors 2023,"All Around, App & Team",,12.25,5,7.25,0,6,12.35,5.0,7.35,0.0,7,12.35,4.0,8.35,0,8,11.4,4.5,6.9,0,8,48.350,7,2023-05-26T21:33:00.975Z
272524,Erin Worsley,Hutt Valley Gymnastics,Step 4,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.05,5,8.05,0,12,12.9,5.0,7.9,0.0,9,13.05,5.0,8.05,0,7,12.75,5.0,7.75,0,12,51.750,6,2023-05-26T21:36:58.140Z
296548,Alexa Ngan,Hutt Valley Gymnastics,Step 4,UNDER,Capital Juniors 2023,"All Around, App & Team",,12.3,5,7.3,0,23,11.95,5.0,6.95,0.0,18,12.2,4.0,8.2,0,14,12.6,4.5,8.1,0,15,49.050,20,2023-05-26T21:37:35.932Z
281369,Grace Wright,Hutt Valley Gymnastics,Step 4,UNDER,Capital Juniors 2023,"All Around, App & Team",,11.95,5,6.95,0,25,12.85,5.0,7.85,0.0,10,11.9,4.5,7.4,0,18,12.35,4.5,7.85,0,17,49.050,20,2023-05-26T21:39:21.191Z
254140,Rose Passmore,Hutt Valley Gymnastics,Step 4,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.05,5,8.05,0,12,13.0,5.0,8.0,0.0,8,13.6,5.0,8.6,0,3,13.5,5.0,8.5,0,3,53.150,3,2023-05-26T21:41:24.020Z
545409,Hazel Beavis,Hutt Valley Gymnastics,Step 4,UNDER,Capital Juniors 2023,"All Around, App & Team",,12.05,5,7.05,0,24,13.45,5.0,8.45,0.0,3,12.65,5.0,7.65,0,11,13.35,5.0,8.35,0,4,51.500,8,2023-05-26T21:46:19.181Z
302417,Ari Burton,Hutt Valley Gymnastics,Step 4,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.35,5,8.35,0,6,13.3,5.0,8.3,0.0,4,13.3,5.0,8.3,0,4,14.1,5.0,9.1,0,1,54.050,2,2023-05-26T21:48:18.283Z
642011,Annabelle Webb,Kapiti Gymnastics,Step 4,OVER,Capital Juniors 2023,"All Around, App & Team",,12.6,5,7.6,0,4,13.2,5.0,8.2,0.0,4,12.45,5.0,7.45,0,7,11.95,4.5,7.45,0,7,50.200,6,2023-05-26T21:44:39.996Z
283315,Ruby Fleet,Kapiti Gymnastics,Step 4,UNDER,Capital Juniors 2023,"All Around, App & Team",,12.45,5,7.45,0,21,11.1,5.0,6.1,0.0,23,11.0,4.5,6.5,0,26,11.55,4.5,7.05,0,22,46.100,26,2023-05-26T21:46:00.763Z
296576,Scarlette Harper,Kapiti Gymnastics,Step 4,UNDER,Capital Juniors 2023,"All Around, App & Team",,12.75,5,7.75,0,18,11.95,5.0,6.95,0.0,18,11.55,5.0,6.55,0,21,10.75,4.0,6.75,0,26,47.000,23,2023-05-26T21:47:22.171Z
302066,Siobhan Bingham,Kapiti Gymnastics,Step 4,OVER,Capital Juniors 2023,"All Around, App & Team",,11.8,5,6.8,0,10,9.7,5.0,4.7,0.0,10,12.05,5.0,7.05,0,10,12.55,5.0,7.55,0,3,46.100,10,2023-05-26T21:36:09.600Z
302421,Brooke Kendrew,Manawatu GymSports,Step 4,OVER,Capital Juniors 2023,"All Around, App & Team",,11.65,5,7.65,1,11,12.25,5.0,7.25,0.0,8,12.0,5.0,7.0,0,11,10.7,4.5,6.2,0,9,46.600,9,2023-05-26T21:46:47.511Z
646868,Taimania Walker,Manawatu GymSports,Step 4,OVER,Capital Juniors 2023,"All Around, App & Team",,11.9,5,6.9,0,9,9.15,5.0,4.15,0.0,11,12.9,5.0,7.9,0,3,9.35,4.0,6.35,1,11,43.300,11,2023-05-26T21:48:59.140Z
286779,Aurora Edwards,Manawatu GymSports,Step 4,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.8,5,8.8,0,3,12.3,5.0,7.3,0.0,13,12.2,4.5,7.7,0,14,12.95,5.0,7.95,0,10,51.250,9,2023-05-26T21:33:35.562Z
296134,Eleanor Askin,Manawatu GymSports,Step 4,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.25,5,8.25,0,9,11.9,5.0,6.9,0.0,20,12.85,5.0,7.85,0,10,11.15,4.0,7.15,0,24,49.150,19,2023-05-26T21:35:26.220Z
633272,Kia Hewitt,Manawatu GymSports,Step 4,UNDER,Capital Juniors 2023,"All Around, App & Team",,12.9,5,7.9,0,15,12.8,5.0,7.8,0.0,11,11.4,5.0,6.4,0,23,13.15,5.0,8.15,0,6,50.250,12,2023-05-26T21:38:27.263Z
267103,Kiitahi Berghan,Manawatu GymSports,Step 4,OVER,Capital Juniors 2023,"All Around, App & Team",,12.55,5,7.55,0,5,13.4,5.0,8.4,0.0,3,14.25,5.0,9.25,0,1,12.25,4.5,7.75,0,6,52.450,3,2023-05-26T21:40:28.118Z
