gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
187321,Cleo Bell,Argos Gymnastic Club,Step 7,UNDER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,11.033,1.6,9.433,0,2,11.7,2.8,8.9,0,3,12.166,3.8,8.366,0,2,11.0,3.2,7.8,0.0,5,45.899,0,2023-05-07T00:59:21.835Z
531946,Colbie De Jager,Eastern Suburbs Gymnastics Club,Step 7,UNDER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,11.033,1.6,9.433,0,2,10.8,2.4,8.4,0,5,9.6,4.1,5.5,0,8,12.066,4.1,8.066,0.1,2,43.499,0,2023-05-07T01:28:14.638Z
244210,Sophia Hands,Hamilton City Gymnastics Club,Step 7,UNDER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,10.733,2.0,8.733,0,5,10.166,2.4,7.766,0,7,11.033,3.4,7.633,0,5,11.533,3.3,8.233,0.0,3,43.465,0,2023-05-07T01:12:42.131Z
259992,Jisu Na,NHG Gymnastics Club,Step 7,UNDER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,11.133,1.6,9.533,0,1,13.4,4.0,9.4,0,1,12.866,4.8,8.066,0,1,12.3,4.3,8.0,0.0,1,49.699,0,2023-05-07T01:08:09.835Z
541981,Gia Castro,NHG Gymnastics Club,Step 7,UNDER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,10.9,1.6,9.3,0,4,11.766,3.0,8.766,0,2,10.7,3.7,7.0,0,6,9.933,3.1,6.833,0.0,7,43.299,0,2023-05-07T00:57:06.635Z
542068,Serena Ho,NHG Gymnastics Club,Step 7,UNDER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,10.233,1.6,8.633,0,7,11.5,3.2,8.3,0,4,11.433,3.8,7.633,0,3,9.7,3.9,5.8,0.0,8,42.866,0,2023-05-07T00:59:53.600Z
541963,Charlotte Handley,NHG Gymnastics Club,Step 7,UNDER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,9.933,1.6,8.333,0,8,10.533,2.4,8.133,0,6,10.7,3.7,7.0,0,6,10.033,3.2,6.833,0.0,6,41.199,0,2023-05-07T01:05:51.767Z
541984,Hayley Han,NHG Gymnastics Club,Step 7,UNDER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,10.333,1.6,8.733,0,6,9.866,2.1,7.766,0,8,11.433,3.1,8.333,0,3,11.433,3.4,8.033,0.0,4,43.065,0,2023-05-07T01:03:46.365Z
223744,Pippa Montgomerie,Argos Gymnastic Club,Step 7,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,10.533,2.4,8.133,0,20,9.833,3.0,6.833,0,24,11.6,3.5,8.1,0,12,11.2,3.8,7.4,0.0,20,43.166,0,2023-05-07T01:23:44.576Z
253386,Addison Hughes,Argos Gymnastic Club,Step 7,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,10.966,1.6,9.366,0,7,11.266,3.5,7.766,0,3,9.066,2.7,6.366,0,30,10.933,3.3,7.633,0.0,26,42.231,0,2023-05-07T01:17:42.736Z
