gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
230332,Ella Robinson,Argos Gymnastic Club,Step 8,UNDER,Gymnastics Waitara - Senior Opens 2023,Saturday - All Round & Team Medals,,12.05,2.6,9.45,0,3,10.55,2.9,7.65,0,5,7.6,3.5,4.1,0,6,10.7,3.6,7.1,0.0,6,40.900,0,2023-05-06T09:23:07.602Z
553126,Olivia Sue,Eastern Suburbs Gymnastics Club,Step 8,UNDER,Gymnastics Waitara - Senior Opens 2023,Saturday - All Round & Team Medals,,11.55,3.2,8.35,0,6,10.2,3.4,6.8,0,6,11.8,4.4,7.4,0,4,11.3,4.0,7.3,0.0,5,44.850,0,2023-05-06T09:19:22.711Z
531966,Willow Reid,Eastern Suburbs Gymnastics Club,Step 8,UNDER,Gymnastics Waitara - Senior Opens 2023,Saturday - All Round & Team Medals,,11.75,3.2,8.55,0,5,11.4,4.1,7.3,0,2,12.4,4.6,7.8,0,2,12.15,4.5,7.65,0.0,2,47.700,0,2023-05-06T09:08:05.844Z
553111,Sarah Kennard,Eastern Suburbs Gymnastics Club,Step 8,UNDER,Gymnastics Waitara - Senior Opens 2023,Saturday - All Round & Team Medals,,12.15,3.4,8.75,0,1,11.35,3.1,8.25,0,3,7.8,3.6,4.2,0,5,12.5,4.9,7.6,0.0,1,43.800,0,2023-05-06T09:11:47.621Z
185851,Emily Barback,Impact Gymsports Academy,Step 8,UNDER,Gymnastics Waitara - Senior Opens 2023,Saturday - All Round & Team Medals,,11.8,3.2,8.6,0,4,11.7,2.7,9.0,0,1,12.9,4.2,8.7,0,1,11.9,3.6,8.3,0.0,3,48.300,0,2023-05-06T09:33:27.623Z
541941,Ava Samuels,NHG Gymnastics Club,Step 8,UNDER,Gymnastics Waitara - Senior Opens 2023,Saturday - All Round & Team Medals,,12.1,3.2,8.9,0,2,11.35,3.1,8.25,0,3,12.25,4.4,7.85,0,3,11.6,4.3,7.3,0.0,4,47.300,0,2023-05-06T09:18:27.362Z
180094,Sophia Paviour-Smith,Capital Gymnastics,Step 8,OVER,Gymnastics Waitara - Senior Opens 2023,Saturday - All Round & Team Medals,,11.6,2.6,9.0,0,4,9.35,2.4,6.95,0,7,10.0,3.7,6.3,0,6,11.6,3.7,7.9,0.0,1,42.550,0,2023-05-06T09:21:47.686Z
553135,Kahu Barsdell,Eastern Suburbs Gymnastics Club,Step 8,OVER,Gymnastics Waitara - Senior Opens 2023,Saturday - All Round & Team Medals,,12.2,3.4,8.8,0,1,12.55,3.7,8.85,0,1,11.35,4.4,6.95,0,4,11.5,4.4,7.1,0.0,2,47.600,0,2023-05-06T09:15:14.330Z
554693,Rory Jenkins,Hamilton City Gymnastics Club,Step 8,OVER,Gymnastics Waitara - Senior Opens 2023,Saturday - All Round & Team Medals,,10.3,1.6,8.7,0,8,9.0,2.2,6.8,0,8,9.4,3.6,5.8,0,8,11.0,3.7,7.4,0.1,4,39.700,0,2023-05-06T09:26:42.918Z
214664,Nicole Stoupe,Hamilton City Gymnastics Club,Step 8,OVER,Gymnastics Waitara - Senior Opens 2023,Saturday - All Round & Team Medals,,10.55,2.6,7.95,0,7,9.6,2.2,7.4,0,6,8.95,3.6,5.35,0,9,9.75,3.7,6.05,0.0,6,38.850,0,2023-05-06T09:30:30.883Z
269872,LuLu Miller,Impact Gymsports Academy,Step 8,OVER,Gymnastics Waitara - Senior Opens 2023,Saturday - All Round & Team Medals,,0.0,0.0,0.0,0,0,12.25,3.7,8.55,0,2,12.25,3.4,8.85,0,1,0.0,0.0,0.0,0.0,0,24.500,0,2023-05-06T09:11:16.813Z
616085,Zahara Slatter,Manawatu Gymsports,Step 8,OVER,Gymnastics Waitara - Senior Opens 2023,Saturday - All Round & Team Medals,,0.0,0.0,0.0,0,0,12.25,3.7,8.55,0,2,12.15,4.1,8.05,0,2,0.0,0.0,0.0,0.0,0,24.400,0,2023-05-06T09:11:21.750Z
232437,Piper Smith,Gymnastics Waitara,Step 8,OVER,Gymnastics Waitara - Senior Opens 2023,Saturday - All Round & Team Medals,,10.95,2.4,8.55,0,5,10.4,2.9,7.5,0,5,7.35,2.7,4.65,0,10,9.95,3.0,6.95,0.0,5,38.650,0,2023-05-06T09:31:33.670Z
194347,Luci Strachan,Gymnastics Waitara,Step 8,OVER,Gymnastics Waitara - Senior Opens 2023,Saturday - All Round & Team Medals,,11.8,3.4,8.4,0,3,7.0,1.6,5.4,0,10,9.55,2.8,6.75,0,7,9.65,3.6,6.05,0.0,7,38.000,0,2023-05-06T09:33:54.120Z
143208,Olivia Earl,Gymnastics Waitara,Step 8,OVER,Gymnastics Waitara - Senior Opens 2023,Saturday - All Round & Team Medals,,12.15,3.4,8.75,0,2,11.15,3.5,7.65,0,4,11.4,3.5,7.9,0,3,11.2,4.1,7.1,0.0,3,45.900,0,2023-05-06T09:36:04.540Z
280494,Isla Hilton,Mt Tauhara Gymnastics Club,Step 8,OVER,Gymnastics Waitara - Senior Opens 2023,Saturday - All Round & Team Medals,,10.8,3.4,7.4,0,6,8.65,1.6,7.05,0,9,10.55,2.7,7.85,0,5,0.0,0.0,0.0,0.0,0,30.000,0,2023-05-06T09:25:52.027Z
