gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
535672,Sarai Gudgeon,Gisborne Gymnastics Club,Step 7,OVER,HBPB Senior Championships,All-around,,10.6,2.4,8.2,0,4,10.85,3.2,7.65,0.0,1,10.8,3.3,7.5,0,3,10.85,3.3,7.55,0.0,5,43.100,2,2023-04-29T04:16:15.378Z
535662,Sarah Hawkins,Gisborne Gymnastics Club,Step 7,OVER,HBPB Senior Championships,All-around,,11.05,2.4,8.65,0,3,10.45,3.0,7.45,0.0,3,9.8,3.3,6.5,0,5,9.75,2.3,7.45,0.0,9,41.050,6,2023-04-29T04:20:45.790Z
168329,Michaela McPhee,Harbour City Gymnastics,Step 7,OVER,HBPB Senior Championships,All-around,,10.55,1.6,8.95,0,5,9.95,2.1,7.85,0.0,4,9.65,2.3,7.35,0,6,12.0,3.7,8.3,0.0,1,42.150,4,2023-04-29T04:17:36.467Z
269401,Sarah Fenwick,Hastings Gymnastics,Step 7,OVER,HBPB Senior Championships,All-around,,12.15,3.4,8.75,0,1,10.55,3.5,7.05,0.0,2,11.35,3.4,7.95,0,2,11.6,3.9,7.7,0.0,2,45.650,1,2023-04-29T04:19:44.010Z
198325,Charlee Wood,Manawatu GymSports,Step 7,OVER,HBPB Senior Championships,All-around,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.000,0,2023-04-29T04:30:26.711Z
130073,Harriet Tangney,Mt Tauhara Gymnastics Club,Step 7,OVER,HBPB Senior Championships,All-around,,9.6,1.6,8.0,0,10,5.6,0.2,6.9,1.5,10,9.45,2.2,7.25,0,7,8.05,1.5,7.05,0.5,10,32.700,10,2023-04-29T04:09:49.915Z
206341,Xanthia Ellis,Mt Tauhara Gymnastics Club,Step 7,OVER,HBPB Senior Championships,All-around,,9.7,1.6,8.1,0,9,9.65,1.5,8.15,0.0,6,7.35,1.1,6.25,0,10,10.6,3.2,7.4,0.0,7,37.300,9,2023-04-29T04:12:47.356Z
149626,Sienna Manisty,Omni Gymnastic Centre,Step 7,OVER,HBPB Senior Championships,All-around,,10.4,2.0,8.4,0,6,9.8,1.7,8.1,0.0,5,8.7,3.5,5.2,0,9,11.05,3.2,7.85,0.0,3,39.950,7,2023-04-29T04:23:55.640Z
226781,Aria Gaylor,Omni Gymnastic Centre,Step 7,OVER,HBPB Senior Championships,All-around,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.000,0,2023-04-29T04:20:09.118Z
260910,Nikita Steffert,Omni Gymnastic Centre,Step 7,OVER,HBPB Senior Championships,All-around,,10.4,1.6,8.8,0,6,9.15,2.6,6.55,0.0,7,11.95,3.1,8.85,0,1,10.85,3.8,7.05,0.0,5,42.350,3,2023-04-29T04:08:48.972Z
252901,Penelope Fowler,Omni Gymnastic Centre,Step 7,OVER,HBPB Senior Championships,All-around,,11.85,3.2,8.65,0,2,8.5,2.1,6.4,0.0,8,10.7,3.3,7.4,0,4,10.95,3.8,7.15,0.0,4,42.000,5,2023-04-29T04:24:25.663Z
535406,Capria Tamatea,Gisborne Gymnastics Club,Step 7,OVER,HBPB Senior Championships,All-around,,10.1,2.4,7.7,0,8,8.45,2.1,6.35,0.0,9,9.3,3.3,6.0,0,8,10.25,2.8,7.45,0.0,8,38.100,8,2023-04-29T04:25:37.361Z
