gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
535406,Capria Tamatea,Gisborne Gymnastics Club,Step 7,OVER,HBPB Senior Championships,Apparatus,,10.3,2.4,7.9,0,6,7.5,2.1,5.4,0,9,9.55,3.8,5.75,0.0,6,11.766,3.6,8.166,0.0,2,39.116,0,2023-04-30T01:03:55.495Z
535672,Sarai Gudgeon,Gisborne Gymnastics Club,Step 7,OVER,HBPB Senior Championships,Apparatus,,10.05,2.4,7.65,0,8,10.033,2.8,7.233,0,2,8.55,3.8,4.75,0.0,9,11.566,3.3,8.266,0.0,4,40.199,0,2023-04-30T01:16:12.704Z
535662,Sarah Hawkins,Gisborne Gymnastics Club,Step 7,OVER,HBPB Senior Championships,Apparatus,,11.05,2.4,8.65,0,3,9.733,2.4,7.333,0,3,11.55,3.8,7.75,0.0,3,11.266,3.3,7.966,0.0,6,43.599,0,2023-04-30T01:19:51.647Z
168329,Michaela McPhee,Harbour City Gymnastics,Step 7,OVER,HBPB Senior Championships,Apparatus,,10.5,1.6,8.9,0,4,9.633,2.1,7.533,0,5,8.85,2.5,6.35,0.0,8,11.733,3.6,8.133,0.0,3,40.716,0,2023-04-30T01:16:53.648Z
269401,Sarah Fenwick,Hastings Gymnastics,Step 7,OVER,HBPB Senior Championships,Apparatus,,12.05,3.4,8.65,0,1,10.833,3.1,7.733,0,1,10.6,2.9,7.7,0.0,5,9.7,3.2,6.6,0.1,9,43.183,0,2023-04-30T01:19:27.199Z
198325,Charlee Wood,Manawatu GymSports,Step 7,OVER,HBPB Senior Championships,Apparatus,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.000,0,2023-04-30T00:58:14.777Z
130073,Harriet Tangney,Mt Tauhara Gymnastics Club,Step 7,OVER,HBPB Senior Championships,Apparatus,,9.8,1.6,8.2,0,10,7.566,0.8,6.766,0,8,6.5,2.3,4.7,0.5,10,9.0,1.4,7.6,0.0,10,32.866,0,2023-04-30T01:08:38.102Z
206341,Xanthia Ellis,Mt Tauhara Gymnastics Club,Step 7,OVER,HBPB Senior Championships,Apparatus,,9.95,1.6,8.35,0,9,7.1,1.5,5.6,0,10,9.35,2.3,7.05,0.0,7,11.933,3.2,8.733,0.0,1,38.333,0,2023-04-30T01:12:19.824Z
149626,Sienna Manisty,Omni Gymnastic Centre,Step 7,OVER,HBPB Senior Championships,Apparatus,,10.3,2.0,8.3,0,6,9.266,1.7,7.566,0,6,11.65,4.0,7.65,0.0,2,11.233,3.3,7.933,0.0,7,42.449,0,2023-04-30T01:05:22.691Z
226781,Aria Gaylor,Omni Gymnastic Centre,Step 7,OVER,HBPB Senior Championships,Apparatus,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.000,0,2023-04-30T00:54:57.349Z
260910,Nikita Steffert,Omni Gymnastic Centre,Step 7,OVER,HBPB Senior Championships,Apparatus,,10.35,1.6,8.75,0,5,9.1,2.6,6.5,0,7,12.3,3.7,8.6,0.0,1,11.4,3.9,7.5,0.0,5,43.150,0,2023-04-30T01:09:41.133Z
252901,Penelope Fowler,Omni Gymnastic Centre,Step 7,OVER,HBPB Senior Championships,Apparatus,,11.95,3.2,8.75,0,2,9.733,2.8,6.933,0,3,11.1,3.3,7.8,0.0,4,10.766,3.7,7.066,0.0,8,43.549,0,2023-04-30T01:15:28.570Z
