gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
200227,Ashleigh Van Eyk,Hamilton City,Step 7,UNDER,Hamilton City Senior Artistic Competition 2023,Apparatus,,10.166,1.6,8.566,0,13,10.633,2.4,8.233,0,7,11.466,2.8,8.666,0,6,11.966,3.5,8.466,0,5,44.231,0,2023-03-19T00:09:30.612Z
244210,Sophia Hands,Hamilton City,Step 7,UNDER,Hamilton City Senior Artistic Competition 2023,Apparatus,,10.5,1.6,8.9,0,1,10.466,2.4,8.066,0,1,10.166,2.3,7.866,0,2,10.766,2.7,8.066,0,2,41.898,0,2023-03-19T00:13:44.289Z
214600,Ella Blomfield,Hamilton City,Step 7,UNDER,Hamilton City Senior Artistic Competition 2023,Apparatus,,9.9,1.6,8.3,0,15,9.8,2.1,7.7,0,12,10.6,3.4,7.2,0,13,9.933,3.1,6.833,0,15,40.233,0,2023-03-19T00:15:55.677Z
187321,Cleo Bell,ARGOS,Step 7,UNDER,Hamilton City Senior Artistic Competition 2023,Apparatus,,10.466,1.6,8.866,0,2,10.233,2.8,7.433,0,2,11.533,3.7,7.833,0,1,11.533,3.3,8.233,0,1,43.765,0,2023-03-18T23:43:50.665Z
153118,Sophie Burgess,Whangarei,Step 7,UNDER,Hamilton City Senior Artistic Competition 2023,Apparatus,,11.2,2.6,8.6,0,1,10.933,3.6,7.333,0,3,9.666,3.0,6.666,0,14,11.566,3.8,7.766,0,7,43.365,0,2023-03-18T23:54:24.484Z
151506,Addisyn Smith,Hamilton City,Step 7,OVER,Hamilton City Senior Artistic Competition 2023,Apparatus,,10.833,1.6,9.233,0,5,10.533,2.7,7.833,0,8,10.9,3.4,7.5,0,10,12.066,3.5,8.566,0,3,44.332,0,2023-03-19T00:20:43.302Z
161345,Bethan Lauder,Hamilton City,Step 7,OVER,Hamilton City Senior Artistic Competition 2023,Apparatus,,10.666,1.6,9.066,0,7,9.966,2.1,7.866,0,11,12.4,3.4,9.0,0,1,12.0,3.6,8.4,0,4,45.032,0,2023-03-19T00:23:05.195Z
206480,Eva Conlon,Hamilton City,Step 7,OVER,Hamilton City Senior Artistic Competition 2023,Apparatus,,10.1,1.6,8.5,0,14,10.8,2.4,8.4,0,4,11.6,3.4,8.2,0,5,11.566,3.4,8.166,0,7,44.066,0,2023-03-19T00:25:07.602Z
239498,Piper Skinner,Hamilton City,Step 7,OVER,Hamilton City Senior Artistic Competition 2023,Apparatus,,10.733,1.6,9.133,0,6,11.266,3.0,8.266,0,1,11.166,2.9,8.266,0,9,11.466,3.4,8.066,0,11,44.631,0,2023-03-19T00:07:16.301Z
303515,Poppy Hancock,Hamilton City,Step 7,OVER,Hamilton City Senior Artistic Competition 2023,Apparatus,,10.333,1.6,8.733,0,11,10.266,2.4,7.866,0,9,11.3,3.5,7.8,0,7,10.966,3.2,7.766,0,14,42.865,0,2023-03-19T00:11:37.016Z
259882,Kendall Robson,ARGOS,Step 7,OVER,Hamilton City Senior Artistic Competition 2023,Apparatus,,10.266,1.6,8.666,0,12,0.0,0.0,0.0,0,0,9.333,1.8,7.533,0,15,11.566,3.3,8.266,0,7,31.165,0,2023-03-18T23:56:38.362Z
223744,Pippa Montgomerie,ARGOS,Step 7,OVER,Hamilton City Senior Artistic Competition 2023,Apparatus,,10.9,2.4,8.5,0,4,10.1,2.5,7.6,0,10,12.0,3.5,8.5,0,3,11.4,3.3,8.1,0,12,44.400,0,2023-03-18T23:59:07.827Z
253386,Addison Hughes,ARGOS,Step 7,OVER,Hamilton City Senior Artistic Competition 2023,Apparatus,,10.6,1.6,9.0,0,8,11.033,2.4,8.633,0,2,10.8,3.4,7.4,0,11,11.5,3.3,8.2,0,10,43.933,0,2023-03-19T00:01:24.278Z
224012,Madison Wannop,ARGOS,Step 7,OVER,Hamilton City Senior Artistic Competition 2023,Apparatus,,10.566,2.4,8.166,0,9,9.166,2.1,7.066,0,14,11.9,3.8,8.1,0,4,11.766,3.4,8.366,0,6,43.398,0,2023-03-18T23:46:45.722Z
246280,Pippa Cronin,ARGOS,Step 7,OVER,Hamilton City Senior Artistic Competition 2023,Apparatus,,11.033,2.6,8.433,0,2,9.733,2.9,6.833,0,13,12.133,3.9,8.233,0,2,11.4,3.3,8.1,0,12,44.299,0,2023-03-18T23:48:37.174Z
271150,Maia Drabble,MIGS,Step 7,OVER,Hamilton City Senior Artistic Competition 2023,Apparatus,,10.533,1.6,8.933,0,10,10.7,3.2,7.5,0,5,11.233,3.7,7.533,0,8,12.433,3.8,8.633,0,1,44.899,0,2023-03-19T00:18:13.332Z
207818,Charlotte Butler,Whangarei,Step 7,OVER,Hamilton City Senior Artistic Competition 2023,Apparatus,,10.933,2.4,8.533,0,3,10.666,2.1,8.566,0,6,10.8,2.7,8.1,0,11,12.4,3.9,8.5,0,2,44.799,0,2023-03-18T23:51:08.942Z
