gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
278471,Hayley Clark,Capital Gymnastics,Step 4,OVER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
634707,Isabelle Chaney,Twisters Gymnastics,Step 4,OVER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
528375,Aurian Delgado-Hickman,Twisters Gymnastics,Step 4,UNDER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
621666,Amelia Armstrong,Twisters Gymnastics,Step 4,UNDER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
672421,Indigo Horrigan,Twisters Gymnastics,Step 4,UNDER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
814965,Neilly Mohamed,Twisters Gymnastics,Step 4,UNDER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
554430,Lilly de Haan,Twisters Gymnastics,Step 4,UNDER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
616581,Enyushka Melnikova,Twisters Gymnastics,Step 4,UNDER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
672418,Ruby Woodcock,Twisters Gymnastics,Step 4,UNDER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
600793,Georgia Alderson,Twisters Gymnastics,Step 4,UNDER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
681169,Darcie Sanson,Levin Gymnastics,Step 4,OVER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
619770,Immy Mazur,Onslow Gymnastics,Step 4,OVER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
619726,Lucy Eccles,Onslow Gymnastics,Step 4,OVER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
586294,Indigo Davis,Rimutaka Gymnastics,Step 4,OVER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
567515,Phrayze Blake,Rimutaka Gymnastics,Step 4,OVER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
653110,Ava Scott,Levin Gymnastics,Step 4,UNDER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
653086,Omeia Bull,Levin Gymnastics,Step 4,UNDER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
681188,Lux Makutu,Levin Gymnastics,Step 4,UNDER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
657184,Ellie Brownie,Onslow Gymnastics,Step 4,UNDER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
559841,Harper Smith,Rimutaka Gymnastics,Step 4,UNDER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
301942,Frankie Bennett,Hutt Valley Gymnastics,Step 4,UNDER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
686223,Luna Reid,Hutt Valley Gymnastics,Step 4,UNDER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
623657,Esther-rose Sarich,Hutt Valley Gymnastics,Step 4,UNDER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
628509,Chloe Rankin,Hutt Valley Gymnastics,Step 4,UNDER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
642911,Aurora Stupples,Hutt Valley Gymnastics,Step 4,UNDER,Hutt Valley Elementary Competition,"All-around, App, Teams",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,
