gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
523245,Cassia-Rose Anderson,Argos Gymnastics Club,WAG Step 2 - Comp 2,OVER,MIGS Elementary Artistic 2023 Competition,All around,,13.35,5,8.35,0,9,12.85,5.0,7.85,0,6,13.3,5.0,8.3,0,8,13.2,4.5,8.7,0.0,3,52.700,6,2023-05-27T03:55:07.784Z
604779,Mia Schultz,Argos Gymnastics Club,WAG Step 2 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All around,,13.75,5,8.75,0,6,13.3,5.0,8.3,0,5,13.4,5.0,8.4,0,7,12.5,4.5,8.0,0.0,12,52.950,4,2023-05-27T03:57:41.309Z
627668,Evie McBurney,Argos Gymnastics Club,WAG Step 2 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All around,,14.0,5,9.0,0,3,13.55,5.0,8.55,0,4,14.1,5.0,9.1,0,2,12.6,4.5,8.1,0.0,10,54.250,3,2023-05-27T03:59:50.698Z
651152,Charlee Van Houtum,Argos Gymnastics Club,WAG Step 2 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All around,,14.05,5,9.05,0,2,11.3,5.0,6.3,0,17,14.05,5.0,9.05,0,3,13.3,4.5,8.8,0.0,4,52.700,6,2023-05-27T03:46:47.452Z
653185,Ayla Wallace,Argos Gymnastics Club,WAG Step 2 - Comp 2,OVER,MIGS Elementary Artistic 2023 Competition,All around,,13.8,5,8.8,0,3,12.95,5.0,7.95,0,5,12.9,5.0,7.9,0,10,12.4,4.5,7.9,0.0,10,52.050,8,2023-05-27T03:48:49.020Z
670365,Sophia van Lieshout,Argos Gymnastics Club,WAG Step 2 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All around,,13.9,5,8.9,0,4,13.7,5.0,8.7,0,3,12.85,5.0,7.85,0,9,12.35,4.5,7.85,0.0,13,52.800,5,2023-05-27T03:55:58.269Z
675123,Michaela Wilson,Argos Gymnastics Club,WAG Step 2 - Comp 2,OVER,MIGS Elementary Artistic 2023 Competition,All around,,14.15,5,9.15,0,1,13.1,5.0,8.1,0,2,13.85,5.0,8.85,0,4,12.65,4.5,8.15,0.0,8,53.750,2,2023-05-27T03:51:28.577Z
670111,Ayla Meares,Argos Gymnastics Club,WAG Step 2 - Comp 2,OVER,MIGS Elementary Artistic 2023 Competition,All around,,13.95,5,8.95,0,2,12.7,5.0,7.7,0,7,14.1,5.0,9.1,0,1,11.9,4.5,7.4,0.0,12,52.650,7,2023-05-27T03:53:02.117Z
680186,Paige Hamill,Argos Gymnastics Club,WAG Step 2 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All around,,13.45,5,8.45,0,9,12.75,5.0,7.75,0,6,14.0,5.0,9.0,0,4,10.95,4.0,6.95,0.0,19,51.150,9,2023-05-27T03:56:32.846Z
705686,Paige Slako,Argos Gymnastics Club,WAG Step 2 - Comp 2,OVER,MIGS Elementary Artistic 2023 Competition,All around,,13.7,5,8.7,0,4,13.05,5.0,8.05,0,3,14.1,5.0,9.1,0,1,12.8,4.5,8.3,0.0,7,53.650,3,2023-05-27T03:56:40.729Z
629085,Marley Kiel,MId Island Gym Sports,WAG Step 2 - Comp 2,OVER,MIGS Elementary Artistic 2023 Competition,All around,,13.65,5,8.65,0,6,12.4,5.0,7.4,0,8,13.8,5.0,8.8,0,5,12.95,4.5,8.45,0.0,4,52.800,5,2023-05-27T03:42:46.292Z
611808,Lucy Groot,MId Island Gym Sports,WAG Step 2 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All around,,13.85,5,8.85,0,5,14.3,5.0,9.3,0,1,14.15,5.0,9.15,0,1,14.1,5.0,9.1,0.0,1,56.400,1,2023-05-27T03:55:46.610Z
629148,Neisha Hewett,MId Island Gym Sports,WAG Step 2 - Comp 2,OVER,MIGS Elementary Artistic 2023 Competition,All around,,13.7,5,8.7,0,4,13.45,4.5,8.95,0,1,13.55,4.5,9.05,0,6,14.0,5.0,9.0,0.0,1,54.700,1,2023-05-27T03:47:11.431Z
617944,Alyssa Smith,Piako Gymnastics Club,WAG Step 2 - Comp 2,OVER,MIGS Elementary Artistic 2023 Competition,All around,,13.5,5,8.5,0,8,11.7,5.0,6.7,0,11,12.85,5.0,7.85,0,11,12.45,4.5,7.95,0.0,9,50.500,11,2023-05-27T03:53:48.316Z
567595,Chelsea Marwick,Piako Gymnastics Club,WAG Step 2 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All around,,13.0,5,8.0,0,17,11.65,4.5,7.15,0,15,11.85,5.0,6.85,0,18,13.15,5.0,8.15,0.0,5,49.650,14,2023-05-27T03:54:09.479Z
578027,Hannah Going,Piako Gymnastics Club,WAG Step 2 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All around,,12.9,5,7.9,0,19,11.55,5.0,6.55,0,16,12.55,5.0,7.55,0,12,12.25,4.5,7.75,0.0,14,49.250,17,2023-05-27T03:54:25.558Z
609987,Lauren Fraser-Jones,Piako Gymnastics Club,WAG Step 2 - Comp 2,OVER,MIGS Elementary Artistic 2023 Competition,All around,,13.35,5,8.35,0,9,12.4,5.0,7.4,0,8,12.95,5.0,7.95,0,9,12.9,5.0,7.9,0.0,5,51.600,9,2023-05-27T03:46:21.638Z
