gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
597216,Yi Xuan Chan,Gisborne Gymnastics Club,WAG Step 3 Comp 1,UNDER,MIGS Elementary Artistic 2023 Competition,All around,,13.4,5,8.4,0,6,12.95,5.0,7.95,0.0,9,11.5,4.5,7.0,0,11,13.0,4.5,8.5,0.0,10,50.850,9,2023-05-27T21:49:24.865Z
610102,India Gill,Gisborne Gymnastics Club,WAG Step 3 Comp 1,UNDER,MIGS Elementary Artistic 2023 Competition,All around,,13.25,5,8.25,0,7,13.3,5.0,8.3,0.0,8,13.6,5.0,8.6,0,2,14.0,5.0,9.0,0.0,1,54.150,3,2023-05-27T21:47:22.956Z
303278,Alyse Horan,Piako Gymnastics Club,WAG Step 3 Comp 1,UNDER,MIGS Elementary Artistic 2023 Competition,All around,,13.5,5,8.5,0,2,12.4,5.0,7.4,0.0,12,12.85,5.0,7.85,0,6,13.05,4.5,8.55,0.0,7,51.800,8,2023-05-27T21:48:28.963Z
573301,Scarlett Davies,Turn & Gymnastic Circle,WAG Step 3 Comp 1,UNDER,MIGS Elementary Artistic 2023 Competition,All around,,12.95,5,7.95,0,11,13.65,5.0,8.65,0.0,3,13.65,5.0,8.65,0,1,13.05,4.5,8.55,0.0,7,53.300,5,2023-05-27T21:52:06.863Z
274399,Kenzia Cox,Turn & Gymnastic Circle,WAG Step 3 Comp 1,UNDER,MIGS Elementary Artistic 2023 Competition,All around,,12.7,5,7.7,0,14,12.65,5.0,7.65,0.0,11,11.9,5.0,6.9,0,10,13.0,4.5,8.5,0.0,10,50.250,10,2023-05-27T21:53:07.103Z
297486,Lacey James,Turn & Gymnastic Circle,WAG Step 3 Comp 1,UNDER,MIGS Elementary Artistic 2023 Competition,All around,,12.45,5,7.45,0,15,12.8,5.0,7.8,0.0,10,9.75,4.2,5.55,0,15,13.55,4.5,9.05,0.0,4,48.550,13,2023-05-27T21:54:03.569Z
557406,Ella Rorholt,Turn & Gymnastic Circle,WAG Step 3 Comp 1,UNDER,MIGS Elementary Artistic 2023 Competition,All around,,14.0,5,9.0,0,1,13.6,5.0,8.6,0.0,4,12.65,4.5,8.15,0,8,13.35,4.5,8.85,0.0,5,53.600,4,2023-05-27T21:47:03.193Z
574942,Lyla Kay,Turn & Gymnastic Circle,WAG Step 3 Comp 1,UNDER,MIGS Elementary Artistic 2023 Competition,All around,,13.5,5,8.5,0,2,13.5,5.0,8.5,0.0,6,12.85,4.5,8.35,0,6,12.5,4.5,8.0,0.0,12,52.350,7,2023-05-27T21:47:47.165Z
303440,Emma Thorndike,Turn & Gymnastic Circle,WAG Step 3 Comp 1,UNDER,MIGS Elementary Artistic 2023 Competition,All around,,12.75,5,7.75,0,13,13.4,5.0,8.4,0.0,7,10.6,3.5,7.1,0,13,13.2,4.5,8.7,0.0,6,49.950,11,2023-05-27T21:48:55.970Z
644582,Harper Chadwick,Waitara Gymnastics,WAG Step 3 Comp 1,UNDER,MIGS Elementary Artistic 2023 Competition,All around,,12.35,5,7.35,0,16,13.6,5.0,8.6,0.0,4,13.6,5.0,8.6,0,2,13.05,4.5,8.55,0.0,7,52.600,6,2023-05-27T21:59:34.624Z
