gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
555198,Alex McCutcheon Barrett,Central Gymnastics,STEP 5,OVER,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",,13.0,5,8.0,0,17,12.85,5,7.85,0,5,12.65,5.0,7.65,0,6,12.6,5.0,7.6,0.0,17,51.100,8,2023-05-13T07:44:53.741Z
663020,Ella Maguire,Harbour City Gymnastics,STEP 5,OVER,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",,13.25,5,8.25,0,10,10.65,5,5.65,0,23,10.6,5.0,5.6,0,19,12.4,5.0,7.4,0.0,18,46.900,21,2023-05-13T07:40:18.716Z
175160,Aria Swallow,Harbour City Gymnastics,STEP 5,OVER,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",,12.75,5,7.75,0,18,12.25,5,7.25,0,14,12.5,5.0,7.5,0,10,13.15,5.0,8.15,0.0,9,50.650,10,2023-05-13T07:40:53.025Z
201094,Eva McEwan,Harbour City Gymnastics,STEP 5,OVER,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",,14.0,5,9.0,0,2,12.6,5,7.6,0,8,10.85,4.5,7.35,1,18,12.9,5.0,7.9,0.0,14,50.350,13,2023-05-13T07:42:16.961Z
287944,Aliana Watson,Hastings Gymnastics,STEP 5,OVER,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",,12.0,5,7.0,0,24,12.55,5,7.55,0,10,11.3,5.0,6.3,0,16,13.45,5.0,8.45,0.0,5,49.300,16,2023-05-13T07:43:06.547Z
555070,Isla Bawden,Hastings Gymnastics,STEP 5,OVER,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",,13.45,5,8.45,0,6,13.25,5,8.25,0,2,12.85,5.0,7.85,0,5,13.6,5.0,8.6,0.0,2,53.150,2,2023-05-13T07:44:01.481Z
567991,Ren Comrie,Levin Gymnastics,STEP 5,OVER,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",,12.5,5,7.5,0,20,12.45,5,7.45,0,11,12.1,5.0,7.1,0,11,13.6,5.0,8.6,0.0,2,50.650,10,2023-05-13T07:36:17.107Z
567989,Kana Komikado,Levin Gymnastics,STEP 5,OVER,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",,13.7,5,8.7,0,4,12.85,5,7.85,0,5,13.25,5.0,8.25,0,2,13.5,5.0,8.5,0.0,4,53.300,1,2023-05-13T07:37:17.019Z
569849,Sydnee Hallett,Levin Gymnastics,STEP 5,UNDER,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",,8.95,5,4.95,1,7,12.25,5,7.25,0,6,9.05,4.2,4.85,0,7,12.95,5.0,7.95,0.0,4,43.200,7,2023-05-13T07:38:32.318Z
249317,Madison Lynch,Onslow Gymnastics,STEP 5,OVER,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",,12.25,5,7.25,0,23,12.35,5,7.35,0,12,9.7,4.5,5.2,0,21,11.6,4.5,7.1,0.0,23,45.900,23,2023-05-13T07:38:41.639Z
284779,Lia Vlaar,Onslow Gymnastics,STEP 5,OVER,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",,13.1,5,8.1,0,15,11.35,5,6.35,0,21,10.2,4.0,6.2,0,20,12.4,5.0,7.4,0.0,18,47.050,20,2023-05-13T07:39:23.747Z
