gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
555198,Alex McCutcheon Barrett,Central Gymnastics,STEP 5,OVER,Manawatu Senior Opens 2023,App Finals,,12.55,5,7.55,0,22,12.0,5.0,7.0,0,21,9.85,4.0,5.85,0,24,11.5,5.0,6.5,0,22,45.900,0,2023-03-26T03:28:48.189Z
287944,Aliana Watson,Hastings Gymnastics,STEP 5,OVER,Manawatu Senior Opens 2023,App Finals,,13.25,5,8.25,0,12,12.35,5.0,7.35,0,18,12.4,5.0,7.4,0,10,12.35,5.0,7.35,0,18,50.350,0,2023-03-26T03:22:23.634Z
555070,Isla Bawden,Hastings Gymnastics,STEP 5,OVER,Manawatu Senior Opens 2023,App Finals,,13.05,5,8.05,0,16,12.7,5.0,7.7,0,15,12.75,5.0,7.75,0,5,12.75,5.0,7.75,0,11,51.250,0,2023-03-26T03:25:33.026Z
229045,Ema Gatland,Hutt Valley Gymnastics,STEP 5,UNDER,Manawatu Senior Opens 2023,App Finals,,14.15,5,9.15,0,1,13.95,5.0,8.95,0,2,10.65,4.5,6.15,0,13,13.55,5.0,8.55,0,1,52.300,0,2023-03-26T03:06:34.601Z
301962,Elsiana Shearer Orr,Hutt Valley Gymnastics,STEP 5,UNDER,Manawatu Senior Opens 2023,App Finals,,12.6,5,7.6,0,12,12.75,5.0,7.75,0,8,10.6,4.5,7.1,1,14,12.0,5.0,7.0,0,9,47.950,0,2023-03-26T03:52:16.888Z
278716,Madeline Joe,Hutt Valley Gymnastics,STEP 5,UNDER,Manawatu Senior Opens 2023,App Finals,,13.8,5,8.8,0,4,14.1,5.0,9.1,0,1,13.6,5.0,8.6,0,2,13.55,5.0,8.55,0,1,55.050,0,2023-03-26T03:09:57.675Z
219201,Eleanor Henry,Hutt Valley Gymnastics,STEP 5,UNDER,Manawatu Senior Opens 2023,App Finals,,13.55,5,8.55,0,5,10.85,5.0,5.85,0,12,13.2,4.5,8.7,0,4,12.1,5.0,7.1,0,8,49.700,0,2023-03-26T03:11:49.601Z
204241,Maia Mason,Hutt Valley Gymnastics,STEP 5,OVER,Manawatu Senior Opens 2023,App Finals,,13.55,5,8.55,0,3,11.7,5.0,6.7,0,24,12.5,4.5,8.0,0,8,13.25,5.0,8.25,0,4,51.000,0,2023-03-26T03:13:10.360Z
296472,Vanisha Tandon,Hutt Valley Gymnastics,STEP 5,OVER,Manawatu Senior Opens 2023,App Finals,,13.4,5,8.4,0,8,13.45,5.0,8.45,0,3,13.25,5.0,8.25,0,4,13.1,5.0,8.1,0,6,53.200,0,2023-03-26T03:13:58.163Z
192269,Poppy Cowan,Hutt Valley Gymnastics,STEP 5,OVER,Manawatu Senior Opens 2023,App Finals,,13.65,5,8.65,0,2,13.35,5.0,8.35,0,5,13.55,5.0,8.55,0,1,13.35,5.0,8.35,0,3,53.900,0,2023-03-26T03:15:04.497Z
