gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
227008,Frankie Biggs,Hastings Gymnastics,STEP 6,OVER,Manawatu Senior Opens 2023,All Around,,13.3,5,8.3,0,4,10.8,5,5.8,0,6,11.766,4.7,7.066,0,7,13.15,5.0,8.15,0.0,3,49.016,5,2023-03-24T23:44:46.699Z
295365,Julia Pearson,Hastings Gymnastics,STEP 6,UNDER,Manawatu Senior Opens 2023,All Around,,13.0,5,8.0,0,9,11.933,5,6.933,0,6,11.733,4.7,7.033,0,10,12.35,5.0,7.35,0.0,9,49.016,10,2023-03-24T23:46:23.161Z
218948,Cian Joe,Hastings Gymnastics,STEP 6,OVER,Manawatu Senior Opens 2023,All Around,,13.45,5,8.45,0,3,12.6,5,7.6,0,2,13.233,5.0,8.233,0,3,13.1,5.0,8.1,0.0,4,52.383,2,2023-03-24T23:46:46.074Z
226366,Sia Vaka,Hutt Valley Gymnastics,STEP 6,UNDER,Manawatu Senior Opens 2023,All Around,,13.0,5,8.0,0,9,12.466,5,7.466,0,3,11.4,5.0,6.4,0,12,12.5,5.0,7.5,0.0,7,49.366,9,2023-03-24T23:48:04.882Z
272548,Lucia Hertanto,Hutt Valley Gymnastics,STEP 6,UNDER,Manawatu Senior Opens 2023,All Around,,13.65,5,8.65,0,3,11.233,5,6.233,0,10,12.866,5.0,7.866,0,6,12.75,5.0,7.75,0.0,4,50.499,7,2023-03-24T23:50:38.266Z
219387,Indy Dinou,Kapiti Gymnastics,STEP 6,UNDER,Manawatu Senior Opens 2023,All Around,,12.4,5,7.4,0,12,12.633,5,7.633,0,2,13.3,5.0,8.3,0,3,13.55,5.0,8.55,0.0,1,51.883,2,2023-03-24T23:52:11.347Z
256431,Abby Downes,Kapiti Gymnastics,STEP 6,UNDER,Manawatu Senior Opens 2023,All Around,,14.5,5,9.5,0,1,12.133,5,7.133,0,5,12.033,5.0,7.033,0,8,12.35,5.0,7.35,0.0,9,51.016,6,2023-03-24T23:43:14.425Z
216131,Isla Leith,Kapiti Gymnastics,STEP 6,OVER,Manawatu Senior Opens 2023,All Around,,13.3,5,8.3,0,4,10.633,5,5.633,0,7,11.433,4.5,6.933,0,8,10.3,4.5,6.8,1.0,6,45.666,6,2023-03-24T23:45:51.998Z
256035,Ella Field,Manawatu GymSports,STEP 6,OVER,Manawatu Senior Opens 2023,All Around,,13.3,5,8.3,0,4,0.0,0,0.0,0,0,12.366,5.0,7.366,0,5,0.0,0.0,0.0,0.0,0,25.666,0,2023-03-24T23:36:08.550Z
227105,Lily-Mae Dawson,Manawatu GymSports,STEP 6,OVER,Manawatu Senior Opens 2023,All Around,,14.05,5,9.05,0,1,12.333,5,7.333,0,3,11.9,4.5,7.4,0,6,12.8,5.0,7.8,0.0,5,51.083,4,2023-03-24T23:42:32.082Z
584502,Ruby Duncan,Manawatu GymSports,STEP 6,UNDER,Manawatu Senior Opens 2023,All Around,,13.65,5,8.65,0,3,11.666,5,6.666,0,8,13.666,5.0,8.666,0,1,12.6,5.0,7.6,0.0,6,51.582,4,2023-03-24T23:44:31.120Z
218585,Sophie Long,Manawatu GymSports,STEP 6,OVER,Manawatu Senior Opens 2023,All Around,,13.5,5,8.5,0,2,12.9,5,7.9,0,1,13.133,4.7,8.433,0,4,13.35,5.0,8.35,0.0,2,52.883,1,2023-03-24T23:40:17.165Z
184268,Zana Manisty,OMNI Gymnastic Centre,STEP 6,UNDER,Manawatu Senior Opens 2023,All Around,,13.6,5,8.6,0,5,12.666,5,7.666,0,1,13.0,5.0,8.0,0,5,12.25,5.0,7.25,0.0,11,51.516,5,2023-03-24T23:45:23.485Z
295562,Stephanie Chandra,OMNI Gymnastic Centre,STEP 6,UNDER,Manawatu Senior Opens 2023,All Around,,13.25,5,8.25,0,7,12.433,5,7.433,0,4,13.266,5.0,8.266,0,4,13.15,5.0,8.15,0.0,3,52.099,1,2023-03-24T23:47:26.430Z
227004,Nadia Liesebach,OMNI Gymnastic Centre,STEP 6,UNDER,Manawatu Senior Opens 2023,All Around,,14.0,5,9.0,0,2,11.1,5,6.1,0,11,13.333,5.0,8.333,0,2,13.3,5.0,8.3,0.0,2,51.733,3,2023-03-24T23:49:38.713Z
193219,Lucy Bickers,OMNI Gymnastic Centre,STEP 6,UNDER,Manawatu Senior Opens 2023,All Around,,12.8,5,7.8,0,11,11.733,5,6.733,0,7,12.566,5.0,7.566,0,7,12.75,5.0,7.75,0.0,4,49.849,8,2023-03-24T23:42:40.685Z
721591,Isabella Maria Brownlie,OMNI Gymnastic Centre,STEP 6,UNDER,Manawatu Senior Opens 2023,All Around,,13.3,5,8.3,0,6,10.733,5,5.733,0,12,11.666,5.0,6.666,0,11,12.5,5.0,7.5,0.0,7,48.199,11,2023-03-24T23:44:19.242Z
268212,Chloe Moreton,Twisters Tawa Gymnastic Club,STEP 6,OVER,Manawatu Senior Opens 2023,All Around,,12.9,5,7.9,0,8,11.3,5,6.3,0,5,13.766,5.0,8.766,0,1,13.45,5.0,8.45,0.0,1,51.416,3,2023-03-24T23:47:31.451Z
295759,Jessie Dravitzki,Twisters Tawa Gymnastic Club,STEP 6,OVER,Manawatu Senior Opens 2023,All Around,,13.3,5,8.3,0,4,11.933,5,6.933,0,4,13.4,5.0,8.4,0,2,0.0,0.0,0.0,0.0,0,38.633,0,2023-03-24T23:48:29.197Z
638469,Grace Lee,Twisters Tawa Gymnastic Club,STEP 6,UNDER,Manawatu Senior Opens 2023,All Around,,13.2,5,8.2,0,8,11.4,5,6.4,0,9,11.866,5.0,6.866,0,9,8.8,4.0,7.3,2.5,12,45.266,12,2023-03-24T23:49:26.881Z
