gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
543081,Annabel Dutton,Christchurch School of Gymnastics,STEP 5 Day 1: Flight B,OVER,Top of the South Gymnastics Competition,Apparatus and teams,,14.1,5,9.1,0.0,1,14.05,5.0,9.05,0,1,13.0,5.0,8.0,0,2,13.0,5.0,8.0,0,1,54.150,0,2023-04-22T00:58:04.236Z
532654,Laura McKenzie,Christchurch School of Gymnastics,STEP 5 Day 1: Flight B,OVER,Top of the South Gymnastics Competition,Apparatus and teams,,13.1,5,8.1,0.0,8,13.2,5.0,8.2,0,5,12.55,5.0,7.55,0,4,12.2,5.0,7.2,0,4,51.050,0,2023-04-22T00:58:42.669Z
294600,Payton Hutchinson,Affinity Gymnastics Academy,STEP 5 Day 1: Flight B,OVER,Top of the South Gymnastics Competition,Apparatus and teams,,13.15,5,8.25,0.1,6,12.6,5.0,7.6,0,8,11.6,4.5,7.1,0,8,11.45,5.0,6.45,0,9,48.800,0,2023-04-22T00:59:49.806Z
268742,Sophia Thompson,Affinity Gymnastics Academy,STEP 5 Day 1: Flight B,OVER,Top of the South Gymnastics Competition,Apparatus and teams,,12.35,5,7.35,0.0,10,12.2,5.0,7.2,0,10,12.6,5.0,7.6,0,3,10.1,4.5,5.6,0,10,47.250,0,2023-04-22T01:00:21.560Z
556306,Meg Allingham,Affinity Gymnastics Academy,STEP 5 Day 1: Flight B,OVER,Top of the South Gymnastics Competition,Apparatus and teams,,13.25,5,8.25,0.0,5,12.3,5.0,7.3,0,9,9.9,3.7,6.2,0,10,11.85,5.0,6.85,0,8,47.300,0,2023-04-22T01:09:07.847Z
153754,Holly Velenski,Affinity Gymnastics Academy,STEP 5 Day 1: Flight B,OVER,Top of the South Gymnastics Competition,Apparatus and teams,,13.8,5,8.8,0.0,3,13.4,5.0,8.4,0,4,10.3,4.2,6.1,0,9,12.65,5.0,7.65,0,2,50.150,0,2023-04-22T01:00:46.427Z
603642,Grace Luvenitoga,Affinity Gymnastics Academy,STEP 5 Day 1: Flight B,OVER,Top of the South Gymnastics Competition,Apparatus and teams,,13.15,5,8.15,0.0,6,13.0,5.0,8.0,0,6,13.1,5.0,8.1,0,1,12.1,5.0,7.1,0,6,51.350,0,2023-04-22T00:57:33.511Z
542063,Sasha Anson,Affinity Gymnastics Academy,STEP 5 Day 1: Flight B,OVER,Top of the South Gymnastics Competition,Apparatus and teams,,12.8,5,7.8,0.0,9,13.45,5.0,8.45,0,3,11.75,5.0,6.75,0,7,12.3,5.0,7.3,0,3,50.300,0,2023-04-22T00:58:13.228Z
268686,Alice Larsen,Affinity Gymnastics Academy,STEP 5 Day 1: Flight B,OVER,Top of the South Gymnastics Competition,Apparatus and teams,,13.55,5,8.55,0.0,4,13.55,5.0,8.55,0,2,12.4,5.0,7.4,0,5,12.0,5.0,7.0,0,7,51.500,0,2023-04-22T00:59:10.756Z
714181,Leah Caitlyn King,Olympia Gymnastic Sports,STEP 5 Day 1: Flight B,OVER,Top of the South Gymnastics Competition,Apparatus and teams,,13.9,5,8.9,0.0,2,12.95,5.0,7.95,0,7,12.3,4.2,8.1,0,6,12.2,5.0,7.2,0,4,51.350,0,2023-04-22T01:03:38.616Z
