gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
525517,Grace Chamberlain,Te Wero Gymnastics,STEP 6,UNDER,Top of the South Gymnastics Competition,Day 1: Apparatus and Teams,,13.95,5,8.95,0.0,7,13.15,5.0,8.15,0.0,4,13.55,5.0,8.55,0,5,14.05,5,9.05,0.0,2,54.700,0,2023-04-21T21:41:21.245Z
245030,Harper Muir,Te Wero Gymnastics,STEP 6,UNDER,Top of the South Gymnastics Competition,Day 1: Apparatus and Teams,,14.6,5,9.6,0.0,1,13.15,5.0,8.15,0.0,4,12.95,5.0,7.95,0,9,13.9,5,8.9,0.0,4,54.600,0,2023-04-21T21:47:54.077Z
550965,Solara Burrows,Te Wero Gymnastics,STEP 6,UNDER,Top of the South Gymnastics Competition,Day 1: Apparatus and Teams,,13.95,5,8.95,0.0,7,12.95,5.0,7.95,0.0,6,13.4,5.0,8.4,0,6,13.2,5,8.3,0.1,12,53.500,0,2023-04-21T21:41:49.092Z
242594,Emma Wong,Te Wero Gymnastics,STEP 6,UNDER,Top of the South Gymnastics Competition,Day 1: Apparatus and Teams,,13.4,5,8.4,0.0,14,14.25,5.0,9.25,0.0,1,14.2,5.0,9.2,0,1,13.3,5,8.3,0.0,9,55.150,0,2023-04-21T21:40:35.279Z
266996,Kaia Mackenzie Erkens,Capital Gymnastics Club,STEP 6,UNDER,Top of the South Gymnastics Competition,Day 1: Apparatus and Teams,,13.1,5,8.1,0.0,16,12.5,5.0,7.5,0.0,14,12.45,5.0,7.45,0,12,12.7,5,7.7,0.0,18,50.750,0,2023-04-21T21:43:20.983Z
256633,Carmen Lee,Capital Gymnastics Club,STEP 6,UNDER,Top of the South Gymnastics Competition,Day 1: Apparatus and Teams,,14.1,5,9.1,0.0,4,12.45,5.0,7.45,0.0,15,14.0,5.0,9.0,0,2,13.6,5,8.6,0.0,7,54.150,0,2023-04-21T21:44:26.949Z
278578,Laura Rees,Capital Gymnastics Club,STEP 6,UNDER,Top of the South Gymnastics Competition,Day 1: Apparatus and Teams,,13.6,5,8.9,0.3,10,12.8,5.0,7.8,0.0,8,13.9,5.0,8.9,0,4,14.15,5,9.15,0.0,1,54.450,0,2023-04-21T21:45:21.727Z
542905,Ava Dillon,Christchurch School of Gymnastics,STEP 6,UNDER,Top of the South Gymnastics Competition,Day 1: Apparatus and Teams,,13.1,5,8.1,0.0,16,12.55,5.0,7.55,0.0,12,14.0,5.0,9.0,0,2,13.45,5,8.45,0.0,8,53.100,0,2023-04-21T21:44:51.103Z
278682,Lucy McFarlane,Rimutaka Gymnastics Club,STEP 6,UNDER,Top of the South Gymnastics Competition,Day 1: Apparatus and Teams,,13.7,5,8.7,0.0,9,12.05,5.0,7.05,0.0,17,10.8,5.0,5.8,0,19,13.0,5,8.0,0.0,15,49.550,0,2023-04-21T21:37:41.743Z
256431,Abby Downes,Kapiti Gymnastics,STEP 6,UNDER,Top of the South Gymnastics Competition,Day 1: Apparatus and Teams,,14.05,5,9.05,0.0,5,12.15,5.0,7.15,0.0,16,11.15,4.5,6.65,0,17,14.05,5,9.05,0.0,2,51.400,0,2023-04-21T21:31:08.036Z
219387,Indy Dinou,Kapiti Gymnastics,STEP 6,UNDER,Top of the South Gymnastics Competition,Day 1: Apparatus and Teams,,14.15,5,9.15,0.0,2,13.25,5.0,8.25,0.0,2,12.2,5.0,7.2,0,14,13.65,5,8.65,0.0,5,53.250,0,2023-04-21T21:33:27.973Z
638469,Grace Lee,Twisters Tawa,STEP 6,UNDER,Top of the South Gymnastics Competition,Day 1: Apparatus and Teams,,12.55,5,7.55,0.0,20,11.55,5.0,6.55,0.0,18,9.95,4.2,5.75,0,21,0.0,0,0.0,0.0,0,34.050,0,2023-04-21T21:47:22.046Z
291325,Nim Poole,Affinity Gymnastics Academy,STEP 6,UNDER,Top of the South Gymnastics Competition,Day 1: Apparatus and Teams,,13.35,5,8.35,0.0,15,9.15,4.5,6.15,1.5,20,12.75,5.0,7.75,0,11,12.65,5,7.65,0.0,19,47.900,0,2023-04-21T21:23:25.845Z
262568,Chan'e Botha,Affinity Gymnastics Academy,STEP 6,UNDER,Top of the South Gymnastics Competition,Day 1: Apparatus and Teams,,14.15,5,9.15,0.0,2,12.65,5.0,7.65,0.0,10,13.3,5.0,8.3,0,8,13.65,5,8.65,0.0,5,53.750,0,2023-04-21T21:24:16.603Z
222722,Isabel Prescott,Affinity Gymnastics Academy,STEP 6,UNDER,Top of the South Gymnastics Competition,Day 1: Apparatus and Teams,,13.5,5,8.5,0.0,12,12.55,5.0,7.55,0.0,12,12.35,5.0,7.35,0,13,13.2,5,8.2,0.0,12,51.600,0,2023-04-21T21:26:22.191Z
