gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
693226,Sara Balicevac,Hutt Valley Gymnastics,Step 1,OVER,Twisters Elementary Competition 2023,"AA, App, Teams",,13.566,5,8.566,0,6,12.366,5.0,7.366,0,14,13.8,5,8.8,0,5,13.133,5.0,8.133,0,9,52.865,8,2023-05-07T02:43:40.720Z
644825,Mia Edwards,Hutt Valley Gymnastics,Step 1,OVER,Twisters Elementary Competition 2023,"AA, App, Teams",,13.766,5,8.766,0,4,12.366,5.0,7.366,0,14,12.7,5,7.7,0,15,13.033,5.0,8.033,0,10,51.865,13,2023-05-07T02:45:36.633Z
644826,Sophia Edwards,Hutt Valley Gymnastics,Step 1,OVER,Twisters Elementary Competition 2023,"AA, App, Teams",,14.2,5,9.2,0,2,12.666,5.0,7.666,0,12,13.85,5,8.85,0,4,12.8,4.5,8.3,0,12,53.516,4,2023-05-07T02:47:11.437Z
618031,Tova Grocott,Hutt Valley Gymnastics,Step 1,OVER,Twisters Elementary Competition 2023,"AA, App, Teams",,14.433,5,9.433,0,1,12.733,5.0,7.733,0,10,14.55,5,9.55,0,1,14.2,5.0,9.2,0,1,55.916,1,2023-05-07T02:36:11.536Z
617893,Mackenzie Burridge,Hutt Valley Gymnastics,Step 1,OVER,Twisters Elementary Competition 2023,"AA, App, Teams",,13.733,5,8.733,0,5,13.066,5.0,8.066,0,4,13.65,5,8.65,0,8,13.9,5.0,8.9,0,2,54.349,3,2023-05-07T02:37:50.307Z
281304,Sienna Richardson,Hutt Valley Gymnastics,Step 1,UNDER,Twisters Elementary Competition 2023,"AA, App, Teams",,13.466,5,8.466,0,6,13.133,5.0,8.133,0,5,13.45,5,8.45,0,11,13.366,5.0,8.366,0,6,53.415,5,2023-05-07T02:40:06.970Z
686223,Luna Reid,Hutt Valley Gymnastics,Step 1,UNDER,Twisters Elementary Competition 2023,"AA, App, Teams",,14.1,5,9.1,0,1,13.266,5.0,8.266,0,2,14.65,5,9.65,0,1,13.766,5.0,8.766,0,4,55.782,1,2023-05-07T02:41:50.020Z
576433,Mackenzie Groenewegen,Rimutaka Gymsports,Step 1,OVER,Twisters Elementary Competition 2023,"AA, App, Teams",,13.366,5,8.366,0,9,12.666,5.0,7.666,0,12,13.7,5,8.7,0,6,13.0,5.0,8.0,0,11,52.732,9,2023-05-07T02:42:05.056Z
611690,Maddison Isaac,Rimutaka Gymsports,Step 1,UNDER,Twisters Elementary Competition 2023,"AA, App, Teams",,13.466,5,8.466,0,6,13.066,5.0,8.066,0,6,13.6,5,8.6,0,8,12.933,4.5,8.433,0,11,53.065,8,2023-05-07T02:49:47.668Z
634032,Peyton Smith,Rimutaka Gymsports,Step 1,UNDER,Twisters Elementary Competition 2023,"AA, App, Teams",,12.466,5,7.466,0,15,12.833,5.0,7.833,0,12,11.35,5,6.35,0,18,12.4,4.5,7.9,0,15,49.049,17,2023-05-07T02:51:00.189Z
649525,Amy Jacomb,Rimutaka Gymsports,Step 1,UNDER,Twisters Elementary Competition 2023,"AA, App, Teams",,11.266,5,7.266,1,18,12.933,5.0,7.933,0,11,13.6,5,8.6,0,8,13.0,5.0,8.0,0,10,50.799,15,2023-05-07T02:52:47.255Z
503680,Natalia Zimmermann,Rimutaka Gymsports,Step 1,UNDER,Twisters Elementary Competition 2023,"AA, App, Teams",,13.333,5,8.333,0,8,13.6,5.0,8.6,0,1,13.55,5,8.55,0,10,12.9,5.0,7.9,0,12,53.383,6,2023-05-07T02:43:29.677Z
521694,Capri England,Rimutaka Gymsports,Step 1,UNDER,Twisters Elementary Competition 2023,"AA, App, Teams",,12.833,5,7.833,0,14,13.066,5.0,8.066,0,6,12.65,5,7.65,0,16,13.3,5.0,8.3,0,7,51.849,13,2023-05-07T02:42:51.763Z
710352,Elle Vodanovich,Twisters Gymnastics Club,Step 1,OVER,Twisters Elementary Competition 2023,"AA, App, Teams",,13.4,5,8.4,0,8,12.866,5.0,7.866,0,7,13.6,5,8.6,0,9,12.533,4.5,8.033,0,13,52.399,12,2023-05-07T02:47:36.207Z
738404,Sophia Lin,Twisters Gymnastics Club,Step 1,OVER,Twisters Elementary Competition 2023,"AA, App, Teams",,12.766,5,7.766,0,14,12.933,5.0,7.933,0,6,13.3,5,8.3,0,11,12.266,4.5,7.766,0,15,51.265,15,2023-05-07T02:51:16.183Z
616581,Enyushka Melnikova,Twisters Gymnastics Club,Step 1,OVER,Twisters Elementary Competition 2023,"AA, App, Teams",,12.966,5,7.966,0,12,13.4,5.0,8.4,0,3,13.2,5,8.2,0,12,13.4,5.0,8.4,0,6,52.966,6,2023-05-07T02:46:16.173Z
710350,Lily Baines,Twisters Gymnastics Club,Step 1,UNDER,Twisters Elementary Competition 2023,"AA, App, Teams",,12.466,5,7.466,0,15,11.966,5.0,6.966,0,17,13.4,5,8.4,0,12,9.966,4.0,5.966,0,18,47.798,18,2023-05-07T02:49:55.809Z
740797,Isabelle Muir,Twisters Gymnastics Club,Step 1,UNDER,Twisters Elementary Competition 2023,"AA, App, Teams",,13.633,5,8.633,0,4,13.033,5.0,8.033,0,8,13.7,5,8.7,0,7,11.8,4.0,7.8,0,17,52.166,10,2023-05-07T02:39:29.358Z
