gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
246517,Amalie Carrara,Christchurch School of Gymnastics,STEP 5 Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,14.033,5,9.033,0,3,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,14.033,0,2023-04-15T06:15:53.391Z
512241,Tori Vibert,Impact Gymsports Academy,STEP 5 Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,13.833,5,8.833,0,5,13.4,5,8.4,0,6,10.566,4.0,6.566,0.0,8,13.4,5,8.4,0,4,51.199,0,2023-04-15T06:24:18.792Z
563823,Saya Green,Impact Gymsports Academy,STEP 5 Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,14.4,5,9.4,0,1,13.666,5,8.666,0,3,0.0,0.0,0.0,0.0,0,13.566,5,8.566,0,2,41.632,0,2023-04-15T06:20:17.532Z
273123,Charlize Chang,Counties Manukau,STEP 5 Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,13.666,5,8.666,0,6,0.0,0,0.0,0,0,12.133,5.0,7.233,0.1,6,0.0,0,0.0,0,0,25.799,0,2023-04-15T06:21:20.842Z
639437,Grace Ollernshaw,Balclutha Gymnastics Club,STEP 5 Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,14.166,5,9.166,0,2,0.0,0,0.0,0,0,12.733,4.7,8.033,0.0,3,0.0,0,0.0,0,0,26.899,0,2023-04-15T06:23:36.091Z
566948,Annabelle Pointon,Twisters Tawa Gymnastic Club,STEP 5 Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,13.1,5,8.1,0,7,13.6,5,8.6,0,4,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,26.700,0,2023-04-15T06:18:06.184Z
525086,Ingrid Roy,Christchurch School of Gymnastics,STEP 5 Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,13.9,5,8.9,0,4,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,13.066,5,8.066,0,5,26.966,0,2023-04-15T06:16:53.290Z
281079,Olivia Mei,Dunedin Gymnastics Academy,STEP 5 Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,12.666,5,7.666,0,8,13.833,5,8.833,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,26.499,0,2023-04-15T06:19:05.393Z
517651,Alicia Li,Tri Star Gymnastics,STEP 5 Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,0.0,0,0.0,0,0,13.8,5,8.8,0,2,12.233,4.5,7.833,0.1,5,0.0,0,0.0,0,0,26.033,0,2023-04-15T06:21:04.333Z
263565,Pipi Boereboom,Dunedin Gymnastics Academy,STEP 5 Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,0.0,0,0.0,0,0,13.466,5,8.466,0,5,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,13.466,0,2023-04-15T06:19:50.760Z
603894,Karien de Bock,Olympia Gymnastic Sports,STEP 5 Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,0.0,0,0.0,0,0,12.166,5,7.166,0,8,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,12.166,0,2023-04-15T06:18:46.471Z
293540,Hannah Jing,Waitakere Gymnastics,STEP 5 Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,0.0,0,0.0,0,0,13.333,5,8.333,0,7,11.666,5.0,6.666,0.0,7,0.0,0,0.0,0,0,24.999,0,2023-04-15T06:23:51.915Z
