gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
156710,Renee Brown,Tri Star Gymnastics,STEP 8 - Day 2,OVER,CSG Classic 2023,Apparatus Finals,,11.833,3.2,8.633,0,3,10.366,2.9,7.466,0,4,12.266,4.2,8.066,0,2,11.6,3.8,8.1,0.3,2,46.065,0,2023-04-15T06:53:25.322Z
534476,Alyssa Gauldie,Invercargill Gymnastics Club,STEP 8 - Day 2,OVER,CSG Classic 2023,Apparatus Finals,,11.866,3.4,8.466,0,2,11.1,2.7,8.4,0,1,0.0,0.0,0.0,0,0,11.5,3.9,7.6,0.0,4,34.466,0,2023-04-15T06:51:53.460Z
534459,Millie Scott,Invercargill Gymnastics Club,STEP 8 - Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,11.766,3.4,8.366,0,4,10.033,3.1,6.933,0,5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,21.799,0,2023-04-15T06:49:03.001Z
531987,Gurjeeya Kaur,Counties Manukau,STEP 8 - Day 2,OVER,CSG Classic 2023,Apparatus Finals,,11.433,3.2,8.233,0,5,11.0,2.4,8.6,0,2,12.366,3.7,8.666,0,1,11.566,4.1,7.566,0.1,3,46.365,0,2023-04-15T20:32:29.926Z
220976,Anna Elliott,Hutt Valley Gymnastics Club,STEP 8 - Day 2,OVER,CSG Classic 2023,Apparatus Finals,,12.233,3.2,9.033,0,1,9.9,2.3,7.6,0,6,9.766,3.6,6.166,0,8,11.2,3.6,7.9,0.3,7,43.099,0,2023-04-15T06:52:12.360Z
531975,Merle Zibolsky,Tri Star Gymnastics,STEP 8 - Day 2,OVER,CSG Classic 2023,Apparatus Finals,,11.333,3.4,7.933,0,6,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,11.333,0,2023-04-15T06:38:33.307Z
147789,Alex Quickenden,Tri Star Gymnastics,STEP 8 - Day 2,OVER,CSG Classic 2023,Apparatus Finals,,11.133,3.4,7.733,0,7,9.7,2.3,7.4,0,7,11.166,3.7,7.466,0,4,0.0,0.0,0.0,0.0,0,31.999,0,2023-04-15T06:50:06.137Z
222114,Zuzanna Kochan,Dunedin Gymnastics Academy,STEP 8 - Day 2,OVER,CSG Classic 2023,Apparatus Finals,,9.4,3.2,6.2,0,8,0.0,0.0,0.0,0,0,10.766,3.9,6.866,0,5,11.333,3.3,8.033,0.0,5,31.499,0,2023-04-15T06:53:44.803Z
542072,Sienna Shields,NHG Gymnastics Club,STEP 8 - Day 2,OVER,CSG Classic 2023,Apparatus Finals,,0.0,0.0,0.0,0,0,7.3,1.6,5.7,0,8,0.0,0.0,0.0,0,0,11.266,4.0,7.266,0.0,6,18.566,0,2023-04-15T06:53:35.141Z
269872,Lulu Miller,Impact Gymsports Academy,STEP 8 - Day 2,OVER,CSG Classic 2023,Apparatus Finals,,0.0,0.0,0.0,0,0,10.566,3.4,7.166,0,3,12.2,3.4,8.8,0,3,0.0,0.0,0.0,0.0,0,22.766,0,2023-04-15T06:51:17.744Z
208819,Charlie Simmons,Hutt Valley Gymnastics Club,STEP 8 - Day 2,OVER,CSG Classic 2023,Apparatus Finals,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,10.5,2.9,7.6,0,7,0.0,0.0,0.0,0.0,0,10.500,0,2023-04-15T06:50:31.068Z
194347,Luci Strachan,Gymnastics Waitara,STEP 8 - Day 2,OVER,CSG Classic 2023,Apparatus Finals,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,10.633,3.4,7.233,0,6,0.0,0.0,0.0,0.0,0,10.633,0,2023-04-15T06:51:03.545Z
143208,Olivia Earl,Gymnastics Waitara,STEP 8 - Day 2,OVER,CSG Classic 2023,Apparatus Finals,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,12.0,4.1,7.9,0.0,1,12.000,0,2023-04-15T06:52:58.591Z
232437,Piper Smith,Gymnastics Waitara,STEP 8 - Day 2,OVER,CSG Classic 2023,Apparatus Finals,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,10.9,3.0,7.9,0.0,8,10.900,0,2023-04-15T06:53:10.247Z
195715,Amy Thomson,Waitakere Gymnastics,STEP 8 - Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,11.833,3.4,8.433,0,2,11.066,3.5,7.566,0,3,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,22.899,0,2023-04-15T07:03:13.130Z
245523,Maia Mclaughlan,Hutt Valley Gymnastics Club,STEP 8 - Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,12.166,3.4,8.766,0,1,11.166,3.5,7.666,0,2,12.633,4.2,8.433,0,1,12.366,4.1,8.266,0.0,1,48.331,0,2023-04-15T07:04:37.498Z
185851,Emily Barback,Impact Gymsports Academy,STEP 8 - Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,11.233,3.2,8.033,0,6,11.366,2.6,8.766,0,1,12.0,4.2,7.8,0,2,11.0,3.5,7.5,0.0,7,45.599,0,2023-04-15T07:03:55.853Z
541941,Ava Samuels,NHG Gymnastics Club,STEP 8 - Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,11.5,3.4,8.1,0,4,9.833,3.0,6.833,0,7,11.7,4.4,7.3,0,6,12.2,4.2,8.0,0.0,2,45.233,0,2023-04-15T07:03:23.941Z
534480,Madison Philpot,Invercargill Gymnastics Club,STEP 8 - Day 2,OVER,CSG Classic 2023,Apparatus Finals,,11.133,3.4,7.733,0,7,10.366,3.0,7.366,0,6,11.9,4.8,7.1,0,5,0.0,0.0,0.0,0.0,0,33.399,0,2023-04-15T07:04:18.865Z
230332,Ella Robinson,ARGOS Gymnastics Club,STEP 8 - Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,11.5,3.6,7.9,0,4,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,11.500,0,2023-04-15T07:03:40.032Z
542050,Rebecca Tull,Invercargill Gymnastics Club,STEP 8 - Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,11.566,3.2,8.366,0,3,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,10.8,3.7,7.1,0.0,8,22.366,0,2023-04-15T07:04:52.477Z
534457,Lucy van Zoelen,Invercargill Gymnastics Club,STEP 8 - Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,11.133,3.2,7.933,0,7,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,11.133,4.1,7.033,0.0,6,22.266,0,2023-04-15T07:04:07.612Z
283902,Natsumi Sekizaki,Waitakere Gymnastics,STEP 8 - Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,0.0,0.0,0.0,0,0,9.6,3.4,6.2,0,8,8.866,3.4,5.466,0,8,0.0,0.0,0.0,0.0,0,18.466,0,2023-04-15T06:57:26.669Z
278730,Te Ana Waiariki,Hutt Valley Gymnastics Club,STEP 8 - Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,0.0,0.0,0.0,0,0,10.466,2.9,7.566,0,5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,10.466,0,2023-04-15T06:55:51.102Z
212830,Leah Austin,Hutt Valley Gymnastics Club,STEP 8 - Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,0.0,0.0,0.0,0,0,10.733,2.5,8.233,0,4,11.966,3.5,8.466,0,3,0.0,0.0,0.0,0.0,0,22.699,0,2023-04-15T07:02:51.251Z
226575,Charlotte Bloxham,Dunedin Gymnastics Academy,STEP 8 - Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,11.066,4.1,6.966,0,7,11.6,3.8,7.8,0.0,4,22.666,0,2023-04-15T06:58:48.472Z
243147,Saki Ishikawa,Dunedin Gymnastics Academy,STEP 8 - Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,11.966,4.6,7.366,0,3,11.5,3.8,7.7,0.0,5,23.466,0,2023-04-15T07:02:28.137Z
539349,Alayna Wright,NHG Gymnastics Club,STEP 8 - Day 2,UNDER,CSG Classic 2023,Apparatus Finals,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,11.833,3.7,8.133,0.0,3,11.833,0,2023-04-15T06:58:27.630Z
