gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
291325,Nim Poole,Affinity Gymnastics Academy,STEP 6,UNDER,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",,13.2,5,8.2,0,11,10.0,4.5,7.0,1.5,12,12.966,5.0,7.966,0,7,13.2,5,8.2,0,11,49.366,12,2023-05-27T21:39:02.574Z
262568,Chan'e Botha,Affinity Gymnastics Academy,STEP 6,UNDER,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",,13.75,5,8.75,0,8,12.85,5.0,7.85,0.0,6,12.933,5.0,7.933,0,8,13.7,5,8.7,0,7,53.233,8,2023-05-27T21:41:03.287Z
222722,Isabel Prescott,Affinity Gymnastics Academy,STEP 6,UNDER,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",,14.05,5,9.05,0,4,13.05,5.0,8.05,0.0,5,12.9,5.0,7.9,0,9,13.45,5,8.45,0,9,53.450,7,2023-05-27T21:43:19.809Z
542905,Ava Dillon,Christchurch School of Gymnastics,STEP 6,UNDER,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",,12.9,5,7.9,0,12,12.75,5.0,7.75,0.0,9,14.0,5.0,9.0,0,2,13.45,5,8.45,0,9,53.100,9,2023-05-27T21:40:52.737Z
525509,Isabella Scholten,Dunedin Gymnastics Academy,STEP 6,UNDER,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",,14.0,5,9.0,0,5,12.2,5.0,7.2,0.0,10,13.7,5.0,8.7,0,4,13.6,5,8.6,0,8,53.500,6,2023-05-27T21:33:49.205Z
255657,Sam Williamson,Dunedin Gymnastics Academy,STEP 6,UNDER,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",,14.4,5,9.4,0,2,12.85,5.0,7.85,0.0,6,13.666,5.0,8.666,0,5,14.05,5,9.05,0,2,54.966,3,2023-05-27T21:36:25.439Z
248276,Millie Brooker,Gymnastics Nelson,STEP 6,UNDER,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",,14.05,5,9.05,0,2,12.7,5.0,7.7,0.0,2,12.7,5.0,7.7,0,5,13.0,5,8.0,0,4,52.450,3,2023-05-27T21:37:06.412Z
248276,Maia Jefford,Gymnastics Nelson,STEP 6,UNDER,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",,13.85,5,8.85,0,6,12.8,5.0,7.8,0.0,8,12.333,5.0,7.333,0,11,13.1,5,8.1,0,12,52.083,10,2023-05-27T21:38:56.029Z
235123,Neve Stewart,Olympia Gymnastic Sports,STEP 6,UNDER,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,11.566,4.5,7.066,0,13,10.0,4,7.0,1,13,21.566,0,2023-05-27T21:08:11.848Z
235325,Georgia Buckley,South Canterbury Gymsports,STEP 6,UNDER,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",,14.5,5,9.5,0,1,11.85,5.0,6.85,0.0,11,11.966,4.7,7.266,0,12,13.75,5,8.75,0,6,52.066,11,2023-05-27T21:33:05.416Z
525517,Grace Chamberlain,Te Wero Gymnastics Club,STEP 6,UNDER,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",,13.75,5,8.75,0,8,13.25,5.0,8.25,0.0,3,12.5,5.0,7.5,0,10,14.05,5,9.05,0,2,53.550,5,2023-05-27T21:34:18.136Z
245030,Harper Muir,Te Wero Gymnastics Club,STEP 6,UNDER,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",,14.25,5,9.25,0,3,13.3,5.0,8.3,0.0,1,13.766,5.0,8.766,0,3,13.8,5,8.8,0,5,55.116,1,2023-05-27T21:35:07.785Z
550965,Solara Burrows,Te Wero Gymnastics Club,STEP 6,UNDER,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",,13.85,5,8.85,0,6,13.2,5.0,8.2,0.0,4,13.666,5.0,8.666,0,5,14.15,5,9.15,0,1,54.866,4,2023-05-27T21:33:13.822Z
242594,Emma Wong,Te Wero Gymnastics Club,STEP 6,UNDER,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",,13.55,5,8.55,0,10,13.3,5.0,8.3,0.0,1,14.233,5.0,9.233,0,1,13.9,5,8.9,0,4,54.983,2,2023-05-27T21:31:58.929Z
258146,Madeleine Stuart,Christchurch School of Gymnastics,STEP 6,OVER,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",,13.4,5,8.4,0,5,11.9,5.0,6.9,0.0,3,13.466,5.0,8.466,0,4,11.4,5,6.4,0,6,50.166,4,2023-05-27T21:43:46.676Z
153418,Sophia Hastie,Christchurch School of Gymnastics,STEP 6,OVER,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",,13.75,5,8.75,0,3,13.45,5.0,8.45,0.0,1,13.633,5.0,8.633,0,2,13.45,5,8.45,0,1,54.283,1,2023-05-27T21:45:15.197Z
285375,Elise Morton,Gymnastics Nelson,STEP 6,OVER,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",,14.1,5,9.1,0,1,11.9,5.0,6.9,0.0,3,13.566,5.0,8.566,0,3,13.4,5,8.4,0,2,52.966,2,2023-05-27T21:34:44.501Z
268707,Kaitlin Moore,Olympia Gymnastic Sports,STEP 6,OVER,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",,13.7,5,8.7,0,4,11.6,5.0,6.6,0.0,5,12.6,4.5,8.1,0,6,11.7,5,6.7,0,5,49.600,5,2023-05-27T21:34:11.974Z
231144,Kendra Pawson,Olympia Gymnastic Sports,STEP 6,OVER,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",,11.8,5,6.8,0,6,0.0,0.0,0.0,0.0,0,13.7,5.0,8.7,0,1,13.05,5,8.05,0,3,38.550,0,2023-05-27T21:34:55.821Z
