gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
553783,Emma Bungard,Affinity Gymnastics Academy,STEP 7,OVER,Canterbury Intermediate and Senior Artistic Championships  2023,All Around & Apparatus,,11.533,3.2,8.333,0,3,10.833,3.1,7.733,0,3,11.0,3.9,7.1,0.0,3,11.333,4.3,7.133,0.1,7,44.699,3,2023-05-28T00:58:47.287Z
521962,Pera Gordon,Christchurch School of Gymnastics,STEP 7,OVER,Canterbury Intermediate and Senior Artistic Championships  2023,All Around & Apparatus,,10.033,1.6,8.433,0,8,11.933,3.7,8.233,0,1,10.666,3.7,6.966,0.0,4,11.6,4.3,7.3,0.0,6,44.232,4,2023-05-28T01:05:09.674Z
212326,Chloe Williams,Christchurch School of Gymnastics,STEP 7,OVER,Canterbury Intermediate and Senior Artistic Championships  2023,All Around & Apparatus,,11.566,3.2,8.366,0,2,10.566,3.5,7.066,0,4,11.033,3.3,7.733,0.0,2,11.933,4.4,7.533,0.0,3,45.098,2,2023-05-28T01:12:49.014Z
211907,Amelia Quinn,Christchurch School of Gymnastics,STEP 7,OVER,Canterbury Intermediate and Senior Artistic Championships  2023,All Around & Apparatus,,10.833,3.4,7.433,0,4,8.333,2.1,6.233,0,7,8.266,2.6,5.666,0.0,8,11.866,4.1,7.766,0.0,4,39.298,7,2023-05-28T00:52:26.457Z
253827,Sienna Yearbury,Christchurch School of Gymnastics,STEP 7,OVER,Canterbury Intermediate and Senior Artistic Championships  2023,All Around & Apparatus,,10.6,1.6,9.0,0,6,10.0,2.1,7.9,0,5,8.066,1.9,6.266,0.1,9,11.3,3.6,7.7,0.0,8,39.966,5,2023-05-28T01:10:08.639Z
125086,Emma Hoffman,Gymnastics Nelson,STEP 7,OVER,Canterbury Intermediate and Senior Artistic Championships  2023,All Around & Apparatus,,10.8,3.2,7.6,0,5,11.433,3.5,7.933,0,2,11.466,3.6,7.866,0.0,1,12.466,3.9,8.566,0.0,2,46.165,1,2023-05-28T00:53:07.646Z
248506,Caoimhe McKenzie,Olympia Gymnastic Sports,STEP 7,OVER,Canterbury Intermediate and Senior Artistic Championships  2023,All Around & Apparatus,,10.266,1.6,8.666,0,7,9.133,2.1,7.033,0,6,8.633,2.4,6.233,0.0,7,11.666,4.3,7.366,0.0,5,39.698,6,2023-05-28T01:02:40.045Z
535862,Arabella Shelton,Timaru Gymnastics Club,STEP 7,OVER,Canterbury Intermediate and Senior Artistic Championships  2023,All Around & Apparatus,,9.6,1.6,8.0,0,9,8.066,1.5,6.566,0,8,8.7,1.7,7.0,0.0,6,0.0,0.0,0.0,0.0,0,26.366,0,2023-05-28T00:43:10.926Z
218272,Ella Thomas,Christchurch School of Gymnastics,STEP 7,UNDER,Canterbury Intermediate and Senior Artistic Championships  2023,All Around & Apparatus,,11.6,3.2,8.4,0,2,10.6,3.0,7.6,0,4,11.5,4.6,6.9,0.0,4,13.466,4.6,8.866,0.0,1,47.166,3,2023-05-28T00:59:22.200Z
218274,Kyla Cowles,Christchurch School of Gymnastics,STEP 7,UNDER,Canterbury Intermediate and Senior Artistic Championships  2023,All Around & Apparatus,,11.566,3.2,8.366,0,3,12.866,4.1,8.766,0,3,13.333,4.5,8.833,0.0,1,13.033,4.5,8.533,0.0,2,50.798,1,2023-05-28T00:56:32.287Z
255646,Agatha Austin,Dunedin Gymnastics Academy,STEP 7,UNDER,Canterbury Intermediate and Senior Artistic Championships  2023,All Around & Apparatus,,11.033,1.6,9.433,0,5,10.366,2.4,7.966,0,5,12.0,4.4,7.6,0.0,3,12.3,4.1,8.2,0.0,3,45.699,5,2023-05-28T00:50:36.417Z
266652,Charlotte Watkins,Dunedin Gymnastics Academy,STEP 7,UNDER,Canterbury Intermediate and Senior Artistic Championships  2023,All Around & Apparatus,,11.133,3.2,7.933,0,4,13.0,3.9,9.1,0,1,11.1,3.3,7.8,0.0,5,10.9,2.7,8.2,0.0,5,46.133,4,2023-05-28T00:47:50.790Z
304598,Ivy O'Meagher,Te Wero Gymnastics Club,STEP 7,UNDER,Canterbury Intermediate and Senior Artistic Championships  2023,All Around & Apparatus,,11.866,3.2,8.666,0,1,12.966,4.1,8.866,0,2,12.7,4.5,8.2,0.0,2,12.033,4.1,7.933,0.0,4,49.565,2,2023-05-28T01:01:58.918Z
202467,Lucy Rose Callaghan,Christchurch School of Gymnastics,STEP 7,NONE,Canterbury Intermediate and Senior Artistic Championships  2023,All Around & Apparatus,,12.066,3.2,8.866,0,1,0.0,0.0,0.0,0,0,10.566,3.6,6.966,0.0,5,12.6,4.4,8.2,0.0,1,35.232,0,2023-05-28T00:55:34.332Z
