gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
261652,Amelia Hogg,Onslow Gymnastics,Step 5B,OVER,Capital Juniors 2023,"All Around, App & Team",,12.0,5,7.0,0,12,11.4,5,6.4,0,12,8.4,4.0,5.4,1.0,12,9.65,4.5,5.15,0,12,41.450,12,2023-05-27T01:49:45.187Z
261649,Octavia Burns,Onslow Gymnastics,Step 5B,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.2,5,8.2,0,7,12.9,5,7.9,0,4,12.15,5.0,7.15,0.0,6,11.15,5.0,6.15,0,9,49.400,8,2023-05-27T01:51:36.457Z
249317,Madison Lynch,Onslow Gymnastics,Step 5B,OVER,Capital Juniors 2023,"All Around, App & Team",,13.05,5,8.05,0,9,12.55,5,7.55,0,5,11.5,4.2,7.3,0.0,7,11.7,4.5,7.2,0,9,48.800,8,2023-05-27T01:53:37.241Z
236735,Eva Catherwood,Onslow Gymnastics,Step 5B,OVER,Capital Juniors 2023,"All Around, App & Team",,13.0,5,8.0,0,10,11.8,5,6.8,0,11,10.3,4.5,5.9,0.1,11,10.5,5.0,5.5,0,11,45.600,11,2023-05-27T01:41:16.842Z
284779,Lia Vlaar,Onslow Gymnastics,Step 5B,OVER,Capital Juniors 2023,"All Around, App & Team",,13.25,5,8.25,0,5,12.7,5,7.7,0,4,10.8,4.5,6.3,0.0,9,12.2,5.0,7.2,0,7,48.950,7,2023-05-27T01:43:26.451Z
290641,Ashley Elliott,Onslow Gymnastics,Step 5B,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.25,5,8.25,0,6,11.7,5,6.7,0,8,12.4,5.0,7.5,0.1,4,12.4,5.0,7.4,0,7,49.750,6,2023-05-27T01:45:12.688Z
295631,Jessica Calvert,Onslow Gymnastics,Step 5B,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.8,5,8.8,0,2,10.25,5,5.25,0,9,12.8,4.7,8.2,0.1,2,13.2,5.0,8.2,0,4,50.050,5,2023-05-27T01:47:15.130Z
569849,Sydnee Hallett,Levin Gymnastics Club,Step 5B,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.6,5,8.6,0,5,12.15,5,7.15,0,5,10.3,4.0,6.3,0.0,8,12.7,5.0,7.7,0,5,48.750,9,2023-05-27T01:43:01.379Z
567991,Ren Comrie,Levin Gymnastics Club,Step 5B,OVER,Capital Juniors 2023,"All Around, App & Team",,13.0,5,8.0,0,10,12.55,5,7.55,0,5,12.75,4.7,8.05,0.0,4,13.7,5.0,8.7,0,1,52.000,4,2023-05-27T01:43:48.593Z
567989,Kana Komikado,Levin Gymnastics Club,Step 5B,OVER,Capital Juniors 2023,"All Around, App & Team",,14.0,5,9.0,0,1,13.0,5,8.0,0,2,13.5,5.0,8.6,0.1,1,12.5,5.0,7.5,0,5,53.000,2,2023-05-27T01:44:27.047Z
570097,Mila Sobell,Capital Gymnastics,Step 5B,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.05,5,8.05,0,8,12.15,5,7.15,0,5,11.85,4.7,7.25,0.1,7,12.65,5.0,7.65,0,6,49.700,7,2023-05-27T01:40:36.792Z
240729,Caitlin Pearman,Capital Gymnastics,Step 5B,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.05,5,8.05,0,8,11.8,5,6.8,0,7,12.25,5.0,7.35,0.1,5,13.35,5.0,8.35,0,3,50.450,3,2023-05-27T01:41:44.762Z
278485,Tallulah Kelly,Capital Gymnastics,Step 5B,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.7,5,8.7,0,3,13.1,5,8.1,0,2,9.65,4.2,5.45,0.0,9,13.85,5.0,8.85,0,2,50.300,4,2023-05-27T01:42:27.121Z
608523,Ruby Brewer,Rimutaka GymSports,Step 5B,OVER,Capital Juniors 2023,"All Around, App & Team",,13.7,5,8.7,0,3,13.7,5,8.7,0,1,13.0,5.0,8.1,0.1,2,13.55,5.0,8.55,0,2,53.950,1,2023-05-27T01:42:34.653Z
271154,Anaya Dunlop,Rimutaka GymSports,Step 5B,UNDER,Capital Juniors 2023,"All Around, App & Team",,14.05,5,9.05,0,1,13.4,5,8.4,0,1,13.8,5.0,8.8,0.0,1,13.95,5.0,8.95,0,1,55.200,1,2023-05-27T01:43:27.129Z
192731,Emma Cooper,Rimutaka GymSports,Step 5B,OVER,Capital Juniors 2023,"All Around, App & Team",,13.2,5,8.2,0,7,12.0,5,7.0,0,9,10.75,4.0,6.75,0.0,10,12.25,5.0,7.25,0,6,48.200,10,2023-05-27T01:44:18.111Z
201410,Grace McGall,Rimutaka GymSports,Step 5B,OVER,Capital Juniors 2023,"All Around, App & Team",,13.25,5,8.25,0,5,13.0,5,8.0,0,2,12.6,5.0,7.6,0.0,5,12.85,5.0,7.85,0,4,51.700,5,2023-05-27T01:40:54.284Z
296689,Naomi Guershom,Rimutaka GymSports,Step 5B,OVER,Capital Juniors 2023,"All Around, App & Team",,13.9,5,8.9,0,2,11.95,5,6.95,0,10,12.8,5.0,7.9,0.1,3,13.5,5.0,8.5,0,3,52.150,3,2023-05-27T01:41:43.391Z
567967,Sienna Rorason,Twisters Tawa Gymnastics Club,Step 5B,OVER,Capital Juniors 2023,"All Around, App & Team",,13.35,5,8.35,0,4,12.2,5,7.2,0,8,11.05,4.2,6.85,0.0,8,11.8,5.0,6.8,0,8,48.400,9,2023-05-27T01:40:58.288Z
227746,Sydney Fergus,Twisters Tawa Gymnastics Club,Step 5B,OVER,Capital Juniors 2023,"All Around, App & Team",,13.2,5,8.2,0,7,12.5,5,7.5,0,7,12.05,5.0,7.05,0.0,6,11.55,4.5,7.05,0,10,49.300,6,2023-05-27T01:43:15.555Z
566948,Annabelle Pointon,Twisters Tawa Gymnastics Club,Step 5B,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.65,5,8.65,0,4,12.95,5,7.95,0,3,12.75,5.0,7.85,0.1,3,12.35,4.5,7.85,0,8,51.700,2,2023-05-27T01:46:16.887Z
