gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
266996,Kaia Mackenzie Erkens,Capital Gymnastics,Step 6,UNDER,Capital Juniors 2023,"All Around, App & Team",,12.4,5,7.4,0,11,13.65,5,8.65,0,1,13.75,5.0,8.75,0,2,13.55,5.0,8.55,0.0,5,53.350,5,2023-05-27T07:57:42.166Z
278578,Laura Rees,Capital Gymnastics,Step 6,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.9,5,8.9,0,3,12.7,5,7.7,0,10,13.05,5.0,8.05,0,8,14.35,5.0,9.35,0.0,1,54.000,3,2023-05-27T07:49:51.046Z
256633,Carmen Lee,Capital Gymnastics,Step 6,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.75,5,8.75,0,5,13.5,5,8.5,0,2,14.5,5.0,9.5,0,1,14.25,5.0,9.25,0.0,2,56.000,1,2023-05-27T07:48:59.857Z
223093,Isabella Kong,Harbour City Gymnastics,Step 6,OVER,Capital Juniors 2023,"All Around, App & Team",,13.45,5,8.45,0,2,11.85,5,6.85,0,8,12.1,5.0,7.1,0,8,13.2,5.0,8.2,0.0,2,50.600,4,2023-05-27T07:46:08.965Z
184149,Bella Small,Harbour City Gymnastics,Step 6,OVER,Capital Juniors 2023,"All Around, App & Team",,12.2,5,7.2,0,11,12.5,5,7.5,0,5,11.75,4.5,7.25,0,10,9.7,5.0,5.2,0.5,9,46.150,10,2023-05-27T07:47:10.334Z
158025,Kate Livengood,Harbour City Gymnastics,Step 6,OVER,Capital Juniors 2023,"All Around, App & Team",,13.6,5,8.6,0,1,13.3,5,8.3,0,1,13.45,5.0,8.45,0,3,10.25,5.0,5.25,0.0,8,50.600,4,2023-05-27T07:47:50.679Z
261097,Nara Wyatt,Harbour City Gymnastics,Step 6,OVER,Capital Juniors 2023,"All Around, App & Team",,12.75,5,7.75,0,7,13.15,5,8.15,0,3,13.55,5.0,8.55,0,1,8.3,3.5,6.8,2.0,10,47.750,9,2023-05-27T07:43:49.206Z
245525,Marieve Wilson - Bray,Hutt Valley Gymnastics,Step 6,OVER,Capital Juniors 2023,"All Around, App & Team",,12.5,5,7.5,0,9,11.7,5,6.7,0,10,13.3,5.0,8.3,0,5,0.0,0.0,0.0,0.0,0,37.500,0,2023-05-27T07:48:24.166Z
206213,Mariska Sue,Hutt Valley Gymnastics,Step 6,UNDER,Capital Juniors 2023,"All Around, App & Team",,14.1,5,9.1,0,1,12.1,5,7.1,0,11,12.05,5.0,7.05,0,10,13.05,5.0,8.05,0.0,8,51.300,10,2023-05-27T07:49:43.930Z
285004,Payton Austin,Hutt Valley Gymnastics,Step 6,UNDER,Capital Juniors 2023,"All Around, App & Team",,13.45,5,8.45,0,6,13.45,5,8.45,0,3,13.45,5.0,8.45,0,5,12.9,5.0,7.9,0.0,10,53.250,6,2023-05-27T07:50:35.741Z
