gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
246312,Daesharn Ewans McMahon,Gymnastics Waitara,Step 5,OVER,Gymnastics Waitara - Senior Opens 2023,"Saturday - Round 2 - All Round & Team Medals, App Certs",,12.85,5,7.85,0,19,13.4,5,8.4,0,9,11.866,5.0,6.866,0,15,12.65,5.0,7.65,0,10,50.766,0,2023-05-06T00:05:44.627Z
241943,Georgia Fox,Gymnastics Waitara,Step 5,OVER,Gymnastics Waitara - Senior Opens 2023,"Saturday - Round 2 - All Round & Team Medals, App Certs",,13.45,5,8.45,0,11,13.4,5,8.4,0,9,13.1,5.0,8.1,0,4,12.85,5.0,7.85,0,7,52.800,0,2023-05-06T00:08:22.648Z
617735,Sophie Chisholm,Kapiti Gymnastics Club,Step 5,UNDER,Gymnastics Waitara - Senior Opens 2023,"Saturday - Round 2 - All Round & Team Medals, App Certs",,13.05,5,8.05,0,9,12.9,5,7.9,0,11,10.3,5.0,5.3,0,11,11.35,4.5,7.85,1,13,47.600,0,2023-05-06T00:04:05.983Z
198065,Mia Grant,Kapiti Gymnastics Club,Step 5,UNDER,Gymnastics Waitara - Senior Opens 2023,"Saturday - Round 2 - All Round & Team Medals, App Certs",,12.95,5,7.95,0,11,13.2,5,8.2,0,5,12.7,5.0,7.7,0,7,11.5,4.5,7.0,0,12,50.350,0,2023-05-06T00:04:56.718Z
550496,Georgia Harvey,Manawatu Gymsports,Step 5,UNDER,Gymnastics Waitara - Senior Opens 2023,"Saturday - Round 2 - All Round & Team Medals, App Certs",,14.05,5,9.05,0,1,13.2,5,8.2,0,5,13.4,5.0,8.4,0,4,14.2,5.0,9.2,0,1,54.850,0,2023-05-06T00:15:03.847Z
273425,Ashleigh Wier,Manawatu Gymsports,Step 5,UNDER,Gymnastics Waitara - Senior Opens 2023,"Saturday - Round 2 - All Round & Team Medals, App Certs",,13.55,5,8.55,0,4,13.5,5,8.5,0,3,14.066,5.0,9.066,0,1,13.05,5.0,8.05,0,6,54.166,0,2023-05-06T00:17:48.819Z
296108,Marina Munford,Manawatu Gymsports,Step 5,UNDER,Gymnastics Waitara - Senior Opens 2023,"Saturday - Round 2 - All Round & Team Medals, App Certs",,13.9,5,8.9,0,2,13.3,5,8.3,0,4,11.633,5.0,6.633,0,9,12.15,5.0,7.15,0,10,50.983,0,2023-05-06T00:13:12.241Z
243447,Emma Nixon,Manawatu Gymsports,Step 5,OVER,Gymnastics Waitara - Senior Opens 2023,"Saturday - Round 2 - All Round & Team Medals, App Certs",,14.15,5,9.15,0,2,14.0,5,9.0,0,3,12.9,4.5,8.4,0,6,13.55,5.0,8.55,0,3,54.600,0,2023-05-06T00:15:43.865Z
255988,Emma Barry,Manawatu Gymsports,Step 5,OVER,Gymnastics Waitara - Senior Opens 2023,"Saturday - Round 2 - All Round & Team Medals, App Certs",,14.2,5,9.2,0,1,13.5,5,8.5,0,6,11.933,5.0,6.933,0,14,12.8,5.0,7.8,0,8,52.433,0,2023-05-06T00:17:20.381Z
267099,Alena Brain,Manawatu Gymsports,Step 5,OVER,Gymnastics Waitara - Senior Opens 2023,"Saturday - Round 2 - All Round & Team Medals, App Certs",,13.85,5,8.85,0,6,12.95,5,7.95,0,16,10.766,5.0,5.766,0,19,12.2,4.5,7.7,0,15,49.766,0,2023-05-06T00:10:15.420Z
253071,Elina Johnson,Manawatu Gymsports,Step 5,OVER,Gymnastics Waitara - Senior Opens 2023,"Saturday - Round 2 - All Round & Team Medals, App Certs",,13.25,5,8.25,0,14,12.45,5,7.45,0,18,12.733,5.0,7.733,0,8,11.55,5.0,6.55,0,19,49.983,0,2023-05-06T00:10:41.843Z
