gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
550496,Georgia Harvey,Manawatu Gymsports,Step 5,UNDER,Gymnastics Waitara - Senior Opens 2023,Sunday - Top 32 - Apparatus Medals,,13.4,5,8.4,0,7,12.5,5,7.5,0,13,13.25,5.0,8.25,0,2,12.85,4.5,8.35,0,9,52.000,0,2023-05-06T21:23:50.723Z
273425,Ashleigh Wier,Manawatu Gymsports,Step 5,UNDER,Gymnastics Waitara - Senior Opens 2023,Sunday - Top 32 - Apparatus Medals,,13.1,5,8.1,0,12,13.233,5,8.233,0,7,11.95,4.5,7.45,0,7,12.7,5.0,7.7,0,10,50.983,0,2023-05-06T21:28:04.389Z
261788,Shannon Tindle,Manawatu Gymsports,Step 5,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Top 32 - Apparatus Medals,,13.2,5,8.2,0,16,13.466,5,8.466,0,5,12.55,4.5,8.05,0,7,12.4,5.0,7.4,0,16,51.616,0,2023-05-06T21:26:52.116Z
243447,Emma Nixon,Manawatu Gymsports,Step 5,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Top 32 - Apparatus Medals,,13.5,5,8.5,0,9,12.666,5,7.666,0,17,10.75,4.0,6.75,0,17,11.75,5.0,6.75,0,18,48.666,0,2023-05-06T21:25:14.133Z
255988,Emma Barry,Manawatu Gymsports,Step 5,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Top 32 - Apparatus Medals,,14.4,5,9.4,0,1,13.333,5,8.333,0,10,12.6,5.0,7.6,0,6,12.7,5.0,7.7,0,13,53.033,0,2023-05-06T21:29:13.028Z
287944,Aliana Watson,Hastings Gymnastics Club,Step 5,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Top 32 - Apparatus Medals,,13.25,5,8.25,0,14,13.166,5,8.166,0,12,11.4,4.5,6.9,0,12,13.0,5.0,8.0,0,6,50.816,0,2023-05-06T21:34:26.264Z
555070,Isla Bawden,Hastings Gymnastics Club,Step 5,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Top 32 - Apparatus Medals,,14.0,5,9.0,0,3,13.633,5,8.633,0,3,13.2,5.0,8.2,0,2,13.3,5.0,8.3,0,3,54.133,0,2023-05-06T21:36:38.178Z
219712,Awatea Tana,Mid Island Gymsports,Step 5,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Top 32 - Apparatus Medals,,13.1,5,8.1,0,17,13.333,5,8.333,0,10,12.85,5.0,7.85,0,4,12.1,4.5,7.6,0,17,51.383,0,2023-05-06T21:24:27.720Z
179812,Francisca Marshall,Mid Island Gymsports,Step 5,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Top 32 - Apparatus Medals,,13.65,5,8.65,0,6,14.1,5,9.1,0,1,10.8,4.5,6.3,0,16,12.95,5.0,7.95,0,7,51.500,0,2023-05-06T21:29:36.443Z
241943,Georgia Fox,Gymnastics Waitara,Step 5,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Top 32 - Apparatus Medals,,13.75,5,8.75,0,5,13.466,5,8.466,0,5,12.75,5.0,7.75,0,5,13.25,5.0,8.25,0,4,53.216,0,2023-05-06T21:32:16.032Z
240521,Emma Hunt,Argos Gymnastic Club,Step 5,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Top 32 - Apparatus Medals,,13.25,5,8.25,0,14,13.6,5,8.6,0,4,11.6,4.7,6.9,0,10,12.5,5.0,7.5,0,15,50.950,0,2023-05-06T21:33:50.732Z
247442,Maddison Clements,Argos Gymnastic Club,Step 5,UNDER,Gymnastics Waitara - Senior Opens 2023,Sunday - Top 32 - Apparatus Medals,,13.1,5,8.1,0,12,12.666,5,7.666,0,11,10.7,4.5,6.2,0,13,10.65,4.0,6.65,0,14,47.116,0,2023-05-06T21:29:01.170Z
