gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
230332,Ella Robinson,Argos Gymnastic Club,Step 8,UNDER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,10.2,3.6,6.6,0,6,9.3,2.3,7.0,0,6,9.55,3.4,6.15,0,6,12.0,3.6,8.4,0.0,4,41.050,0,2023-05-07T04:16:13.241Z
553126,Olivia Sue,Eastern Suburbs Gymnastics Club,Step 8,UNDER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,11.35,3.4,7.95,0,5,10.233,3.5,6.733,0,5,10.7,4.2,6.5,0,4,11.833,3.9,7.933,0.0,6,44.116,0,2023-05-07T04:02:01.819Z
531966,Willow Reid,Eastern Suburbs Gymnastics Club,Step 8,UNDER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,11.55,3.2,8.35,0,4,13.1,4.2,8.9,0,1,11.7,4.5,7.2,0,2,13.1,4.5,8.6,0.0,1,49.450,0,2023-05-07T04:07:58.532Z
553111,Sarah Kennard,Eastern Suburbs Gymnastics Club,Step 8,UNDER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,12.2,3.4,8.8,0,2,11.333,3.0,8.333,0,2,11.85,4.2,7.65,0,1,12.6,4.8,7.8,0.0,2,47.983,0,2023-05-07T04:12:16.768Z
185851,Emily Barback,Impact Gymsports Academy,Step 8,UNDER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,11.8,3.2,8.6,0,3,10.366,2.8,7.566,0,4,10.0,3.7,6.3,0,5,12.1,3.6,8.5,0.0,3,44.266,0,2023-05-07T04:06:55.049Z
541941,Ava Samuels,NHG Gymnastics Club,Step 8,UNDER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,12.6,3.4,9.2,0,1,10.766,3.1,7.666,0,3,11.7,4.4,7.3,0,2,12.0,4.1,7.9,0.0,4,47.066,0,2023-05-07T03:52:52.063Z
180094,Sophia Paviour-Smith,Capital Gymnastics,Step 8,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,11.5,2.6,8.9,0,3,9.0,1.7,7.3,0,8,10.2,4.0,6.2,0,6,12.033,3.7,8.333,0.0,2,42.733,0,2023-05-07T03:56:25.364Z
553135,Kahu Barsdell,Eastern Suburbs Gymnastics Club,Step 8,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,11.9,3.4,8.5,0,1,12.966,3.7,9.266,0,1,12.05,4.7,7.35,0,2,12.466,4.4,8.066,0.0,1,49.382,0,2023-05-07T04:05:14.258Z
554693,Rory Jenkins,Hamilton City Gymnastics Club,Step 8,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,10.55,1.6,8.95,0,5,8.366,1.5,6.866,0,9,10.1,3.6,6.5,0,8,11.833,3.7,8.133,0.0,3,40.849,0,2023-05-07T04:10:35.364Z
214664,Nicole Stoupe,Hamilton City Gymnastics Club,Step 8,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,11.15,2.6,8.55,0,4,10.366,2.4,7.966,0,4,9.6,3.0,6.6,0,9,11.233,3.9,7.333,0.0,6,42.349,0,2023-05-07T04:14:31.634Z
269872,LuLu Miller,Impact Gymsports Academy,Step 8,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,0.0,0.0,0.0,0,0,12.466,3.7,8.766,0,2,12.5,3.5,9.0,0,1,0.0,0.0,0.0,0.0,0,24.966,0,2023-05-07T04:03:11.125Z
616085,Zahara Slatter,Manawatu Gymsports,Step 8,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,0.0,0.0,0.0,0,0,10.166,3.6,6.566,0,6,10.9,4.1,6.8,0,3,0.0,0.0,0.0,0.0,0,21.066,0,2023-05-07T04:01:11.220Z
232437,Piper Smith,Gymnastics Waitara,Step 8,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,10.45,2.4,8.05,0,6,10.733,2.9,7.833,0,3,8.55,3.2,5.35,0,10,10.533,3.1,7.433,0.0,7,40.266,0,2023-05-07T03:48:08.179Z
194347,Luci Strachan,Gymnastics Waitara,Step 8,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,9.75,3.4,6.35,0,8,10.0,2.7,7.3,0,7,10.35,3.4,6.95,0,4,11.566,3.9,7.666,0.0,4,41.666,0,2023-05-07T03:51:48.284Z
143208,Olivia Earl,Gymnastics Waitara,Step 8,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,9.9,3.4,6.5,0,7,10.233,3.2,7.033,0,5,10.25,3.0,7.25,0,5,11.366,3.3,8.066,0.0,5,41.749,0,2023-05-07T03:45:04.325Z
280494,Isla Hilton,Mt Tauhara Gymnastics Club,Step 8,OVER,Gymnastics Waitara - Senior Opens 2023,Sunday - Apparatus Medals,,11.85,3.4,8.45,0,2,8.3,1.8,6.5,0,10,10.15,2.7,7.45,0,7,10.233,3.6,6.933,0.3,8,40.533,0,2023-05-07T04:16:35.711Z
