gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
,Amarah Cameron,Gisborne Gymnastics Club,Step 4,UNDER,HBPB Senior Championships,All-Around & Teams,,13.1,5,8.1,0,2,12.55,5.0,7.55,0,1,12.45,5.0,7.45,0,1,12.6,5.0,7.6,0,2,50.700,1,2023-04-28T21:55:19.643Z
269421,Hannah Horn,Hastings Gymnastics,Step 4,OVER,HBPB Senior Championships,All-Around & Teams,,13.15,5,8.15,0,4,12.75,5.0,7.75,0,2,11.5,4.0,7.5,0,4,9.6,4.5,5.1,0,6,47.000,4,2023-04-28T21:57:19.407Z
295288,Sophie Donovan,Hastings Gymnastics,Step 4,OVER,HBPB Senior Championships,All-Around & Teams,,13.4,5,8.4,0,3,12.35,5.0,7.35,0,3,11.15,4.5,6.65,0,5,11.65,4.5,7.15,0,2,48.550,2,2023-04-28T21:59:24.714Z
229741,Daisy De Clifford,Omni Gymnastic Centre,Step 4,UNDER,HBPB Senior Championships,All-Around & Teams,,12.95,5,7.95,0,3,11.8,5.0,6.8,0,3,10.4,3.5,6.9,0,4,10.75,5.0,5.75,0,4,45.900,3,2023-04-28T21:59:49.984Z
562386,Emma Donnelly,Omni Gymnastic Centre,Step 4,OVER,HBPB Senior Championships,All-Around & Teams,,13.55,5,8.55,0,2,13.25,5.0,8.25,0,1,12.75,4.5,8.25,0,1,12.35,4.5,7.85,0,1,51.900,1,2023-04-28T22:02:12.730Z
295509,Ivy Uri,Omni Gymnastic Centre,Step 4,OVER,HBPB Senior Championships,All-Around & Teams,,13.8,5,8.8,0,1,12.35,5.0,7.35,0,3,8.75,4.2,4.55,0,6,10.5,5.0,5.5,0,5,45.400,5,2023-04-28T22:04:43.317Z
578887,Peyton Petera,Omni Gymnastic Centre,Step 4,UNDER,HBPB Senior Championships,All-Around & Teams,,13.45,5,8.45,0,1,12.3,5.0,7.3,0,2,11.8,5.0,6.8,0,2,13.05,5.0,8.05,0,1,50.600,2,2023-04-28T21:52:28.097Z
277614,Ruby Hayes,Omni Gymnastic Centre,Step 4,UNDER,HBPB Senior Championships,All-Around & Teams,,12.95,5,7.95,0,3,10.0,4.5,5.5,0,4,10.9,4.5,6.4,0,3,11.05,4.0,7.05,0,3,44.900,4,2023-04-28T21:55:14.122Z
601920,Sophie Chandra,Omni Gymnastic Centre,Step 4,OVER,HBPB Senior Championships,All-Around & Teams,,12.05,5,7.05,0,6,9.75,5.0,4.75,0,6,11.9,4.5,7.4,0,3,11.45,5.0,6.45,0,3,45.150,6,2023-04-28T21:57:29.646Z
253179,Sienna Collard,Whanganui Gymnastics,Step 4,OVER,HBPB Senior Championships,All-Around & Teams,,12.75,5,7.75,0,5,11.9,5.0,6.9,0,5,12.4,4.5,7.9,0,2,11.2,4.5,6.7,0,4,48.250,3,2023-04-28T21:53:29.932Z
