gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
555198,Alex McCutcheon Barrett,Central Gymnastics Club,Step 5,OVER,HBPB Senior Championships,All-around & teams,,13.3,5,8.3,0,11,12.6,5.0,7.6,0,12,12.65,5.0,7.65,0,6,12.6,5.0,7.6,0,14,51.150,6,2023-04-29T00:27:03.608Z
535308,Aria Thorpe,Gisborne Gymnastics Club,Step 5,UNDER,HBPB Senior Championships,All-around & teams,,13.7,5,8.7,0,1,11.35,4.5,7.85,1,8,12.1,5.0,7.1,0,7,12.7,5.0,7.7,0,6,49.850,6,2023-04-29T00:28:53.828Z
663020,Ella Maguire,Harbour City Gymnastics,Step 5,OVER,HBPB Senior Championships,All-around & teams,,13.7,5,8.7,0,6,12.8,5.0,7.8,0,10,11.5,5.0,6.5,0,13,13.0,5.0,8.0,0,5,51.000,8,2023-04-29T00:29:34.594Z
175160,Aria Swallow,Harbour City Gymnastics,Step 5,OVER,HBPB Senior Championships,All-around & teams,,12.85,5,7.85,0,18,12.3,5.0,7.3,0,15,11.15,4.5,6.65,0,16,11.55,4.5,7.05,0,21,47.850,18,2023-04-29T00:30:28.768Z
201094,Eva McEwan,Harbour City Gymnastics,Step 5,OVER,HBPB Senior Championships,All-around & teams,,14.0,5,9.0,0,3,12.95,5.0,7.95,0,6,11.2,4.5,6.7,0,14,12.4,5.0,7.4,0,15,50.550,11,2023-04-29T00:26:32.800Z
287944,Aliana Watson,Hastings Gymnastics,Step 5,OVER,HBPB Senior Championships,All-around & teams,,12.85,5,7.85,0,18,11.75,5.0,6.75,0,20,12.5,5.0,7.5,0,8,13.0,5.0,8.0,0,5,50.100,14,2023-04-29T00:27:22.274Z
555070,Isla Bawden,Hastings Gymnastics,Step 5,OVER,HBPB Senior Championships,All-around & teams,,14.05,5,9.05,0,2,13.55,5.0,8.55,0,1,12.9,5.0,7.9,0,2,13.45,5.0,8.45,0,3,53.950,1,2023-04-29T00:27:38.642Z
227085,Alexa Newton,Manawatu GymSports,Step 5,OVER,HBPB Senior Championships,All-around & teams,,11.9,5,6.9,0,23,11.9,5.0,6.9,0,17,9.15,5.0,4.15,0,23,12.4,5.0,7.4,0,15,45.350,23,2023-04-29T00:33:28.854Z
273425,Ashleigh Wier,Manawatu GymSports,Step 5,UNDER,HBPB Senior Championships,All-around & teams,,13.45,5,8.45,0,2,11.6,5.0,6.6,0,7,14.05,5.0,9.05,0,1,13.7,5.0,8.7,0,2,52.800,1,2023-04-29T00:35:51.322Z
243447,Emma Nixon,Manawatu GymSports,Step 5,OVER,HBPB Senior Championships,All-around & teams,,14.2,5,9.2,0,1,12.8,5.0,7.8,0,10,10.7,4.5,6.2,0,20,12.75,4.7,8.05,0,11,50.450,12,2023-04-29T00:40:03.720Z
255988,Emma Barry,Manawatu GymSports,Step 5,OVER,HBPB Senior Championships,All-around & teams,,13.0,5,8.0,0,15,12.95,5.0,7.95,0,6,10.3,5.0,5.3,0,22,13.35,5.0,8.35,0,4,49.600,15,2023-04-29T00:15:42.854Z
550496,Georgia Harvey,Manawatu GymSports,Step 5,UNDER,HBPB Senior Championships,All-around & teams,,13.3,5,8.3,0,4,12.3,5.0,7.3,0,3,12.9,4.5,8.4,0,5,13.85,5.0,8.85,0,1,52.350,3,2023-04-29T00:18:35.911Z
261788,Shannon Tindle,Manawatu GymSports,Step 5,OVER,HBPB Senior Championships,All-around & teams,,12.55,5,7.55,0,21,12.6,5.0,7.6,0,12,12.8,4.2,8.6,0,4,12.85,5.0,7.85,0,10,50.800,9,2023-04-29T00:21:28.241Z
294149,Luisa Haas,Manawatu GymSports,Step 5,OVER,HBPB Senior Championships,All-around & teams,,13.25,5,8.25,0,12,11.8,5.0,6.8,0,18,12.05,5.0,7.05,0,11,12.3,4.5,7.8,0,18,49.400,16,2023-04-29T00:24:51.757Z
