gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
535626,Miriam Cornfeld,Gisborne Gymnastics Club,Step 6,OVER,HBPB Senior Championships,All-around & team,,13.033,5,8.033,0,6,12.1,5,7.1,0,3,11.95,4.7,7.25,0,7,11.75,5.0,6.75,0,4,48.833,5,2023-04-29T06:05:25.621Z
158025,Kate Livengood,Harbour City Gymnastics,Step 6,OVER,HBPB Senior Championships,All-around & team,,13.733,5,8.733,0,3,12.3,5,7.3,0,2,13.45,5.0,8.45,0,3,0.0,0.0,0.0,0,0,39.483,6,2023-04-29T05:57:02.817Z
184149,Bella Small,Harbour City Gymnastics,Step 6,OVER,HBPB Senior Championships,All-around & team,,12.8,5,7.8,0,7,11.55,5,6.55,0,7,9.95,4.5,5.45,0,10,0.0,0.0,0.0,0,0,34.300,9,2023-04-29T05:57:06.842Z
261076,Rosa McCutcheon,Harbour City Gymnastics,Step 6,OVER,HBPB Senior Championships,All-around & team,,12.566,5,7.566,0,9,11.0,5,6.0,0,9,12.0,5.0,7.0,0,6,0.0,0.0,0.0,0,0,35.566,8,2023-04-29T05:57:13.394Z
261097,Nara Wyatt,Harbour City Gymnastics,Step 6,OVER,HBPB Senior Championships,All-around & team,,12.733,5,7.733,0,8,12.95,5,7.95,0,1,11.2,4.5,6.7,0,9,0.0,0.0,0.0,0,0,36.883,7,2023-04-29T05:56:53.835Z
223093,Isabella Kong,Harbour City Gymnastics,Step 6,OVER,HBPB Senior Championships,All-around & team,,13.9,5,8.9,0,1,11.75,5,6.75,0,5,11.8,5.0,6.8,0,8,11.7,4.5,8.2,1,5,49.150,4,2023-04-29T06:04:15.792Z
227008,Frankie Biggs,Hastings Gymnastics,Step 6,OVER,HBPB Senior Championships,All-around & team,,13.466,5,8.466,0,5,11.45,5,6.45,0,8,12.8,5.0,7.8,0,4,12.45,5.0,7.45,0,3,50.166,3,2023-04-29T06:06:30.701Z
295365,Julia Pearson,Hastings Gymnastics,Step 6,UNDER,HBPB Senior Championships,All-around & team,,13.4,5,8.4,0,5,11.85,5,6.85,0,7,12.3,5.0,7.3,0,8,13.5,5.0,8.5,0,1,51.050,6,2023-04-29T06:08:18.139Z
218948,Cian Joe,Hastings Gymnastics,Step 6,OVER,HBPB Senior Championships,All-around & team,,13.8,5,8.8,0,2,11.7,5,6.7,0,6,12.75,5.0,7.75,0,5,12.75,5.0,7.75,0,2,51.000,2,2023-04-29T06:03:20.025Z
218585,Sophie Long,Manawatu GymSports,Step 6,OVER,HBPB Senior Championships,All-around & team,,13.5,5,8.5,0,4,11.95,5,6.95,0,4,13.5,5.0,8.5,0,1,13.55,5.0,8.55,0,1,52.500,1,2023-04-29T06:05:52.077Z
256035,Ella Field,Manawatu GymSports,Step 6,OVER,HBPB Senior Championships,All-around & team,,11.933,4,7.933,0,10,0.0,0,0.0,0,0,13.5,5.0,8.5,0,1,0.0,0.0,0.0,0,0,25.433,0,2023-04-29T06:08:57.310Z
227105,Lily-Mae Dawson,Manawatu GymSports,Step 6,OVER,HBPB Senior Championships,All-around & team,,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.000,0,2023-04-29T05:57:38.564Z
584502,Ruby Duncan,Manawatu GymSports,Step 6,UNDER,HBPB Senior Championships,All-around & team,,13.566,5,8.566,0,4,10.85,5,5.85,0,8,13.35,5.0,8.35,0,4,12.7,5.0,7.7,0,6,50.466,7,2023-04-29T06:04:22.616Z
721591,Isabella Maria Brownlie,Omni Gymnastic Centre,Step 6,UNDER,HBPB Senior Championships,All-around & team,,13.4,5,8.4,0,5,11.95,5,6.95,0,6,12.55,5.0,7.55,0,7,12.55,5.0,7.55,0,8,50.450,8,2023-04-29T06:11:33.378Z
193219,Lucy Bickers,Omni Gymnastic Centre,Step 6,UNDER,HBPB Senior Championships,All-around & team,,13.4,5,8.4,0,5,13.05,5,8.05,0,3,13.45,5.0,8.45,0,2,13.35,5.0,8.35,0,3,53.250,3,2023-04-29T06:13:56.084Z
227004,Nadia Liesebach,Omni Gymnastic Centre,Step 6,UNDER,HBPB Senior Championships,All-around & team,,14.0,5,9.0,0,2,13.6,5,8.6,0,1,13.45,5.0,8.45,0,2,13.05,5.0,8.05,0,4,54.100,2,2023-04-29T06:15:50.370Z
193231,Nylah Burkett,Omni Gymnastic Centre,Step 6,UNDER,HBPB Senior Championships,All-around & team,,12.766,5,7.766,0,8,12.3,5,7.3,0,5,13.65,5.0,8.65,0,1,12.8,5.0,7.8,0,5,51.516,5,2023-04-29T06:03:41.356Z
295562,Stephanie Chandra,Omni Gymnastic Centre,Step 6,UNDER,HBPB Senior Championships,All-around & team,,14.233,5,9.233,0,1,13.25,5,8.25,0,2,13.35,5.0,8.35,0,4,13.4,5.0,8.4,0,2,54.233,1,2023-04-29T06:06:14.734Z
184268,Zana Manisty,Omni Gymnastic Centre,Step 6,UNDER,HBPB Senior Championships,All-around & team,,13.633,5,8.633,0,3,12.8,5,7.8,0,4,12.95,5.0,7.95,0,6,12.7,5.0,7.7,0,6,52.083,4,2023-04-29T06:09:01.274Z
