gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
681190,Lylah Huse,Levin Gymnastics,Step 3,OVER,Hutt Valley Elementary Competition,"All-around, App, Team",,13.666,5,8.666,0,4,13.433,5.0,8.433,0,6,13.2,5.0,8.2,0.0,7,13.366,5,8.366,0,11,53.665,4,2025-05-24T02:28:10.676Z
663574,Heidee Pratt,Levin Gymnastics,Step 3,OVER,Hutt Valley Elementary Competition,"All-around, App, Team",,13.166,5,8.166,0,8,13.033,5.0,8.033,0,8,12.166,4.4,7.766,0.0,20,12.533,5,7.533,0,21,50.898,16,2025-05-24T02:29:37.376Z
735682,Georgia White,Levin Gymnastics,Step 3,OVER,Hutt Valley Elementary Competition,"All-around, App, Team",,14.0,5,9.0,0,1,13.6,5.0,8.6,0,3,12.866,4.7,8.166,0.0,10,13.233,5,8.233,0,12,53.699,3,2025-05-24T02:30:55.299Z
590918,Roya Denston,Rimutaka Gymnastics,Step 3,OVER,Hutt Valley Elementary Competition,"All-around, App, Team",,12.766,5,7.766,0,14,10.266,4.5,6.766,1,21,13.1,4.7,8.4,0.0,9,13.766,5,8.766,0,5,49.898,18,2025-05-24T02:42:07.398Z
643666,Olivia Dodd,Rimutaka Gymnastics,Step 3,OVER,Hutt Valley Elementary Competition,"All-around, App, Team",,12.9,5,7.9,0,10,13.6,5.0,8.6,0,3,12.666,4.7,7.966,0.0,15,13.833,5,8.833,0,4,52.999,8,2025-05-24T02:37:51.389Z
623316,Ciara Wehrly,Rimutaka Gymnastics,Step 3,OVER,Hutt Valley Elementary Competition,"All-around, App, Team",,12.833,5,7.833,0,12,10.433,4.5,6.933,1,20,12.766,4.4,8.366,0.0,13,14.066,5,9.066,0,2,50.098,17,2025-05-24T02:39:24.586Z
653078,Zoey Gabbott,Levin Gymnastics,Step 3,UNDER,Hutt Valley Elementary Competition,"All-around, App, Team",,13.2,5,8.2,0,9,13.366,5.0,8.366,0,4,12.6,5.0,7.6,0.0,10,12.866,5,7.866,0,16,52.032,9,2025-05-24T02:32:34.028Z
710335,Lilliana Perez,Levin Gymnastics,Step 3,UNDER,Hutt Valley Elementary Competition,"All-around, App, Team",,13.333,5,8.333,0,7,9.566,4.5,6.066,1,19,10.7,4.7,6.5,0.5,20,11.9,5,6.9,0,20,45.499,19,2025-05-24T02:33:49.226Z
663578,Alice Monaghan,Levin Gymnastics,Step 3,UNDER,Hutt Valley Elementary Competition,"All-around, App, Team",,12.733,5,7.733,0,15,13.066,5.0,8.066,0,11,12.2,4.7,7.5,0.0,16,12.9,5,7.9,0,14,50.899,14,2025-05-24T02:35:29.916Z
521694,Capri England,Rimutaka Gymnastics,Step 3,UNDER,Hutt Valley Elementary Competition,"All-around, App, Team",,13.1,5,8.1,0,10,12.233,5.0,7.233,0,16,12.5,5.0,7.5,0.0,11,13.6,5,8.6,0,4,51.433,10,2025-05-24T02:40:43.989Z
611690,Maddison Isaac,Rimutaka Gymnastics,Step 3,UNDER,Hutt Valley Elementary Competition,"All-around, App, Team",,12.133,5,7.133,0,19,13.1,5.0,8.1,0,9,13.033,4.7,8.333,0.0,7,13.033,5,8.033,0,13,51.299,12,2025-05-24T02:43:24.144Z
576073,Imogen Schuurman,Onslow Gymnastics,Step 3,OVER,Hutt Valley Elementary Competition,"All-around, App, Team",,12.366,5,7.366,0,20,13.6,5.0,8.6,0,3,13.666,5.0,8.666,0.0,4,13.566,5,8.566,0,7,53.198,6,2025-05-24T02:38:40.989Z
