gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
218585,Sophie Long,Manawatu Gymnastics,Step 5,OVER,Kapiti Championships,"AA, Team, App",,13.1,5,0,12.6,5,0,12.8,5.0,0,13.55,5.0,0,52.050,,2022-06-25
278682,Lucy McFarlane,Rimutaka Gymnastics,Step 5,UNDER,Kapiti Championships,"AA, Team, App",,13.8,5,0,13.55,5,0,11.9,4.2,0,13.5,5.0,0,52.750,,2022-06-25
274558,Jacqui Linklater,Whanganui Boys & Girls Gymnastics,Step 5,OVER,Kapiti Championships,"AA, Team, App",,13.3,5,0,12.45,5,0,12.35,5.0,0,11.9,5.0,0,50.000,,2022-06-25
216131,Isla Leith,Kapiti Gymnastics,Step 5,OVER,Kapiti Championships,"AA, Team, App",,13.45,5,0,12.35,5,0,11.2,4.5,0,12.5,5.0,0,49.500,,2022-06-25
256431,Abby Downes,Kapiti Gymnastics,Step 5,OVER,Kapiti Championships,"AA, Team, App",,13.75,5,0,12.1,5,0,12.1,4.5,0,13.05,5.0,0,51.000,,2022-06-25
219387,Indy Dinou,Kapiti Gymnastics,Step 5,UNDER,Kapiti Championships,"AA, Team, App",,13.85,5,0,13.1,5,0,13.5,5.0,0,13.8,5.0,0,54.250,,2022-06-25
272548,Lucia Hertanto,Hutt Valley Gymnastics,Step 5,OVER,Kapiti Championships,"AA, Team, App",,14.2,5,0,13.3,5,0,10.9,4.5,0,12.45,5.0,0,50.850,,2022-06-25
226366,Sia Vaka,Hutt Valley Gymnastics,Step 5,OVER,Kapiti Championships,"AA, Team, App",,14.1,5,0,12.25,5,0,12.45,4.5,0,13.05,5.0,0,51.850,,2022-06-25
245525,Marieve Wilson - Bray,Hutt Valley Gymnastics,Step 5,OVER,Kapiti Championships,"AA, Team, App",,0.0,0,0,13.1,5,0,9.65,5.0,0,0.0,0.0,0,22.750,,2022-06-25
206213,Mariska Sue,Hutt Valley Gymnastics,Step 5,OVER,Kapiti Championships,"AA, Team, App",,13.35,5,0,12.6,5,0,12.05,5.0,0,12.45,5.0,0,50.450,,2022-06-25
227748,Zoe Tatham,Onslow Gymnastics,Step 5,OVER,Kapiti Championships,"AA, Team, App",,13.15,5,0,12.65,5,0,11.1,5.0,0,13.45,5.0,0,50.350,,2022-06-25
249821,Ashleigh Keall,Onslow Gymnastics,Step 5,OVER,Kapiti Championships,"AA, Team, App",,13.0,5,0,12.4,5,0,13.25,5.0,0,12.95,5.0,0,51.600,,2022-06-25
201094,Eva McEwan,Harbour City Gymnastics,Step 5,OVER,Kapiti Championships,"AA, Team, App",,12.95,5,0,11.85,5,0,11.15,4.0,0,12.3,5.0,0,48.250,,2022-06-25
261097,Nara Wyatt,Harbour City Gymnastics,Step 5,OVER,Kapiti Championships,"AA, Team, App",,13.0,5,0,12.1,5,0,13.0,5.0,0,11.75,4.5,0,49.850,,2022-06-25
296689,Naomi Guershom,Rimutaka Gymnastics,Step 5,OVER,Kapiti Championships,"AA, Team, App",,12.4,5,0,12.25,5,0,10.7,4.5,0,12.9,5.0,0,48.250,,2022-06-25
608523,Ruby Brewer,Rimutaka Gymnastics,Step 5,OVER,Kapiti Championships,"AA, Team, App",,11.95,5,0,12.85,5,0,11.1,4.0,0,12.55,5.0,0,48.450,,2022-06-25
201410,Grace McGall,Rimutaka Gymnastics,Step 5,OVER,Kapiti Championships,"AA, Team, App",,12.65,5,0,11.7,5,0,10.05,3.7,0,12.05,5.0,0,46.450,,2022-06-25
