gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
629120,Maoka Hara,MId Island Gym Sports,WAG Step 1 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All Around,,14.1,5,9.1,0,2,13.3,5,8.3,0,6,14.25,5.0,9.25,0.0,1,14.35,5.0,9.35,0,2,56.000,2,2023-05-26T23:33:48.991Z
675850,Emma Numanga,MId Island Gym Sports,WAG Step 1 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All Around,,13.45,5,8.45,0,8,13.8,5,8.8,0,4,12.55,5.0,7.55,0.0,12,14.05,5.0,9.05,0,3,53.850,6,2023-05-26T23:29:01.512Z
665483,Shante de Beer,MId Island Gym Sports,WAG Step 1 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All Around,,14.1,5,9.1,0,2,13.55,5,8.55,0,5,13.35,5.0,8.35,0.0,4,14.05,5.0,9.05,0,3,55.050,4,2023-05-26T23:30:24.580Z
632547,Casey Noonan,Piako Gymnastics Club,WAG Step 1 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All Around,,12.7,5,7.7,0,13,11.75,5,6.75,0,15,12.85,5.0,7.85,0.0,9,12.9,5.0,7.9,0,15,50.200,14,2023-05-26T23:45:35.471Z
606049,Elliot Callaghan,Piako Gymnastics Club,WAG Step 1 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All Around,,13.75,5,8.75,0,5,13.25,5,8.25,0,7,13.2,5.0,8.2,0.0,6,13.6,5.0,8.6,0,8,53.800,7,2023-05-26T23:58:59.157Z
624794,Jordan Hedley,Piako Gymnastics Club,WAG Step 1 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All Around,,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.000,0,2023-05-26T23:37:48.556Z
640568,Layla Gommans,Piako Gymnastics Club,WAG Step 1 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All Around,,12.8,5,7.8,0,11,11.6,5,6.6,0,16,12.65,5.0,7.65,0.0,10,12.55,5.0,7.55,0,16,49.600,16,2023-05-26T23:43:08.964Z
514183,Fiona Thomas,Piako Gymnastics Club,WAG Step 1 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All Around,,12.75,5,7.75,0,12,12.05,5,7.05,0,14,12.6,5.0,7.6,0.0,11,13.7,5.0,8.7,0,7,51.100,13,2023-05-27T00:00:45.932Z
687131,Isabella Aitken,Piako Gymnastics Club,WAG Step 1 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All Around,,12.4,5,7.4,0,16,12.6,5,7.6,0,11,12.0,5.0,7.0,0.0,15,13.05,5.0,8.05,0,13,50.050,15,2023-05-27T00:02:30.858Z
612307,Maddie Morris,Piako Gymnastics Club,WAG Step 1 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All Around,,12.6,5,7.6,0,14,12.65,5,7.65,0,10,13.0,5.0,8.0,0.0,7,12.95,5.0,7.95,0,14,51.200,11,2023-05-26T23:52:08.098Z
605195,Nikylah Pakinga-Murcott,Piako Gymnastics Club,WAG Step 1 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All Around,,13.2,5,8.2,0,10,12.4,5,7.4,0,12,13.0,5.0,8.0,0.0,7,13.4,5.0,8.4,0,9,52.000,9,2023-05-26T23:56:08.779Z
659244,Stella Torrens,Piako Gymnastics Club,WAG Step 1 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All Around,,12.55,5,7.55,0,15,13.2,5,8.2,0,8,12.55,5.0,7.55,0.0,12,13.15,5.0,8.15,0,12,51.450,10,2023-05-26T23:53:39.839Z
593394,Zoe Freeman,Piako Gymnastics Club,WAG Step 1 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All Around,,13.25,5,8.25,0,9,12.1,5,7.1,0,13,12.45,4.5,7.95,0.0,14,13.4,5.0,8.4,0,9,51.200,11,2023-05-26T23:57:31.801Z
623270,Marunï¿½ Van Zyl,Turn & Gymnastic Circle,WAG Step 1 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All Around,,13.75,5,8.75,0,5,14.3,5,9.3,0,2,10.85,5.0,5.85,0.0,16,14.55,5.0,9.55,0,1,53.450,8,2023-05-26T23:53:55.401Z
723613,Molly Harvey,Turn & Gymnastic Circle,WAG Step 1 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All Around,,13.7,5,8.7,0,7,13.1,5,8.1,0,9,13.25,5.0,8.25,0.0,5,13.95,5.0,8.95,0,6,54.000,5,2023-05-26T23:55:42.380Z
657024,Rosa Pitts,Turn & Gymnastic Circle,WAG Step 1 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All Around,,14.15,5,9.15,0,1,14.1,5,9.1,0,3,14.0,5.0,9.0,0.0,2,13.4,5.0,8.4,0,9,55.650,3,2023-05-26T23:58:23.429Z
553037,Ella Schuster,Turn & Gymnastic Circle,WAG Step 1 - Comp 2,UNDER,MIGS Elementary Artistic 2023 Competition,All Around,,14.0,5,9.0,0,4,14.45,5,9.45,0,1,13.8,5.0,8.8,0.0,3,14.0,5.0,9.0,0,5,56.250,1,2023-05-26T23:51:15.671Z
651555,Ruby Bradford,MId Island Gym Sports,WAG Step 1 - Comp 2,OVER,MIGS Elementary Artistic 2023 Competition,All Around,,13.45,5,8.45,0,8,13.35,5,8.35,0,7,12.15,5.0,7.15,0.0,15,13.7,5.0,8.7,0,6,52.650,9,2023-05-26T23:32:22.652Z
629135,Emika Watanabe,MId Island Gym Sports,WAG Step 1 - Comp 2,OVER,MIGS Elementary Artistic 2023 Competition,All Around,,14.15,5,9.15,0,1,14.05,5,9.05,0,3,14.45,5.0,9.45,0.0,2,14.6,5.0,9.6,0,1,57.250,1,2023-05-26T23:35:18.109Z
706054,Carly Perham,MId Island Gym Sports,WAG Step 1 - Comp 2,OVER,MIGS Elementary Artistic 2023 Competition,All Around,,13.7,5,8.7,0,4,14.55,5,9.55,0,1,13.1,5.0,8.6,0.5,11,13.85,5.0,8.85,0,4,55.200,4,2023-05-26T23:27:38.284Z
591802,Zara Green,Gisborne Gymnastics Club,WAG Step 1 - Comp 2,OVER,MIGS Elementary Artistic 2023 Competition,All Around,,12.55,5,7.55,0,14,13.8,5,8.8,0,5,13.4,5.0,8.4,0.0,9,12.75,5.0,7.75,0,13,52.500,11,2023-05-26T23:49:42.029Z
665957,Olive Moleta,Gisborne Gymnastics Club,WAG Step 1 - Comp 2,OVER,MIGS Elementary Artistic 2023 Competition,All Around,,13.25,5,8.25,0,10,11.15,5,6.15,0,14,13.65,5.0,8.65,0.0,8,13.05,5.0,8.05,0,12,51.100,13,2023-05-26T23:51:05.321Z
578474,Elenor Snodgrass,Gisborne Gymnastics Club,WAG Step 1 - Comp 2,OVER,MIGS Elementary Artistic 2023 Competition,All Around,,13.5,5,8.5,0,6,13.05,5,8.05,0,9,13.85,5.0,8.85,0.0,6,13.4,5.0,8.4,0,10,53.800,7,2023-05-26T23:51:30.077Z
535655,Sage Alexander,Gisborne Gymnastics Club,WAG Step 1 - Comp 2,OVER,MIGS Elementary Artistic 2023 Competition,All Around,,13.8,5,8.8,0,2,13.15,5,8.15,0,8,14.05,5.0,9.05,0.0,4,13.65,5.0,8.65,0,8,54.650,6,2023-05-26T23:46:30.600Z
537415,Emmie Fitzharris -Stevens,Gisborne Gymnastics Club,WAG Step 1 - Comp 2,OVER,MIGS Elementary Artistic 2023 Competition,All Around,,13.3,5,8.3,0,9,12.0,5,7.0,0,12,14.05,5.0,9.05,0.0,4,13.5,5.0,8.5,0,9,52.850,8,2023-05-26T23:47:43.501Z
665997,India Bonnie Forde,Gisborne Gymnastics Club,WAG Step 1 - Comp 2,OVER,MIGS Elementary Artistic 2023 Competition,All Around,,13.8,5,8.8,0,2,14.2,5,9.2,0,2,14.5,5.0,9.5,0.0,1,14.5,5.0,9.5,0,2,57.000,2,2023-05-26T23:48:49.590Z
