gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
151506,Addisyn Smith,Hamilton City Gym Sports,Step 7,OVER,MIGS Junior Senior Artistic 2023 Competition,All-around,,10.566,1.6,8.966,0,8,10.033,2.7,7.333,0,10,11.0,2.9,8.1,0,6,11.866,3.5,8.366,0.0,2,43.465,5,2023-04-15T02:47:03.416Z
200227,Ashleigh Van Eyk,Hamilton City Gym Sports,Step 7,OVER,MIGS Junior Senior Artistic 2023 Competition,All-around,,10.2,1.6,8.6,0,12,10.3,2.4,7.9,0,7,11.633,2.8,8.833,0,1,11.766,3.5,8.266,0.0,3,43.899,4,2023-04-15T02:43:50.172Z
239498,Piper Skinner,Hamilton City Gym Sports,Step 7,OVER,MIGS Junior Senior Artistic 2023 Competition,All-around,,10.533,1.6,8.933,0,9,11.5,3.0,8.5,0,1,11.566,3.4,8.166,0,2,10.733,3.3,7.433,0.0,11,44.332,3,2023-04-15T02:51:02.852Z
206480,Eva Conlon,Hamilton City Gym Sports,Step 7,OVER,MIGS Junior Senior Artistic 2023 Competition,All-around,,10.8,1.6,9.2,0,5,10.666,2.4,8.266,0,4,10.766,2.9,7.866,0,7,10.933,3.4,7.533,0.0,9,43.165,7,2023-04-15T02:48:30.810Z
303515,Poppy Hancock,Hamilton City Gym Sports,Step 7,OVER,MIGS Junior Senior Artistic 2023 Competition,All-around,,10.766,1.6,9.166,0,6,11.4,3.0,8.4,0,2,11.3,3.4,7.9,0,4,11.333,3.4,7.933,0.0,7,44.799,1,2023-04-15T02:58:01.731Z
244210,Sophia Hands,Hamilton City Gym Sports,Step 7,UNDER,MIGS Junior Senior Artistic 2023 Competition,All-around,,10.166,1.6,8.566,0,1,10.2,2.4,7.8,0,1,11.4,3.4,8.0,0,1,11.7,3.3,8.4,0.0,1,43.466,1,2023-04-15T02:54:41.603Z
214600,Ella Blomfield,Hamilton City Gym Sports,Step 7,OVER,MIGS Junior Senior Artistic 2023 Competition,All-around,,10.233,1.6,8.633,0,11,10.233,2.1,8.133,0,9,11.333,3.4,7.933,0,3,10.666,3.4,7.266,0.0,12,42.465,8,2023-04-15T02:55:57.879Z
217121,BRIANNA VALENT-HAY,Fantastic Gymnastics,Step 7,OVER,MIGS Junior Senior Artistic 2023 Competition,All-around,,11.166,2.4,8.766,0,2,10.433,2.4,8.033,0,6,9.1,3.4,5.7,0,14,11.6,3.2,8.4,0.0,4,42.299,9,2023-04-15T03:03:15.484Z
216501,Abby Powell,Howick Gymnastics,Step 7,OVER,MIGS Junior Senior Artistic 2023 Competition,All-around,,10.0,1.6,8.4,0,15,9.6,2.1,7.5,0,13,9.7,2.9,6.8,0,12,10.4,2.7,7.7,0.0,14,39.700,14,2023-04-15T03:07:34.281Z
242936,Betsy Lu,Howick Gymnastics,Step 7,OVER,MIGS Junior Senior Artistic 2023 Competition,All-around,,10.366,1.6,8.766,0,10,8.4,1.5,6.9,0,15,10.633,3.3,7.333,0,9,11.5,3.3,8.2,0.0,5,40.899,12,2023-04-15T03:10:55.349Z
271150,Maia Drabble,Mid Island Gym Sports,Step 7,OVER,MIGS Junior Senior Artistic 2023 Competition,All-around,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.000,0,2023-04-15T03:14:14.253Z
252901,Penelope Fowler,Omni Gymnastics Centre,Step 7,OVER,MIGS Junior Senior Artistic 2023 Competition,All-around,,11.4,3.2,8.2,0,1,10.266,2.9,7.366,0,8,10.433,3.3,7.133,0,10,11.1,3.8,7.3,0.0,8,43.199,6,2023-04-15T02:44:48.072Z
149626,Sienna Manisty,Omni Gymnastics Centre,Step 7,OVER,MIGS Junior Senior Artistic 2023 Competition,All-around,,10.066,2.0,8.066,0,13,9.9,1.7,8.2,0,12,10.366,3.4,6.966,0,11,10.866,3.2,7.666,0.0,10,41.198,11,2023-04-15T02:48:40.737Z
194104,Lily Evans,Te Puke Gym Sport,Step 7,OVER,MIGS Junior Senior Artistic 2023 Competition,All-around,,11.166,2.4,8.766,0,2,10.466,2.4,8.066,0,5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,21.632,0,2023-04-15T03:15:22.636Z
535662,Sarah Hawkins,Gisborne Gymnastics,Step 7,OVER,MIGS Junior Senior Artistic 2023 Competition,All-around,,11.1,2.4,8.7,0,4,10.966,3.1,7.866,0,3,11.133,3.9,7.233,0,5,11.4,3.3,8.1,0.0,6,44.599,2,2023-04-15T02:55:09.148Z
535672,Sarai Gudgeon,Gisborne Gymnastics,Step 7,OVER,MIGS Junior Senior Artistic 2023 Competition,All-around,,10.7,2.4,8.3,0,7,8.933,2.8,6.133,0,14,10.666,3.4,7.266,0,8,10.533,3.0,7.533,0.0,13,40.832,13,2023-04-15T02:58:09.577Z
130073,Harriet Tangney,Mount Tauhara Gymnastics,Step 7,OVER,MIGS Junior Senior Artistic 2023 Competition,All-around,,9.966,2.0,7.966,0,16,8.3,0.8,7.5,0,16,8.366,2.2,6.166,0,15,8.666,1.3,7.866,0.5,15,35.298,15,2023-04-15T03:16:06.324Z
206341,Xanthia Ellis,Mount Tauhara Gymnastics,Step 7,OVER,MIGS Junior Senior Artistic 2023 Competition,All-around,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.000,0,2023-04-15T03:14:29.744Z
260910,Nikita Steffert,Omni Gymnastics Centre,Step 7,OVER,MIGS Junior Senior Artistic 2023 Competition,All-around,,10.033,1.6,8.433,0,14,9.933,2.5,7.433,0,11,9.7,3.6,6.1,0,12,12.0,3.9,8.1,0.0,1,41.666,10,2023-04-15T02:52:20.781Z
