gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
555198,Alex McCutcheon Barrett,Central Gymnastics,STEP 5,OVER,Manawatu Senior Opens 2023,All Around,,12.95,5,7.95,0,19,11.233,5.0,6.233,0,25,12.6,5.0,7.6,0,9,11.35,4.5,6.85,0.0,23,48.133,20,2023-03-25T05:25:39.988Z
287944,Aliana Watson,Hastings Gymnastics,STEP 5,OVER,Manawatu Senior Opens 2023,All Around,,13.4,5,8.4,0,9,11.966,5.0,6.966,0,20,11.2,4.5,6.7,0,20,12.2,5.0,7.2,0.0,16,48.766,18,2023-03-25T05:20:28.522Z
555070,Isla Bawden,Hastings Gymnastics,STEP 5,OVER,Manawatu Senior Opens 2023,All Around,,13.4,5,8.4,0,9,13.4,5.0,8.4,0,1,11.95,5.0,6.95,0,13,11.4,4.5,6.9,0.0,22,50.150,11,2023-03-25T05:22:48.502Z
229045,Ema Gatland,Hutt Valley Gymnastics,STEP 5,UNDER,Manawatu Senior Opens 2023,All Around,,13.95,5,8.95,0,2,13.3,5.0,8.3,0,2,12.5,4.5,8.0,0,7,13.4,5.0,8.4,0.0,2,53.150,2,2023-03-25T05:22:07.451Z
301962,Elsiana Shearer Orr,Hutt Valley Gymnastics,STEP 5,UNDER,Manawatu Senior Opens 2023,All Around,,12.6,5,7.6,0,11,11.466,5.0,6.466,0,11,10.7,4.0,7.7,1,12,12.05,5.0,7.05,0.0,12,46.816,12,2023-03-25T05:22:55.521Z
278716,Madeline Joe,Hutt Valley Gymnastics,STEP 5,UNDER,Manawatu Senior Opens 2023,All Around,,14.1,5,9.1,0,1,12.3,5.0,7.3,0,8,12.55,5.0,7.55,0,6,13.4,5.0,8.4,0.0,2,52.350,3,2023-03-25T05:24:35.470Z
219201,Eleanor Henry,Hutt Valley Gymnastics,STEP 5,UNDER,Manawatu Senior Opens 2023,All Around,,12.5,5,7.5,0,12,12.266,5.0,7.266,0,9,12.0,4.5,7.5,0,10,13.1,5.0,8.1,0.0,5,49.866,9,2023-03-25T05:11:10.852Z
204241,Maia Mason,Hutt Valley Gymnastics,STEP 5,OVER,Manawatu Senior Opens 2023,All Around,,13.25,5,8.25,0,16,11.966,4.5,7.466,0,20,11.45,4.5,6.95,0,18,12.45,5.0,7.55,0.1,12,49.116,17,2023-03-25T05:12:55.299Z
296472,Vanisha Tandon,Hutt Valley Gymnastics,STEP 5,OVER,Manawatu Senior Opens 2023,All Around,,13.65,5,8.65,0,5,12.6,5.0,7.6,0,7,12.05,4.5,7.55,0,12,13.05,5.0,8.05,0.0,2,51.350,7,2023-03-25T05:15:15.105Z
192269,Poppy Cowan,Hutt Valley Gymnastics,STEP 5,OVER,Manawatu Senior Opens 2023,All Around,,13.8,5,8.8,0,1,12.833,5.0,7.833,0,4,13.05,5.0,8.05,0,6,12.7,5.0,7.7,0.0,8,52.383,1,2023-03-25T05:15:39.641Z
281440,Sienna Boyd,Hutt Valley Gymnastics,STEP 5,OVER,Manawatu Senior Opens 2023,All Around,,12.55,5,7.55,0,24,12.0,5.0,7.0,0,19,10.25,4.0,6.25,0,23,9.35,4.0,5.35,0.0,26,44.150,26,2023-03-25T05:16:18.882Z
198065,Mia Grant,Kapiti Gymnastics,STEP 5,UNDER,Manawatu Senior Opens 2023,All Around,,13.2,5,8.2,0,7,12.6,5.0,7.6,0,5,11.6,4.5,7.1,0,11,12.7,5.0,7.7,0.0,6,50.100,8,2023-03-25T05:20:06.637Z
567991,Ren Comrie,Levin Gymnastics,STEP 5,OVER,Manawatu Senior Opens 2023,All Around,,12.6,5,7.6,0,23,12.566,5.0,7.566,0,8,9.25,4.0,6.25,1,25,12.6,5.0,7.6,0.0,10,47.016,23,2023-03-25T05:18:28.507Z
567989,Kana Komikado,Levin Gymnastics,STEP 5,OVER,Manawatu Senior Opens 2023,All Around,,12.9,5,7.9,0,20,12.966,5.0,7.966,0,3,13.65,5.0,8.65,0,1,12.4,5.0,7.4,0.0,14,51.916,4,2023-03-25T05:19:20.536Z
569849,Sydnee Hallett,Levin Gymnastics,STEP 5,UNDER,Manawatu Senior Opens 2023,All Around,,12.9,5,7.9,0,9,10.833,5.0,5.833,0,13,10.15,5.0,5.15,0,13,12.25,5.0,7.25,0.0,9,46.133,13,2023-03-25T05:20:23.049Z
267099,Alena Brain,Manawatu GymSports,STEP 5,OVER,Manawatu Senior Opens 2023,All Around,,13.3,5,8.3,0,14,11.666,5.0,6.666,0,23,11.6,4.5,7.1,0,16,12.9,5.0,7.9,0.0,4,49.466,15,2023-03-25T05:22:08.221Z
227085,Alexa Newton,Manawatu GymSports,STEP 5,OVER,Manawatu Senior Opens 2023,All Around,,13.05,5,8.05,0,18,11.533,5.0,6.533,0,24,11.05,5.0,6.05,0,22,11.9,5.0,6.9,0.0,19,47.533,21,2023-03-25T05:24:34.006Z
273425,Ashleigh Wier,Manawatu GymSports,STEP 5,UNDER,Manawatu Senior Opens 2023,All Around,,13.8,5,8.8,0,3,13.133,5.0,8.133,0,4,12.6,4.5,8.1,0,5,12.5,5.0,7.5,0.0,7,52.033,5,2023-03-25T05:26:22.431Z
253071,Elina Johnson,Manawatu GymSports,STEP 5,OVER,Manawatu Senior Opens 2023,All Around,,12.75,5,7.75,0,21,11.9,5.0,6.9,0,22,13.15,5.0,8.15,0,4,12.75,5.0,7.75,0.0,7,50.550,10,2023-03-25T05:10:08.073Z
255988,Emma Barry,Manawatu GymSports,STEP 5,OVER,Manawatu Senior Opens 2023,All Around,,13.7,5,8.7,0,3,12.733,5.0,7.733,0,6,11.9,5.0,6.9,0,14,13.0,5.0,8.0,0.0,3,51.333,8,2023-03-25T05:12:16.456Z
243447,Emma Nixon,Manawatu GymSports,STEP 5,OVER,Manawatu Senior Opens 2023,All Around,,13.65,5,8.65,0,5,12.4,5.0,7.4,0,12,12.7,5.0,7.7,0,8,13.3,5.0,8.3,0.0,1,52.050,3,2023-03-25T05:14:35.795Z
550496,Georgia Harvey,Manawatu GymSports,STEP 5,UNDER,Manawatu Senior Opens 2023,All Around,,13.45,5,8.45,0,6,13.166,5.0,8.166,0,3,13.3,5.0,8.3,0,2,14.0,5.0,9.0,0.0,1,53.916,1,2023-03-25T05:16:21.485Z
296108,Marina Munford,Manawatu GymSports,STEP 5,UNDER,Manawatu Senior Opens 2023,All Around,,12.5,5,7.5,0,12,12.466,5.0,7.466,0,6,8.85,5.0,3.85,0,14,0.0,0.0,0.0,0.0,0,33.816,0,2023-03-25T05:16:41.898Z
261788,Shannon Tindle,Manawatu GymSports,STEP 5,OVER,Manawatu Senior Opens 2023,All Around,,12.65,5,7.65,0,22,12.833,5.0,7.833,0,4,11.35,4.0,7.35,0,19,12.45,5.0,7.45,0.0,12,49.283,16,2023-03-25T05:18:13.825Z
246842,Ava Gleeson,OMNI Gymnastic Centre,STEP 5,OVER,Manawatu Senior Opens 2023,All Around,,13.35,5,8.35,0,11,10.5,5.0,5.5,0,26,13.25,5.0,8.25,0,2,12.7,5.0,7.7,0.0,8,49.800,14,2023-03-25T05:27:37.323Z
226768,Tamzyn Valler,OMNI Gymnastic Centre,STEP 5,UNDER,Manawatu Senior Opens 2023,All Around,,12.25,5,7.25,0,14,10.333,5.0,5.333,0,14,12.2,5.0,7.2,0,9,12.1,5.0,7.1,0.0,10,46.883,11,2023-03-25T05:29:43.030Z
302439,Mia Kamphuis,OMNI Gymnastic Centre,STEP 5,UNDER,Manawatu Senior Opens 2023,All Around,,12.65,5,7.65,0,10,11.033,5.0,6.033,0,12,12.3,5.0,7.3,0,8,12.1,5.0,7.1,0.0,10,48.083,10,2023-03-25T05:32:49.839Z
229824,Leah McDowell,OMNI Gymnastic Centre,STEP 5,OVER,Manawatu Senior Opens 2023,All Around,,12.45,5,7.45,0,25,12.166,5.0,7.166,0,16,11.7,4.5,7.2,0,15,12.3,5.0,7.3,0.0,15,48.616,19,2023-03-25T05:08:20.261Z
