gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
247674,Ariana Parker,Piako,Step 6,UNDER,Midlands Seniors 2023,All-around,,14.0,5,9.0,0,4,10.2,5,5.2,0,9,13.5,5.0,8.5,0,7,12.3,5,7.3,0,9,50.000,8,2023-05-20T06:09:27.354Z
240541,Bryleigh Jackson,Impact,Step 6,UNDER,Midlands Seniors 2023,All-around,,14.25,5,9.25,0,2,12.366,5,7.366,0,6,14.05,5.0,9.05,0,3,13.8,5,8.8,0,2,54.466,4,2023-05-20T06:19:34.451Z
512144,Jayde Henare,Impact,Step 6,UNDER,Midlands Seniors 2023,All-around,,13.95,5,8.95,0,5,14.033,5,9.033,0,1,14.35,5.0,9.35,0,1,13.65,5,8.65,0,4,55.983,2,2023-05-20T06:21:48.140Z
245236,Addison Sands,Impact,Step 6,UNDER,Midlands Seniors 2023,All-around,,13.7,5,8.7,0,7,12.833,5,7.833,0,4,13.6,5.0,8.6,0,6,13.55,5,8.55,0,5,53.683,5,2023-05-20T06:24:16.007Z
512048,Karin Aono,Impact,Step 6,UNDER,Midlands Seniors 2023,All-around,,14.1,5,9.1,0,3,13.266,5,8.266,0,2,14.35,5.0,9.35,0,1,14.3,5,9.3,0,1,56.016,1,2023-05-20T06:11:32.630Z
286548,Amelia Mowbray,Hamilton,Step 6,UNDER,Midlands Seniors 2023,All-around,,13.65,5,8.65,0,8,12.466,5,7.466,0,5,13.2,5.0,8.2,0,8,13.15,5,8.15,0,7,52.466,7,2023-05-20T06:14:55.787Z
296802,Mackenzie Hughes,ARGOS,Step 6,UNDER,Midlands Seniors 2023,All-around,,13.9,5,8.9,0,6,12.033,5,7.033,0,7,14.0,5.0,9.0,0,4,13.2,5,8.2,0,6,53.133,6,2023-05-20T06:13:54.816Z
563538,Tilly Martin,ARGOS,Step 6,UNDER,Midlands Seniors 2023,All-around,,14.5,5,9.5,0,1,13.0,5,8.0,0,3,13.75,5.0,8.75,0,5,13.8,5,8.8,0,2,55.050,3,2023-05-20T06:14:32.032Z
284789,Vayda Davies,T&GC,Step 6,OVER,Midlands Seniors 2023,All-around,,13.25,5,8.25,0,11,12.4,5,7.4,0,9,13.0,5.0,8.0,0,9,13.8,5,8.8,0,3,52.450,8,2023-05-20T06:14:44.542Z
280260,Anastasia Tsatsas,T&GC,Step 6,OVER,Midlands Seniors 2023,All-around,,12.85,5,7.85,0,15,11.3,5,6.3,0,16,14.25,5.0,9.25,0,1,13.7,5,8.7,0,5,52.100,9,2023-05-20T06:15:43.031Z
238233,Monique Cvitanich,T&GC,Step 6,OVER,Midlands Seniors 2023,All-around,,13.25,5,8.25,0,11,13.4,5,8.4,0,2,13.15,5.0,8.15,0,6,13.45,5,8.45,0,6,53.250,5,2023-05-20T06:16:35.464Z
535647,Ralo Bright,T&GC,Step 6,OVER,Midlands Seniors 2023,All-around,,14.1,5,9.1,0,2,13.133,5,8.133,0,3,13.1,5.0,8.1,0,7,14.05,5,9.05,0,1,54.383,3,2023-05-20T06:11:13.816Z
258877,Katy-June Loomans,Piako,Step 6,OVER,Midlands Seniors 2023,All-around,,12.9,5,7.9,0,14,11.4,5,6.4,0,15,11.1,5.0,6.1,0,16,11.45,5,6.45,0,16,46.850,16,2023-05-20T06:12:01.513Z
284790,Jaiya Elfa,Piako,Step 6,OVER,Midlands Seniors 2023,All-around,,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.000,0,2023-05-20T06:04:45.580Z
179641,Charlie Standing,Impact,Step 6,OVER,Midlands Seniors 2023,All-around,,14.1,5,9.1,0,2,13.133,5,8.133,0,3,14.0,5.0,9.0,0,2,13.75,5,8.75,0,4,54.983,2,2023-05-20T06:13:20.737Z
201703,Nellie Burns,Impact,Step 6,OVER,Midlands Seniors 2023,All-around,,13.45,5,8.45,0,9,12.166,5,7.166,0,10,13.1,5.0,8.1,0,7,12.9,5,7.9,0,13,51.616,10,2023-05-20T06:15:21.556Z
247449,Mila Watherson,Impact,Step 6,OVER,Midlands Seniors 2023,All-around,,14.65,5,9.65,0,1,12.933,5,7.933,0,6,13.4,5.0,8.4,0,4,13.4,5,8.4,0,7,54.383,3,2023-05-20T06:17:30.757Z
214492,Ava Ellison,Impact,Step 6,OVER,Midlands Seniors 2023,All-around,,13.75,5,8.75,0,5,12.8,5,7.8,0,7,13.25,5.0,8.25,0,5,13.35,5,8.35,0,8,53.150,6,2023-05-20T06:14:35.925Z
214807,Femma van der Beek,Impact,Step 6,OVER,Midlands Seniors 2023,All-around,,13.3,5,8.3,0,10,12.966,5,7.966,0,5,11.6,4.5,7.1,0,15,12.55,5,7.55,0,14,50.416,13,2023-05-20T06:16:53.956Z
165319,Mackenzie Plunket,Impact,Step 6,OVER,Midlands Seniors 2023,All-around,,12.5,5,7.5,0,16,11.966,5,6.966,0,12,12.7,5.0,7.7,0,11,13.0,5,8.0,0,12,50.166,14,2023-05-20T06:19:55.196Z
223942,Nicole Norris,Huntly,Step 6,OVER,Midlands Seniors 2023,All-around,,13.55,5,8.55,0,7,11.9,5,6.9,0,13,12.05,5.0,7.05,0,13,13.15,5,8.15,0,11,50.650,12,2023-05-20T06:12:33.594Z
187196,Paige Solly,Hamilton,Step 6,OVER,Midlands Seniors 2023,All-around,,13.65,5,8.65,0,6,11.8,5,6.8,0,14,12.6,5.0,7.6,0,12,13.3,5,8.3,0,9,51.350,11,2023-05-20T06:12:13.409Z
179683,Alyssa Mitchell,Hamilton,Step 6,OVER,Midlands Seniors 2023,All-around,,13.55,5,8.55,0,7,12.8,5,7.8,0,7,12.95,5.0,7.95,0,10,13.2,5,8.2,0,10,52.500,7,2023-05-20T06:12:33.770Z
262671,Mia Abapo,Hamilton,Step 6,OVER,Midlands Seniors 2023,All-around,,13.8,5,8.8,0,4,13.6,5,8.6,0,1,13.6,5.0,8.6,0,3,14.0,5,9.0,0,2,55.000,1,2023-05-20T06:12:56.742Z
535626,Miriam Cornfeld,Gisborne,Step 6,OVER,Midlands Seniors 2023,All-around,,13.0,5,8.0,0,13,12.033,5,7.033,0,11,11.95,5.0,6.95,0,14,12.0,5,7.0,0,15,48.983,15,2023-05-20T06:13:30.718Z
571263,Abby van Beerendonk,Counties Manukau,Step 6,NONE,Midlands Seniors 2023,All-around,,13.4,5,8.4,0,9,11.333,5,6.333,0,8,10.9,5.0,5.9,0,9,12.9,5,7.9,0,8,48.533,9,2023-05-20T06:13:35.167Z
