gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
554225,Emma Smith,Bay of Island Gymnastics Club,Step 3,UNDER,Northland Champs 2023,All Round,,13.25,5,8.25,0,6,12.9,5.0,7.9,0,19,12.65,4.5,8.15,0,10,11.95,5.0,6.95,0.0,15,50.750,0,2023-05-20T04:05:39.619Z
300379,Aotea Bauer-Ngawaka,Bay of Island Gymnastics Club,Step 3,OVER,Northland Champs 2023,All Round,,13.4,5,8.4,0,4,11.9,5.0,6.9,0,12,12.25,5.0,7.25,0,7,12.75,5.0,7.75,0.0,6,50.300,0,2023-05-20T04:07:16.104Z
624445,Emily Crisp,Bay of Island Gymnastics Club,Step 3,UNDER,Northland Champs 2023,All Round,,13.8,5,8.8,0,3,13.566,5.0,8.566,0,10,13.7,5.0,8.7,0,2,13.6,5.0,8.6,0.0,3,54.666,0,2023-05-20T04:08:44.580Z
544108,Ariah Singh,Counties Manukau Gymnastics Club,Step 3,OVER,Northland Champs 2023,All Round,,13.3,5,8.3,0,7,13.3,5.0,8.3,0,5,13.6,5.0,8.6,0,2,13.25,5.0,8.25,0.0,3,53.450,0,2023-05-20T04:18:24.774Z
579808,Emma Robinson,Counties Manukau Gymnastics Club,Step 3,UNDER,Northland Champs 2023,All Round,,14.05,5,9.05,0,2,13.5,5.0,8.5,0,12,14.1,5.0,9.1,0,1,13.9,5.0,8.9,0.0,1,55.550,0,2023-05-20T04:20:31.704Z
576126,Lillie Punnett,Counties Manukau Gymnastics Club,Step 3,OVER,Northland Champs 2023,All Round,,11.1,5,7.1,1,14,13.7,5.0,8.7,0,2,14.05,5.0,9.05,0,1,13.85,5.0,8.85,0.0,1,52.700,0,2023-05-20T04:23:36.728Z
655495,Tessa Fletcher,Counties Manukau Gymnastics Club,Step 3,UNDER,Northland Champs 2023,All Round,,14.45,5,9.45,0,1,13.4,5.0,8.4,0,13,10.7,4.2,6.5,0,22,12.9,5.0,7.9,0.0,7,51.450,0,2023-05-20T04:01:59.960Z
589521,Bailey Littin-Ashby,Counties Manukau Gymnastics Club,Step 3,UNDER,Northland Champs 2023,All Round,,12.55,5,7.55,0,14,14.033,5.0,9.033,0,3,12.65,5.0,7.65,0,10,13.65,5.0,8.65,0.0,2,52.883,0,2023-05-20T04:05:03.040Z
547972,Agnes Comber,Eastern Suburbs Gymnastics Club,Step 3,UNDER,Northland Champs 2023,All Round,,13.6,5,8.6,0,4,13.9,5.0,8.9,0,4,12.35,5.0,7.35,0,14,12.2,5.0,7.2,0.0,13,52.050,0,2023-05-20T04:18:36.186Z
257793,Eden Galway,Eastern Suburbs Gymnastics Club,Step 3,OVER,Northland Champs 2023,All Round,,12.95,5,7.95,0,10,13.866,5.0,8.866,0,1,12.45,5.0,7.45,0,6,12.9,5.0,7.9,0.0,4,52.166,0,2023-05-20T04:20:59.921Z
