gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
262596,Lily McLeod,Affinity Gymnastics Academy,STEP 8,OVER,South Island Gymnastics Championships 2022,"AA, Apps and Teams",,11.933,3.4,0,11.4,3.4,0,9.266,3.3,0,10.933,3.1,0,43.532,,2022-07-02
164084,Elise Didierjean,Christchurch School of Gymnastics,STEP 8,UNDER,South Island Gymnastics Championships 2022,"AA, Apps and Teams",,12.166,3.4,0,12.033,3.9,0,8.866,3.8,0,12.6,4.8,0,45.665,,2022-07-02
212410,Isla Martin-McKenzie,Christchurch School of Gymnastics,STEP 8,OVER,South Island Gymnastics Championships 2022,"AA, Apps and Teams",,10.333,1.6,0,11.2,3.4,0,9.633,3.5,0,9.9,3.4,0,41.066,,2022-07-02
175821,Leah McCallum,Christchurch School of Gymnastics,STEP 8,OVER,South Island Gymnastics Championships 2022,"AA, Apps and Teams",,11.4,2.6,0,10.833,2.4,0,10.533,3.6,0,10.466,3.3,0,43.232,,2022-07-02
200572,Lulu Pearse,Christchurch School of Gymnastics,STEP 8,UNDER,South Island Gymnastics Championships 2022,"AA, Apps and Teams",,11.7,3.2,0,11.033,3.9,0,9.766,4.3,0,10.6,3.7,0,43.099,,2022-07-02
177374,Sienna Gilmore,Christchurch School of Gymnastics,STEP 8,UNDER,South Island Gymnastics Championships 2022,"AA, Apps and Teams",,12.366,3.4,0,10.633,3.5,0,11.2,3.5,0,11.566,4.2,0,45.765,,2022-07-02
258049,Elizabeth Litt,Christchurch School of Gymnastics,STEP 8,UNDER,South Island Gymnastics Championships 2022,"AA, Apps and Teams",,11.5,3.2,0,9.766,2.3,0,9.566,3.7,0,11.2,3.4,0,42.032,,2022-07-02
142318,Cara Southam,Christchurch School of Gymnastics,STEP 8,OVER,South Island Gymnastics Championships 2022,"AA, Apps and Teams",,11.933,3.2,0,11.433,3.3,0,10.533,3.3,0,11.3,4.0,0,45.199,,2022-07-02
,Aria Johnstone,Eastern Suburbs Gymnastics Club,STEP 8,UNDER,South Island Gymnastics Championships 2022,"AA, Apps and Teams",,9.666,1.6,0,12.166,3.3,0,11.933,4.6,0,10.9,3.6,0,44.665,,2022-07-02
,Milana Henderson,Eastern Suburbs Gymnastics Club,STEP 8,OVER,South Island Gymnastics Championships 2022,"AA, Apps and Teams",,11.666,3.4,0,11.4,3.2,0,11.5,4.3,0,12.033,4.7,0,46.599,,2022-07-02
534480,Millie Scott,Invercargill Gymnastic Club,STEP 8,UNDER,South Island Gymnastics Championships 2022,"AA, Apps and Teams",,11.5,3.4,0,9.633,1.7,0,11.933,4.4,0,9.566,2.6,0,42.632,,2022-07-02
534476,Alyssa Gauldie,Invercargill Gymnastic Club,STEP 8,UNDER,South Island Gymnastics Championships 2022,"AA, Apps and Teams",,11.0,3.2,0,9.233,1.6,0,11.266,3.9,0,11.0,3.4,0,42.499,,2022-07-02
304641,Sienna Hooft,Te Wero Gymnastics,STEP 8,OVER,South Island Gymnastics Championships 2022,"AA, Apps and Teams",,11.933,3.4,0,10.0,3.4,0,12.266,4.8,0,11.0,3.9,0,45.199,,2022-07-02
188174,Claudia Renaud,Te Wero Gymnastics,STEP 8,UNDER,South Island Gymnastics Championships 2022,"AA, Apps and Teams",,0.0,0.0,0,0.0,0.0,0,10.7,3.9,0,12.1,4.7,0,22.800,,2022-07-02
