gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
305006,Ellie Coburn,Dunedin Gymnastics Academy,STEP 1,NONE,Southern Champs 2023,"All around, Apparatus and Team",,12.55,5,7.55,0,11,12.85,4.5,8.35,0,5,13.45,5.0,8.45,0,5,13.35,5.0,8.35,0,4,52.200,6,2023-04-28T21:26:11.262Z
525113,Georgia Ducrot,Dunedin Gymnastics Academy,STEP 1,NONE,Southern Champs 2023,"All around, Apparatus and Team",,13.7,5,8.7,0,4,11.45,4.5,6.95,0,8,13.35,5.0,8.35,0,6,12.45,5.0,7.45,0,7,50.950,8,2023-04-28T21:15:15.489Z
658998,Barbara Tupou,Dunedin Gymnastics Academy,STEP 1,NONE,Southern Champs 2023,"All around, Apparatus and Team",,13.4,5,8.4,0,7,10.75,4.0,6.75,0,9,14.5,5.0,9.5,0,1,13.65,5.0,8.65,0,2,52.300,5,2023-04-28T21:24:26.609Z
304993,Aliza Johnston,Dunedin Gymnastics Academy,STEP 1,NONE,Southern Champs 2023,"All around, Apparatus and Team",,13.9,5,8.9,0,3,14.45,5.0,9.45,0,1,13.65,5.0,8.65,0,3,13.15,5.0,8.15,0,5,55.150,1,2023-04-28T21:13:53.773Z
526749,Harper Wilson,Dunedin Gymnastics Academy,STEP 1,NONE,Southern Champs 2023,"All around, Apparatus and Team",,14.3,5,9.3,0,2,11.85,5.0,6.85,0,7,12.9,5.0,7.9,0,7,12.1,5.0,7.1,0,9,51.150,7,2023-04-28T21:16:40.728Z
584644,Hayley Hudson,Dunedin Gymnastics Academy,STEP 1,NONE,Southern Champs 2023,"All around, Apparatus and Team",,13.0,5,8.0,0,9,13.2,5.0,8.2,0,3,14.25,5.0,9.25,0,2,12.65,4.5,8.15,0,6,53.100,4,2023-04-28T21:28:22.860Z
559959,Hope Davey,Dunedin Gymnastics Academy,STEP 1,NONE,Southern Champs 2023,"All around, Apparatus and Team",,13.5,5,8.5,0,5,7.9,3.5,4.4,0,12,12.05,5.0,7.05,0,11,10.95,4.5,6.45,0,11,44.400,11,2023-04-28T21:12:54.748Z
524954,Himiko Smithies,Dunedin Gymnastics Academy,STEP 1,NONE,Southern Champs 2023,"All around, Apparatus and Team",,13.5,5,8.5,0,5,12.7,5.0,7.7,0,6,12.6,5.0,7.6,0,9,12.05,5.0,7.05,0,10,50.850,9,2023-04-28T21:11:20.910Z
549211,Nora Miller,Dunedin Gymnastics Academy,STEP 1,NONE,Southern Champs 2023,"All around, Apparatus and Team",,12.65,5,7.65,0,10,8.85,4.0,4.85,0,11,12.6,4.5,8.1,0,9,12.4,4.5,7.9,0,8,46.500,10,2023-04-28T21:19:10.014Z
636882,Tegan Heseltine,Dunedin Gymnastics Academy,STEP 1,NONE,Southern Champs 2023,"All around, Apparatus and Team",,14.4,5,9.4,0,1,13.9,5.0,8.9,0,2,12.85,5.0,7.85,0,8,13.75,5.0,8.75,0,1,54.900,2,2023-04-28T21:22:43.559Z
