gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
229045,Ema Gatland,Hutt Valley Gymnastics Club,STEP 5,UNDER,Top of the South Gymnastics Competition,Day 2: All-around,,14.2,5,9.2,0,0,13.7,5,8.7,0,0,12.75,5.0,7.75,0.0,0,13.65,5.0,8.65,0,0,54.300,3,2023-04-22T21:54:39.798Z
271154,Anaya Dunlop,Rimutaka Gymnastics Club,STEP 5,UNDER,Top of the South Gymnastics Competition,Day 2: All-around,,14.05,5,9.05,0,0,13.25,5,8.25,0,0,12.6,5.0,7.6,0.0,0,12.95,5.0,7.95,0,0,52.850,6,2023-04-22T21:49:53.445Z
219201,Eleanor Henry,Hutt Valley Gymnastics Club,STEP 5,UNDER,Top of the South Gymnastics Competition,Day 2: All-around,,14.0,5,9.0,0,0,12.25,5,7.25,0,0,12.5,5.0,7.5,0.0,0,13.15,5.0,8.15,0,0,51.900,9,2023-04-22T21:52:30.886Z
278716,Madeline Joe,Hutt Valley Gymnastics Club,STEP 5,UNDER,Top of the South Gymnastics Competition,Day 2: All-around,,14.45,5,9.45,0,0,13.35,5,8.35,0,0,13.9,5.0,8.9,0.0,0,12.85,4.5,8.35,0,0,54.550,2,2023-04-22T21:40:20.306Z
296689,Naomi Guershom,Rimutaka Gymnastics Club,STEP 5,OVER,Top of the South Gymnastics Competition,Day 2: All-around,,13.6,5,8.6,0,0,13.45,5,8.45,0,0,11.45,5.0,6.45,0.0,0,13.85,5.0,8.85,0,0,52.350,3,2023-04-22T21:40:12.418Z
296472,Vanisha Tandon,Hutt Valley Gymnastics Club,STEP 5,OVER,Top of the South Gymnastics Competition,Day 2: All-around,,13.25,5,8.25,0,0,13.1,5,8.1,0,0,12.9,5.0,7.9,0.0,0,13.45,5.0,8.45,0,0,52.700,2,2023-04-22T21:44:06.804Z
192269,Poppy Cowan,Hutt Valley Gymnastics Club,STEP 5,OVER,Top of the South Gymnastics Competition,Day 2: All-around,,13.7,5,8.7,0,0,13.1,5,8.1,0,0,13.15,5.0,8.15,0.0,0,13.5,5.0,8.5,0,0,53.450,1,2023-04-22T21:41:08.732Z
608523,Ruby Brewer,Rimutaka Gymnastics Club,STEP 5,OVER,Top of the South Gymnastics Competition,Day 2: All-around,,12.85,5,7.85,0,0,14.0,5,9.0,0,0,11.45,5.0,6.45,0.0,0,13.2,5.0,8.2,0,0,51.500,5,2023-04-22T21:42:00.451Z
227746,Sydney Fergus,Twisters Tawa,STEP 5,OVER,Top of the South Gymnastics Competition,Day 2: All-around,,13.35,5,8.35,0,0,12.95,5,7.95,0,0,11.95,5.0,6.95,0.0,0,12.25,5.0,7.25,0,0,50.500,8,2023-04-22T21:43:11.660Z
554592,Ava Nicholson-Smith,Gymnastics Nelson,STEP 5,OVER,Top of the South Gymnastics Competition,Day 2: All-around,,12.95,5,7.95,0,0,13.45,5,8.45,0,0,11.7,4.5,7.2,0.0,0,13.2,5.0,8.2,0,0,51.300,7,2023-04-22T21:47:16.304Z
201094,Eva McEwan,Harbour City Gymnastics,STEP 5,OVER,Top of the South Gymnastics Competition,Day 2: All-around,,13.85,5,8.85,0,0,12.75,5,7.75,0,0,12.05,5.0,7.05,0.0,0,12.8,5.0,7.8,0,0,51.450,6,2023-04-22T21:38:24.286Z
543081,Annabel Dutton,Christchurch School of Gymnastics,STEP 5,OVER,Top of the South Gymnastics Competition,Day 2: All-around,,13.8,5,8.8,0,0,13.7,5,8.7,0,0,11.95,5.0,6.95,0.0,0,12.6,5.0,7.6,0,0,52.050,4,2023-04-22T21:46:31.150Z
268686,Alice Larsen,Affinity Gymnastics Academy,STEP 5,OVER,Top of the South Gymnastics Competition,Day 2: All-around,,13.15,5,8.15,0,0,13.2,5,8.2,0,0,10.05,4.5,5.55,0.0,0,12.6,5.0,7.6,0,0,49.000,10,2023-04-22T21:45:48.271Z
603642,Grace Luvenitoga,Affinity Gymnastics Academy,STEP 5,OVER,Top of the South Gymnastics Competition,Day 2: All-around,,12.3,5,7.3,0,0,12.3,5,7.3,0,0,10.7,4.5,6.7,0.5,0,12.65,5.0,7.65,0,0,47.950,11,2023-04-22T21:39:34.101Z
556109,Toreth Wongeoon,Te Wero Gymnastics,STEP 5,UNDER,Top of the South Gymnastics Competition,Day 2: All-around,,14.15,5,9.15,0,0,14.3,5,9.3,0,0,13.1,4.5,8.6,0.0,0,13.85,5.0,8.85,0,0,55.400,1,2023-04-22T21:47:48.769Z
291338,Melina Panapa,Te Wero Gymnastics,STEP 5,UNDER,Top of the South Gymnastics Competition,Day 2: All-around,,13.45,5,8.45,0,0,13.05,5,8.05,0,0,13.2,5.0,8.2,0.0,0,13.15,5.0,8.15,0,0,52.850,6,2023-04-22T21:42:56.454Z
267522,Iya Gear,Te Wero Gymnastics,STEP 5,UNDER,Top of the South Gymnastics Competition,Day 2: All-around,,13.3,5,8.3,0,0,13.25,5,8.25,0,0,13.2,5.0,8.2,0.0,0,13.25,5.0,8.25,0,0,53.000,5,2023-04-22T21:35:39.174Z
299620,Savanna Duffell,Te Wero Gymnastics,STEP 5,UNDER,Top of the South Gymnastics Competition,Day 2: All-around,,13.85,5,8.85,0,0,12.95,5,7.95,0,0,12.1,4.5,7.6,0.0,0,13.4,5.0,8.4,0,0,52.300,8,2023-04-22T21:45:38.574Z
522200,Evelyn McCormick,Te Wero Gymnastics,STEP 5,UNDER,Top of the South Gymnastics Competition,Day 2: All-around,,13.5,5,8.5,0,0,13.55,5,8.55,0,0,13.65,5.0,8.65,0.0,0,13.0,4.5,8.5,0,0,53.700,4,2023-04-22T21:33:25.408Z
