gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
245523,Maia Mclaughlan,Hutt Valley Gymnastics Club,STEP 8,UNDER,Top of the South Gymnastics Competition,Day 2: App finals,,12.5,3.4,9.1,0.0,1,12.1,3.4,8.7,0,4,12.4,4.1,8.3,0,1,10.533,3.9,6.933,0.3,9,47.533,0,2023-04-22T06:26:14.936Z
534459,Madison Philpot,Invercargill Gymnastics Club,STEP 8,UNDER,Top of the South Gymnastics Competition,Day 2: App finals,,12.133,3.4,8.733,0.0,3,12.3,3.3,9.0,0,3,11.8,4.8,7.0,0,2,12.633,4.3,8.333,0.0,2,48.866,0,2023-04-22T06:23:21.063Z
553111,Sarah Kennard,Eastern Suburbs Gymnastics Club,STEP 8,UNDER,Top of the South Gymnastics Competition,Day 2: App finals,,12.266,3.4,8.866,0.0,2,9.9,2.3,7.6,0,7,7.75,4.0,3.75,0,6,12.866,4.8,8.066,0.0,1,42.782,0,2023-04-22T06:27:54.107Z
553126,Olivia Sue,Eastern Suburbs Gymnastics Club,STEP 8,UNDER,Top of the South Gymnastics Competition,Day 2: App finals,,12.033,3.4,8.633,0.0,4,0.0,0.0,0.0,0,0,10.05,4.2,5.85,0,4,11.166,3.9,7.266,0.0,8,33.249,0,2023-04-22T06:23:49.755Z
542050,Rebecca Tull,Invercargill Gymnastics Club,STEP 8,UNDER,Top of the South Gymnastics Competition,Day 2: App finals,,11.966,3.2,8.766,0.0,5,9.0,1.6,7.4,0,9,0.0,0.0,0.0,0,0,11.2,3.6,7.6,0.0,7,32.166,0,2023-04-22T05:57:40.595Z
185851,Emily Barback,Impact Gymsport Academy,STEP 8,UNDER,Top of the South Gymnastics Competition,Day 2: App finals,,11.4,3.2,8.2,0.0,6,10.55,2.3,8.25,0,6,10.0,3.6,6.4,0,5,12.033,3.6,8.433,0.0,4,43.983,0,2023-04-22T06:23:46.087Z
531966,Willow Reid,Eastern Suburbs Gymnastics Club,STEP 8,UNDER,Top of the South Gymnastics Competition,Day 2: App finals,,11.066,3.2,7.866,0.0,8,12.95,4.2,8.75,0,1,10.4,4.7,5.7,0,3,12.333,4.5,7.833,0.0,3,46.749,0,2023-04-22T06:32:14.824Z
278730,Te Ana Waiariki,Hutt Valley Gymnastics Club,STEP 8,UNDER,Top of the South Gymnastics Competition,Day 2: App finals,,11.1,2.4,8.7,0.0,7,12.65,3.1,9.55,0,2,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,23.750,0,2023-04-22T06:27:56.449Z
212830,Leah Austin,Hutt Valley Gymnastics Club,STEP 8,UNDER,Top of the South Gymnastics Competition,Day 2: App finals,,10.866,2.4,8.466,0.0,9,9.5,2.4,7.1,0,8,0.0,0.0,0.0,0,0,11.233,3.2,8.033,0.0,6,31.599,0,2023-04-22T06:24:49.657Z
534457,Lucy van Zoelen,Invercargill Gymnastics Club,STEP 8,UNDER,Top of the South Gymnastics Competition,Day 2: App finals,,0.0,0.0,0.0,0.0,0,10.7,2.6,8.1,0,5,0.0,0.0,0.0,0,0,11.366,3.9,7.466,0.0,5,22.066,0,2023-04-22T06:05:54.466Z
195043,Ashlee Reddecliffe,Gymnastics Nelson,STEP 8,OVER,Top of the South Gymnastics Competition,Day 2: App finals,,12.066,3.4,8.766,0.1,1,9.0,2.3,6.7,0,5,11.15,3.7,7.45,0,3,12.2,4.7,7.6,0.1,1,44.416,0,2023-04-22T06:36:33.713Z
220976,Anna Elliott,Hutt Valley Gymnastics Club,STEP 8,OVER,Top of the South Gymnastics Competition,Day 2: App finals,,11.333,3.2,8.433,0.3,3,0.0,0.0,0.0,0,0,10.45,3.6,6.85,0,5,12.066,3.6,8.466,0.0,2,33.849,0,2023-04-22T06:14:52.076Z
534480,Millie Scott,Invercargill Gymnastics Club,STEP 8,OVER,Top of the South Gymnastics Competition,Day 2: App finals,,11.866,3.4,8.566,0.1,2,10.95,3.4,7.55,0,3,9.4,4.0,5.4,0,7,0.0,0.0,0.0,0.0,0,32.216,0,2023-04-22T06:26:55.481Z
553135,Kahu Barsdell,Eastern Suburbs Gymnastics Club,STEP 8,OVER,Top of the South Gymnastics Competition,Day 2: App finals,,0.0,0.0,0.0,0.0,0,13.2,3.7,9.5,0,1,0.0,0.0,0.0,0,0,11.966,4.4,7.666,0.1,3,25.166,0,2023-04-22T06:18:36.484Z
180094,Sophia Paviour-Smith,Capital Gymnastics Club,STEP 8,OVER,Top of the South Gymnastics Competition,Day 2: App finals,,11.333,2.6,8.833,0.1,3,10.9,2.4,8.5,0,4,10.75,3.5,7.25,0,4,10.7,4.1,7.2,0.6,6,43.683,0,2023-04-22T06:24:14.253Z
208819,Charlie Simmons,Hutt Valley Gymnastics Club,STEP 8,OVER,Top of the South Gymnastics Competition,Day 2: App finals,,10.766,2.4,8.366,0.0,5,0.0,0.0,0.0,0,0,10.2,2.9,7.3,0,6,11.466,3.4,8.066,0.0,5,32.432,0,2023-04-22T06:14:58.628Z
269872,Lulu Miller,Impact Gymsport Academy,STEP 8,OVER,Top of the South Gymnastics Competition,Day 2: App finals,,0.0,0.0,0.0,0.0,0,12.7,3.7,9.0,0,2,12.35,3.4,8.95,0,1,0.0,0.0,0.0,0.0,0,25.050,0,2023-04-22T05:36:47.951Z
534476,Alyssa Gauldie,Invercargill Gymnastics Club,STEP 8,OVER,Top of the South Gymnastics Competition,Day 2: App finals,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,11.5,3.5,8.0,0,2,11.733,4.0,7.733,0.0,4,23.233,0,2023-04-22T06:20:14.118Z
