gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
570097,Mila Sobell,Capital Gymnastics,Step 5,UNDER,WAG Wellington Champs,"AA, Teams, App",,12.45,5,7.45,0,16,12.666,5.0,7.666,0,7,6.5,3.2,5.3,2,18,12.25,4.5,7.75,0,13,43.866,18,2023-04-01T00:24:27.862Z
240729,Caitlin Pearman,Capital Gymnastics,Step 5,UNDER,WAG Wellington Champs,"AA, Teams, App",,11.75,5,6.75,0,18,11.8,5.0,6.8,0,15,13.3,5.0,8.3,0,3,12.95,5.0,7.95,0,9,49.800,14,2023-04-01T00:26:35.965Z
278485,Tallulah Kelly,Capital Gymnastics,Step 5,UNDER,WAG Wellington Champs,"AA, Teams, App",,13.45,5,8.45,0,8,12.7,5.0,7.7,0,6,12.6,5.0,7.6,0,9,13.35,5.0,8.35,0,5,52.100,5,2023-04-01T00:28:30.908Z
535308,Aria Thorpe,Gisborne Gymnastics,Step 5,UNDER,WAG Wellington Champs,"AA, Teams, App",,13.05,5,8.05,0,12,12.466,5.0,7.466,0,11,11.95,5.0,6.95,0,13,12.6,5.0,7.6,0,11,50.066,10,2023-04-01T00:29:40.520Z
301962,Elsiana Shearer Orr,Hutt Valley Gymnastics,Step 5,UNDER,WAG Wellington Champs,"AA, Teams, App",,13.35,5,8.35,0,11,12.466,5.0,7.466,0,11,11.25,4.5,7.75,1,16,13.0,5.0,8.0,0,8,50.066,10,2023-04-01T00:30:49.463Z
278716,Madeline Joe,Hutt Valley Gymnastics,Step 5,UNDER,WAG Wellington Champs,"AA, Teams, App",,13.85,5,8.85,0,4,13.333,5.0,8.333,0,2,13.1,4.5,8.6,0,4,13.6,5.0,8.6,0,2,53.883,2,2023-04-01T00:31:43.162Z
219201,Eleanor Henry,Hutt Valley Gymnastics,Step 5,UNDER,WAG Wellington Champs,"AA, Teams, App",,13.6,5,8.6,0,6,12.066,4.5,7.566,0,14,12.6,4.5,8.1,0,9,13.3,5.0,8.3,0,6,51.566,6,2023-04-01T00:35:39.262Z
229045,Ema Gatland,Hutt Valley Gymnastics,Step 5,UNDER,WAG Wellington Champs,"AA, Teams, App",,14.1,5,9.1,0,1,13.866,5.0,8.866,0,1,14.05,5.0,9.05,0,1,13.45,5.0,8.45,0,4,55.466,1,2023-04-01T00:22:26.852Z
198065,Mia Grant,Kapiti Gymnastics,Step 5,UNDER,WAG Wellington Champs,"AA, Teams, App",,13.45,5,8.45,0,8,12.366,5.0,7.366,0,13,11.8,5.0,6.8,0,14,12.2,5.0,7.2,0,14,49.816,13,2023-04-01T00:25:47.766Z
273425,Ashleigh Wier,Manawatu Gymsports,Step 5,UNDER,WAG Wellington Champs,"AA, Teams, App",,12.8,5,7.8,0,15,12.833,5.0,7.833,0,4,12.6,4.5,9.1,1,9,12.55,4.5,8.05,0,12,50.783,9,2023-04-01T00:37:41.621Z
550496,Georgia Harvey,Manawatu Gymsports,Step 5,UNDER,WAG Wellington Champs,"AA, Teams, App",,12.95,5,7.95,0,14,12.666,5.0,7.666,0,7,12.65,5.0,7.65,0,8,11.7,4.5,8.2,1,15,49.966,12,2023-04-01T00:25:30.698Z
302439,Mia Kamphuis,Omni Gymnastic Centre,Step 5,UNDER,WAG Wellington Champs,"AA, Teams, App",,13.5,5,8.5,0,7,11.333,5.0,6.333,0,17,12.9,5.0,7.9,0,6,11.45,4.5,6.95,0,16,49.183,16,2023-03-31T23:45:40.435Z
