gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
153418,Sophia Hastie,CSG,5,OVER,2022 Central Champs,AA,1,13.600,5.000,3,13.433,5.000,3,14.000,5.000,1,12.366,5.000,6,53.399,1,31 May 2022
266996,Kaia Mackenzie Erkens,Capital,5,OVER,2022 Central Champs,AA,1,12.800,5.000,11,13.533,5.000,1,13.600,5.000,2=,12.800,5.000,1,52.733,2,31 May 2022
218585,Sophie Long,Manawatu,5,OVER,2022 Central Champs,AA,1,13.300,5.000,7,13.466,5.000,2,12.650,5.000,4,12.733,5.000,2,52.149,3,31 May 2022
285375,Elise Morton,Nelson,5,OVER,2022 Central Champs,AA,1,13.500,5.000,5,12.633,5.000,9,12.500,5.000,6,12.500,5.000,4,51.133,4,31 May 2022
193219,Lucy Bickers,Omni,5,OVER,2022 Central Champs,AA,1,12.250,5.000,12,12.666,5.000,8,13.600,5.000,2=,12.533,5.000,3,51.049,5,31 May 2022
268212,Chloe Moreton,Twisters,5,OVER,2022 Central Champs,AA,1,12.850,5.000,9=,13.200,5.000,5,12.450,5.000,7,12.466,5.000,5,50.966,6,31 May 2022
226366,Sia Vaka,Hutt Valley,5,OVER,2022 Central Champs,AA,1,14.100,5.000,1,12.700,5.000,7,12.150,4.500,9,12.000,4.500,7=,50.950,7,31 May 2022
206213,Mariska Sue,Hutt Valley,5,OVER,2022 Central Champs,AA,1,12.850,5.000,9=,12.566,5.000,10,12.300,4.500,8,12.000,5.000,7=,49.716,8,31 May 2022
227748,Zoe Tatham,Onslow,5,OVER,2022 Central Champs,AA,1,13.700,5.000,2,13.333,5.000,4,10.800,4.500,11,11.666,5.000,9,49.499,9,31 May 2022
158025,Kate Livengood,Harbour City,5,OVER,2022 Central Champs,AA,1,13.550,5.000,4,13.066,5.000,6,10.750,4.500,12,11.600,5.000,10,48.966,10,31 May 2022
249821,Ashleigh Keall,Onslow,5,OVER,2022 Central Champs,AA,1,13.050,5.000,8,12.400,5.000,11,11.200,4.200,10,11.433,5.000,11,48.083,11,31 May 2022
295759,Jessie Dravitzki,Twisters,5,OVER,2022 Central Champs,AA,1,13.450,5.000,6,DNS,DNS,DNS,12.600,5.000,5,10.266,4.500,12,DNF,-,31 May 2022
