gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
105411,Kahu Barsdell,Eastern Suburbs,7,OVER,2022 Central Champs,AA,1,10.600,3.400,16,12.700,4.100,1,13.033,4.600,1,12.766,4.200,1,49.099,1,31 May 2022
195043,Ashlee Reddecliffe,Nelson,7,OVER,2022 Central Champs,AA,1,12.200,3.400,1,11.933,3.900,2,10.400,3.000,11,11.766,4.200,12,46.299,2,31 May 2022
641778,Lauren Carr,Hutt Valley,7,OVER,2022 Central Champs,AA,1,11.866,3.200,2,10.533,3.800,9,10.733,3.600,9,12.533,4.100,3,45.665,3,31 May 2022
220976,Anna Elliott,Onslow,7,OVER,2022 Central Champs,AA,1,11.400,2.400,3,9.666,2.000,16,11.800,3.700,2,12.433,3.900,5,45.299,4,31 May 2022
182720,Ariria Blackburn,Manawatu,7,OVER,2022 Central Champs,AA,1,11.133,2.400,6,10.700,3.100,4=,11.450,3.600,6,11.800,4.000,11,45.083,5,31 May 2022
267437,Allegra Ruruku-Hunt,Kapiti,7,OVER,2022 Central Champs,AA,1,10.633,2.000,15,10.566,2.700,7=,11.333,4.100,7,12.500,4.200,4,45.032,6,31 May 2022
616085,Zahara Slatter,Manawatu,7,OVER,2022 Central Champs,AA,1,11.366,2.400,4,11.133,3.900,3,9.033,3.500,23,12.400,4.000,6,43.932,7,31 May 2022
148720,Riana Moffatt,Kapiti,7,OVER,2022 Central Champs,AA,1,10.666,2.400,13=,10.266,2.400,12,11.666,3.700,3,11.266,3.300,17,43.864,8,31 May 2022
226602,Lucy Moore,CSG,7,OVER,2022 Central Champs,AA,1,10.400,1.600,18=,10.400,3.100,10,11.533,3.900,4=,11.233,3.200,18,43.566,9,31 May 2022
117504,Lara Cooper,Hutt Valley,7,OVER,2022 Central Champs,AA,1,10.266,1.600,22,10.166,2.300,13,11.000,3.600,8,12.133,3.600,8,43.565,10=,31 May 2022
141980,Elise Kibblewhite,Harbour City,7,OVER,2022 Central Champs,AA,1,10.666,1.600,13=,10.700,2.700,4=,10.166,2.200,13=,12.033,3.800,9,43.565,10=,31 May 2022
267024,Susannah Charlier,Hutt Valley,7,OVER,2022 Central Champs,AA,1,11.033,2.400,8,9.600,2.100,17,10.333,3.300,12,11.866,4.000,10,42.832,12,31 May 2022
220967,Natasha Stewart,Onslow,7,OVER,2022 Central Champs,AA,1,9.000,2.000,27,10.633,2.400,6,11.533,3.700,4=,11.600,3.500,13,42.766,13,31 May 2022
180094,Sophia Paviour-Smith,Capital,7,OVER,2022 Central Champs,AA,1,11.166,2.600,5,10.566,2.400,7=,8.333,3.300,25,12.566,4.200,2,42.631,14,31 May 2022
248334,Jaylyn Tasker,Nelson,7,OVER,2022 Central Champs,AA,1,10.233,1.600,23=,9.400,2.500,19=,10.633,3.300,10,12.300,4.100,7,42.566,15,31 May 2022
198325,Charlee Wood,Manawatu,7,OVER,2022 Central Champs,AA,1,11.100,2.400,7,10.066,2.400,14,10.166,3.000,13=,10.733,2.800,20=,42.065,16,31 May 2022
125086,Emma Hoffman,Nelson,7,OVER,2022 Central Champs,AA,1,10.366,1.600,21,10.333,2.400,11,9.733,3.700,18,11.533,3.800,14,41.965,17,31 May 2022
107862,Kathryn Sofeni,Rimutaka,7,OVER,2022 Central Champs,AA,1,10.233,1.600,23=,9.400,2.200,19=,10.133,2.400,15,11.333,3.400,16,41.099,18,31 May 2022
252901,Penelope Fowler,Omni,7,OVER,2022 Central Champs,AA,1,10.800,2.400,10=,9.500,2.400,18,9.900,3.000,16,10.733,3.800,20=,40.933,19,31 May 2022
260910,Nikita Steffert,Omni,7,OVER,2022 Central Champs,AA,1,10.400,1.600,18=,9.966,2.500,15,9.866,3.200,17,10.700,3.400,22,40.932,20,31 May 2022
158129,Abbey Malin,Rimutaka,7,OVER,2022 Central Champs,AA,1,10.400,2.400,18=,9.200,2.100,24=,9.633,2.400,19,10.466,3.300,23,39.699,21,31 May 2022
149626,Sienna Manisty,Omni,7,OVER,2022 Central Champs,AA,1,10.000,2.400,25=,9.133,1.700,26,9.066,2.300,22,10.766,3.200,19,38.965,22,31 May 2022
233157,Anya McDonald,CSG,7,OVER,2022 Central Champs,AA,1,10.800,2.400,10=,9.400,2.100,19=,9.233,3.000,20,DNS,DNS,DNS,DNF,-,31 May 2022
168329,Michaela McPhee,Harbour City,7,OVER,2022 Central Champs,AA,1,10.000,1.600,25=,9.400,2.000,19=,9.166,2.500,21,DNS,DNS,DNS,DNF,-,31 May 2022
136201,Olivia Ferguson,CSG,7,OVER,2022 Central Champs,AA,1,11.000,1.600,9,DNS,DNS,DNS,8.633,2.800,24,9.600,2.500,24,DNF,-,31 May 2022
193326,Rebecca Golding,Manawatu,7,OVER,2022 Central Champs,AA,1,10.733,2.400,12,9.200,2.100,24=,DNS,DNS,DNS,DNS,DNS,DNS,DNF,-,31 May 2022
226317,Taylor Whiting,Hutt Valley,7,OVER,2022 Central Champs,AA,1,10.433,2.400,17,9.300,2.100,23,DNS,DNS,DNS,11.500,3.200,15,DNF,-,31 May 2022
