gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
5013,Tait Sorensen,Eastern Suburbs,7,UNDER,2022 Central Champs,AA,,11.400,3.200,4,12.566,3.900,3,12.300,4.600,3,12.266,4.100,8,48.532,1,31 May 2022
105381,Sarah Kennard,Eastern Suburbs,7,UNDER,2022 Central Champs,AA,,11.933,3.400,1=,11.266,3.100,7,12.133,4.500,5,12.766,4.200,3=,48.098,2,31 May 2022
91326,Willow Reid,Eastern Suburbs,7,UNDER,2022 Central Champs,AA,,10.800,1.600,8=,12.933,4.200,1,10.666,3.900,13,12.800,4.100,2,47.199,3,31 May 2022
105397,Olivia Sue,Eastern Suburbs,7,UNDER,2022 Central Champs,AA,,10.566,3.200,14,12.000,3.600,4,12.266,4.300,4,12.366,4.000,7,47.198,4,31 May 2022
105334,Olivia Hermez,Eastern Suburbs,7,UNDER,2022 Central Champs,AA,,11.933,3.400,1=,11.233,3.100,8=,10.766,3.800,12,12.700,4.100,5,46.632,5,31 May 2022
218272,Ella Thomas,CSG,7,UNDER,2022 Central Champs,AA,,11.666,3.200,3,10.866,3.100,11=,11.100,4.200,11,12.766,4.400,3=,46.398,6,31 May 2022
212830,Leah Austin,Hutt Valley,7,UNDER,2022 Central Champs,AA,,10.966,2.400,6,10.466,3.500,14,12.433,3.900,2,12.066,3.700,10,45.931,7,31 May 2022
105387,Emily King,Eastern Suburbs,7,UNDER,2022 Central Champs,AA,,10.600,1.600,13,10.800,3.000,13,12.000,3.700,6,12.500,4.000,6,45.900,8,31 May 2022
240902,Elizabeth Longhurst,Hutt Valley,7,UNDER,2022 Central Champs,AA,,10.900,1.600,7,11.233,3.100,8=,11.333,3.200,10,11.933,4.200,12,45.399,9,31 May 2022
218274,Kyla Cowles,CSG,7,UNDER,2022 Central Champs,AA,,10.233,1.600,16,11.566,3.500,6,11.400,4.600,9,11.966,4.100,11,45.165,10,31 May 2022
91281,Colbie De Jager,Eastern Suburbs,7,UNDER,2022 Central Champs,AA,,10.733,1.600,11=,9.500,3.100,16,11.766,4.100,7,12.966,4.100,1,44.965,11,31 May 2022
278730,Te Ana Waiariki,Hutt Valley,7,UNDER,2022 Central Champs,AA,,11.166,2.400,5,11.633,3.500,5,9.900,3.300,16,11.866,4.100,13=,44.565,12,31 May 2022
262724,Briallen Aberhart,Hutt Valley,7,UNDER,2022 Central Champs,AA,,10.766,2.400,10,10.266,2.100,15,11.533,3.800,8,11.866,3.400,13=,44.431,13,31 May 2022
279431,Paige Rhodes,CSG,7,UNDER,2022 Central Champs,AA,,10.333,1.600,15,11.000,3.500,10,10.566,3.800,14,12.166,4.000,9,44.065,14,31 May 2022
245523,Maia McLaughlan,Hutt Valley,7,UNDER,2022 Central Champs,AA,2.0,10.733,1.600,11=,12.666,3.900,2,12.600,4.300,1,7.500,2.400,17,43.499,15,31 May 2022
188490,Makenzie Reddaway,Hutt Valley,7,UNDER,2022 Central Champs,AA,2.0,10.800,2.400,8=,10.866,3.500,11=,10.166,3.200,15,10.100,3.300,15,41.932,16,31 May 2022
273698,Alice Hector,Affinity,7,UNDER,2022 Central Champs,AA,2.0,10.100,1.600,17,9.433,2.100,17,8.100,1.300,17,10.066,2.700,16,37.699,17,31 May 2022
