gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
242594,Emma WONG,Te Wero Gymnastics,5,UNDER,2022 Tri Star Championships and NZSS,AA,1,13.200,5.000,6,13.900,5.000,1,14.200,5.000,2,14.400,5.000,1,55.700,1,24 May 2022
281455,Sienna Chapman,ARGOS,5,UNDER,2022 Tri Star Championships and NZSS,AA,1,13.900,5.000,1,13.733,5.000,2,13.950,5.000,5,13.450,5.000,5,55.033,2,24 May 2022
245030,Harper MUIR,Te Wero Gymnastics,5,UNDER,2022 Tri Star Championships and NZSS,AA,1,13.800,5.000,2,13.333,5.000,3,13.100,4.500,7,13.750,5.000,2,53.983,3,24 May 2022
538521,Lara Addis,North Harbour Gymnastics,5,UNDER,2022 Tri Star Championships and NZSS,AA,1,12.800,5.000,11,13.266,5.000,4,14.000,5.000,3=,13.550,5.000,4,53.616,4,24 May 2022
541125,Sophia Edmonds,North Harbour Gymnastics,5,UNDER,2022 Tri Star Championships and NZSS,AA,1,13.166,5.000,7=,12.533,5.000,8,14.450,5.000,1,13.250,5.000,7,53.399,5,24 May 2022
296802,Mackenzie Hughes,ARGOS,5,UNDER,2022 Tri Star Championships and NZSS,AA,1,12.900,5.000,10,12.766,5.000,7,14.000,5.000,3=,13.700,5.000,3,53.366,6,24 May 2022
542044,Piper Kemp,North Harbour Gymnastics,5,UNDER,2022 Tri Star Championships and NZSS,AA,1,13.466,5.000,4,12.933,5.000,6,13.050,5.000,8,13.100,5.000,9=,52.549,7,24 May 2022
283621,Lola Verran,North Harbour Gymnastics,5,UNDER,2022 Tri Star Championships and NZSS,AA,1,13.166,5.000,7=,12.366,5.000,9,13.350,4.700,6,13.150,5.000,8,52.032,8,24 May 2022
546242,Gracie Crowe,Impact,5,UNDER,2022 Tri Star Championships and NZSS,AA,1,13.066,5.000,9,12.966,5.000,5,11.700,4.500,9,13.050,5.000,11,50.782,9,24 May 2022
581161,Lina Lang,North Harbour Gymnastics,5,UNDER,2022 Tri Star Championships and NZSS,AA,1,13.266,5.000,5,12.200,5.000,10,11.650,4.500,10,13.400,5.000,6,50.516,10,24 May 2022
543122,Riley Forrest,ARGOS,5,UNDER,2022 Tri Star Championships and NZSS,AA,1,13.666,5.000,3,11.966,5.000,11,4.150,2.000,11,13.100,5.000,9=,42.882,11,24 May 2022
581941,Morgane Shearer,North Harbour Gymnastics,5,UNDER,2022 Tri Star Championships and NZSS,AA,1,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,-,24 May 2022
