gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
531969,Sienna Pirie,CMG,6,UNDER,2022 Tri Star Championships and NZSS,APP,1,14.400,5.000,1,13.450,5.000,4,12.850,5.000,14=,14.100,5.000,4,54.800,,24 May 2022
268779,Aria HEWITSON,TEW,6,UNDER,2022 Tri Star Championships and NZSS,APP,1,14.350,5.000,2,13.300,5.000,5=,13.100,5.000,13,13.400,5.000,14,54.150,,24 May 2022
187321,Cleo Bell,ARG,6,UNDER,2022 Tri Star Championships and NZSS,APP,1,14.250,5.000,3,13.600,5.000,3,13.450,4.700,7=,13.100,5.000,17,54.400,,24 May 2022
553100,Sophia Orlova,ESG,6,UNDER,2022 Tri Star Championships and NZSS,APP,1,14.150,5.000,4,13.000,5.000,9,13.350,5.000,10=,13.700,5.000,10,54.200,,24 May 2022
541984,Hayley Han,NHG,6,UNDER,2022 Tri Star Championships and NZSS,APP,1,14.100,5.000,5=,12.750,5.000,11,13.900,5.000,4,13.900,5.000,5=,54.650,,24 May 2022
296239,Vivi Hale,WTA,6,UNDER,2022 Tri Star Championships and NZSS,APP,1,14.100,5.000,5=,13.300,5.000,5=,13.750,5.000,5=,14.550,5.000,1,55.700,,24 May 2022
259992,Jisu Na,NHG,6,UNDER,2022 Tri Star Championships and NZSS,APP,1,14.000,5.000,7,12.400,5.000,16,14.150,5.000,2,14.350,5.000,2,54.900,,24 May 2022
553114,Julia Wolski,ESG,6,UNDER,2022 Tri Star Championships and NZSS,APP,1,13.900,5.000,8,12.850,5.000,10,12.350,5.000,17,12.200,4.500,18,51.300,,24 May 2022
536842,Savannah Campen,WAI,6,UNDER,2022 Tri Star Championships and NZSS,APP,1,13.850,5.000,9,12.050,5.000,18,13.750,5.000,5=,13.800,5.000,7=,53.450,,24 May 2022
304598,Ivy O'MEAGHER,TEW,6,UNDER,2022 Tri Star Championships and NZSS,APP,1,13.800,5.000,10=,13.850,5.000,1,13.300,5.000,12,13.550,5.000,12,54.500,,24 May 2022
228516,Mia Vinall,TRI,6,UNDER,2022 Tri Star Championships and NZSS,APP,1,13.800,5.000,10=,12.450,5.000,15,13.450,5.000,7=,13.900,5.000,5=,53.600,,24 May 2022
541981,Gia Castro,NHG,6,UNDER,2022 Tri Star Championships and NZSS,APP,1,13.750,5.000,12,13.100,5.000,8,14.100,5.000,3,13.300,5.000,15=,54.250,,24 May 2022
195486,Chloe Petrie,TRI,6,UNDER,2022 Tri Star Championships and NZSS,APP,1,13.650,5.000,13,13.800,5.000,2,12.850,5.000,14=,14.250,5.000,3,54.550,,24 May 2022
541926,Agnes Karlsson,NHG,6,UNDER,2022 Tri Star Championships and NZSS,APP,1,13.600,5.000,14=,13.300,5.000,5=,13.350,5.000,10=,13.800,5.000,7=,54.050,,24 May 2022
542037,Mone Sato,NHG,6,UNDER,2022 Tri Star Championships and NZSS,APP,1,13.600,5.000,14=,12.700,5.000,12,12.600,5.000,16,13.800,5.000,7=,52.700,,24 May 2022
541963,Charlotte Handley,NHG,6,UNDER,2022 Tri Star Championships and NZSS,APP,1,13.200,5.000,16,12.500,5.000,14,14.300,5.000,1,13.300,5.000,15=,53.300,,24 May 2022
542014,Lexie Chen,NHG,6,UNDER,2022 Tri Star Championships and NZSS,APP,1,13.100,5.000,17,12.300,5.000,17,13.450,5.000,7=,13.600,5.000,11,52.450,,24 May 2022
584522,Annabelle Durbin,NHG,6,UNDER,2022 Tri Star Championships and NZSS,APP,1,12.800,5.000,18,12.650,5.000,13,10.850,5.000,18,13.500,5.000,13,49.800,,24 May 2022
