gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
91326,Willow Reid,Eastern Suburbs Gymnastics,7,UNDER,2022 Tri Star Championships and NZSS,AA,1,11.433,3.200,4=,12.366,4.300,1,12.150,4.100,4,12.966,4.300,1,48.915,1,24 May 2022
105381,Sarah Kennard,Eastern Suburbs Gymnastics,7,UNDER,2022 Tri Star Championships and NZSS,AA,1,11.700,3.400,3,10.933,3.200,8,12.850,4.600,2,12.600,4.200,3=,48.083,2,24 May 2022
5013,Tait Sorensen,Eastern Suburbs Gymnastics,7,UNDER,2022 Tri Star Championships and NZSS,AA,1,10.400,3.200,18,11.933,3.500,3,11.950,4.600,7,12.500,4.100,6,46.783,3,24 May 2022
245523,Maia McLaughlan,Hutt Valley Gymnastics,7,UNDER,2022 Tri Star Championships and NZSS,AA,1,10.800,1.600,11,12.066,3.500,2,10.750,4.200,13,12.566,4.400,5,46.182,4,24 May 2022
105387,Emily King,Eastern Suburbs Gymnastics,7,UNDER,2022 Tri Star Championships and NZSS,AA,1,10.500,1.600,17,11.200,3.100,6,11.550,3.700,9=,12.666,4.000,2,45.916,5,24 May 2022
91281,Colbie De Jager,Eastern Suburbs Gymnastics,7,UNDER,2022 Tri Star Championships and NZSS,AA,1,10.733,1.600,13,11.800,3.500,4,10.350,4.600,16,12.466,4.100,7,45.349,6,24 May 2022
539349,Alayna Wright,North Harbour Gymnastics,7,UNDER,2022 Tri Star Championships and NZSS,AA,1,10.833,1.600,10,10.133,3.100,14,12.950,4.300,1,11.400,3.600,14=,45.316,7,24 May 2022
105397,Olivia Sue,Eastern Suburbs Gymnastics,7,UNDER,2022 Tri Star Championships and NZSS,AA,1,11.433,3.200,4=,10.700,3.700,9,11.050,4.300,12,11.733,4.000,9,44.916,8,24 May 2022
230332,Ella Robinson,ARGOS,7,UNDER,2022 Tri Star Championships and NZSS,AA,1,11.800,2.600,2,11.300,3.000,5,10.700,3.300,14,11.066,3.300,16,44.866,9,24 May 2022
212830,Leah Austin,Hutt Valley Gymnastics,7,UNDER,2022 Tri Star Championships and NZSS,AA,1,10.966,2.400,9,10.266,3.100,12,12.100,3.900,5,11.500,3.600,12,44.832,10,24 May 2022
262724,Briallen Aberhart,Hutt Valley Gymnastics,7,UNDER,2022 Tri Star Championships and NZSS,AA,1,10.766,2.400,12,9.900,2.100,15,12.050,3.800,6,11.466,3.400,13,44.182,11,24 May 2022
153118,Sophie Burgess,Whangarei Academy,7,UNDER,2022 Tri Star Championships and NZSS,AA,1,10.566,2.000,15,11.100,3.500,7,10.650,3.300,15,11.700,4.300,10,44.016,12,24 May 2022
240902,Elizabeth Longhurst,Hutt Valley Gymnastics,7,UNDER,2022 Tri Star Championships and NZSS,AA,1,11.033,1.600,7=,9.500,3.100,16,11.550,3.200,9=,11.600,3.700,11,43.683,13,24 May 2022
278730,Te Ana Waiariki,Hutt Valley Gymnastics,7,UNDER,2022 Tri Star Championships and NZSS,AA,1,11.033,2.400,7=,10.666,3.100,10,11.400,3.800,11,10.000,3.400,18,43.099,14,24 May 2022
542068,Serena Ho,North Harbour Gymnastics,7,UNDER,2022 Tri Star Championships and NZSS,AA,1,10.600,1.600,14,8.833,2.200,17,11.600,4.400,8,11.400,3.600,14=,42.433,15,24 May 2022
159715,Amy Thomson,Waitakere Gymnastics,7,UNDER,2022 Tri Star Championships and NZSS,AA,1,11.366,3.200,6,10.300,3.500,11,9.950,3.300,17,10.266,3.800,17,41.882,16,24 May 2022
188490,Makenzie Reddaway,Hutt Valley Gymnastics,7,UNDER,2022 Tri Star Championships and NZSS,AA,1,10.533,2.400,16,10.166,3.100,13,9.600,2.800,18,7.633,2.400,19,37.932,17,24 May 2022
283902,Natsumi Sekizaki,Waitakere Gymnastics,7,UNDER,2022 Tri Star Championships and NZSS,AA,1,10.200,2.000,19,6.866,2.900,18,7.800,3.000,19,12.000,4.100,8,36.866,18,24 May 2022
105334,Olivia Hermez,Eastern Suburbs Gymnastics,7,UNDER,2022 Tri Star Championships and NZSS,AA,1,11.933,3.400,1,DNS,DNS,DNS,12.250,4.300,3,12.600,4.100,3=,DNF,-,24 May 2022
