gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
153118,Sophie Burgess,WAG,7,UNDER,2022 Tri Star Championships and NZSS,APP,1,11.966,2.600,1,7.633,2.400,19,10.633,2.800,14,10.800,3.600,14=,41.032,,24 May 2022
105334,Olivia Hermez,ESG,7,UNDER,2022 Tri Star Championships and NZSS,APP,1,11.766,3.400,2,10.733,3.100,10,11.733,4.300,6=,11.933,4.100,5,46.165,,24 May 2022
230332,Ella Robinson,ARG,7,UNDER,2022 Tri Star Championships and NZSS,APP,1,11.733,2.600,3,11.300,3.000,5,7.133,2.600,19,10.700,3.300,16,40.866,,24 May 2022
105397,Olivia Sue,ESG,7,UNDER,2022 Tri Star Championships and NZSS,APP,1,11.500,3.200,4,11.466,3.700,4,10.866,3.300,12=,11.100,4.000,10,44.932,,24 May 2022
159715,Amy Thomson,WAI,7,UNDER,2022 Tri Star Championships and NZSS,APP,1,11.433,3.200,5,8.666,2.500,18,9.866,2.800,18,9.766,3.500,19,39.731,,24 May 2022
262724,Briallen Aberhart,HUT,7,UNDER,2022 Tri Star Championships and NZSS,APP,1,11.233,2.400,6,10.166,2.100,15,11.733,3.700,6=,10.900,3.300,13,44.032,,24 May 2022
278730,Te Ana Waiariki,HUT,7,UNDER,2022 Tri Star Championships and NZSS,APP,1,11.100,2.400,7,10.566,3.100,11,10.566,2.900,16,11.800,4.200,8,44.032,,24 May 2022
188490,Makenzie Reddaway,HUT,7,UNDER,2022 Tri Star Championships and NZSS,APP,1,11.033,2.400,8,10.066,3.200,16=,10.866,3.100,12=,10.800,3.600,14=,42.765,,24 May 2022
212830,Leah Austin,HUT,7,UNDER,2022 Tri Star Championships and NZSS,APP,1,11.000,2.400,9,11.000,3.500,8,12.600,3.900,2,11.000,3.600,12,45.600,,24 May 2022
91326,Willow Reid,ESG,7,UNDER,2022 Tri Star Championships and NZSS,APP,1,10.933,3.200,10=,13.200,4.300,1,11.200,3.900,11,12.433,4.100,2,47.766,,24 May 2022
105381,Sarah Kennard,ESG,7,UNDER,2022 Tri Star Championships and NZSS,APP,1,10.933,3.400,10=,10.066,3.500,16=,13.033,4.500,1,11.300,4.200,9,45.332,,24 May 2022
91281,Colbie De Jager,ESG,7,UNDER,2022 Tri Star Championships and NZSS,APP,1,10.866,1.600,12,10.466,3.500,13,11.333,4.500,10,12.166,4.100,3=,44.831,,24 May 2022
105387,Emily King,ESG,7,UNDER,2022 Tri Star Championships and NZSS,APP,1,10.833,1.600,13=,11.233,3.100,7,12.366,3.700,4,11.866,4.000,6,46.298,,24 May 2022
245523,Maia McLaughlan,HUT,7,UNDER,2022 Tri Star Championships and NZSS,APP,1,10.833,1.600,13=,11.600,3.100,3,11.366,4.000,8=,12.566,4.300,1,46.365,,24 May 2022
240902,Elizabeth Longhurst,HUT,7,UNDER,2022 Tri Star Championships and NZSS,APP,1,10.766,1.600,15=,10.333,3.100,14,11.366,3.200,8=,12.166,4.100,3=,44.631,,24 May 2022
539349,Alayna Wright,NHG,7,UNDER,2022 Tri Star Championships and NZSS,APP,1,10.766,1.600,15=,10.966,3.000,9,10.600,4.300,15,11.833,3.600,7,44.165,,24 May 2022
5013,Tait Sorensen,ESG,7,UNDER,2022 Tri Star Championships and NZSS,APP,1,10.633,3.200,17,12.500,3.900,2,12.433,4.600,3,10.466,3.300,17,46.032,,24 May 2022
283902,Natsumi Sekizaki,WAI,7,UNDER,2022 Tri Star Championships and NZSS,APP,1,10.200,2.000,18,11.266,3.200,6,10.433,3.600,17,10.166,3.800,18,42.065,,24 May 2022
542068,Serena Ho,NHG,7,UNDER,2022 Tri Star Championships and NZSS,APP,1,9.666,1.600,19,10.500,2.200,12,12.300,4.400,5,11.033,3.600,11,43.499,,24 May 2022
