gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
688641,Caitlin Lewis,Invercargill Gymnastic Club,4,OVER,Affinity Gymnastics Academy Junior & Senior Challenge 2022,AA,1,14.350,5.000,1,14.200,5.000,2,14.150,5.000,1,13.200,5.000,10=,55.900,1,24 March 2022
542063,Sasha Anson,Affinity Gymnastics Academy,4,OVER,Affinity Gymnastics Academy Junior & Senior Challenge 2022,AA,1,13.150,5.000,5,12.600,5.000,5,12.750,4.500,4=,14.300,5.000,1,52.800,2,24 March 2022
291325,Nim Poole,Affinity Gymnastics Academy,4,OVER,Affinity Gymnastics Academy Junior & Senior Challenge 2022,AA,1,12.650,5.000,8=,11.900,5.000,8,13.150,5.000,2,13.850,5.000,4,51.550,3,24 March 2022
253453,Ailie Somerville,Dunedin Gymnastics Academy,4,OVER,Affinity Gymnastics Academy Junior & Senior Challenge 2022,AA,1,12.800,5.000,7,14.600,5.000,1,10.300,4.000,12,13.750,5.000,5,51.450,4,24 March 2022
273808,Eilidh Taylor,Te Wero Gymnastics,4,OVER,Affinity Gymnastics Academy Junior & Senior Challenge 2022,AA,1,11.900,5.000,14,12.250,5.000,6,12.750,5.000,4=,14.100,5.000,2,51.000,5,24 March 2022
556306,Meg Allinham,Affinity Gymnastics Academy,4,OVER,Affinity Gymnastics Academy Junior & Senior Challenge 2022,AA,1,14.000,5.000,2,10.950,5.000,10=,12.200,4.500,7,13.650,5.000,6,50.800,6,24 March 2022
603642,Grace    Luvenitoga,Affinity Gymnastics Academy,4,OVER,Affinity Gymnastics Academy Junior & Senior Challenge 2022,AA,1,13.650,5.000,3,10.250,5.000,13,12.400,4.500,6,13.900,5.000,3,50.200,7,24 March 2022
554592,Ava Nicholson-Smith,Gymnastics Nelson,4,OVER,Affinity Gymnastics Academy Junior & Senior Challenge 2022,AA,1,13.300,5.000,4,12.700,5.000,3=,10.500,4.200,11,13.550,5.000,7=,50.050,8,24 March 2022
268742,Sophia Thompson,Affinity Gymnastics Academy,4,OVER,Affinity Gymnastics Academy Junior & Senior Challenge 2022,AA,1,12.100,5.000,13,10.900,5.000,12,12.950,5.000,3,13.200,5.000,10=,49.150,9,24 March 2022
183919,Annabelle Simmons,Blenheim Gymnastics Club,4,OVER,Affinity Gymnastics Academy Junior & Senior Challenge 2022,AA,1,12.650,5.000,8=,11.500,5.000,9,11.350,4.500,9,13.550,5.000,7=,49.050,10,24 March 2022
270486,Zinara Coombs,Dunedin Gymnastics Academy,4,OVER,Affinity Gymnastics Academy Junior & Senior Challenge 2022,AA,1,12.200,5.000,10=,12.700,5.000,3=,11.650,4.500,8,11.200,4.500,14,47.750,11,24 March 2022
582726,Ruby Nicholas,South Canterbury GymSports,4,OVER,Affinity Gymnastics Academy Junior & Senior Challenge 2022,AA,1,13.000,5.000,6,10.950,5.000,10=,9.550,3.700,13,13.550,5.000,7=,47.050,12,24 March 2022
294600,Payton Hutchinson,Olympia Gymnastics Sports,4,OVER,Affinity Gymnastics Academy Junior & Senior Challenge 2022,AA,1,12.150,5.000,12,11.950,5.000,7,9.400,4.500,14,12.900,5.000,13,46.400,13,24 March 2022
595760,Micaela Stimolo-Varela,Dynamic Gymnastic Sports,4,OVER,Affinity Gymnastics Academy Junior & Senior Challenge 2022,AA,1,12.200,5.000,10=,8.750,4.500,14,11.200,4.500,10,12.950,5.000,12,45.100,14,24 March 2022
268686,Alice Larsen,Affinity Gymnastics Academy,4,OVER,Affinity Gymnastics Academy Junior & Senior Challenge 2022,AA,1,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,-,24 March 2022
