gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
273808,Eilidh Taylor,Te Wero Gymnastics,4,OVER,CSG Classic 2022,AA,1,13.650,5.000,3,12.050,5.000,5,13.650,5.000,1,13.850,5.000,1,53.200,1,5 May 2022
270376,Chloe Hogan,Dunedin Gymnastics Academy,4,OVER,CSG Classic 2022,AA,1,12.100,5.000,14,13.000,5.000,1,13.350,5.000,2,13.350,5.000,3,51.800,2,5 May 2022
258050,Clara-Jane Long,Christchurch School of Gymn…,4,OVER,CSG Classic 2022,AA,1,13.250,5.000,7=,11.750,5.000,6,13.000,5.000,5=,12.950,5.000,5,50.950,3,5 May 2022
603642,Grace Luvenitoga,Affinity Gymnastics Academy,4,OVER,CSG Classic 2022,AA,1,13.450,5.000,6,11.100,5.000,10,13.050,5.000,4,13.300,5.000,4,50.900,4,5 May 2022
582726,Ruby Nicholas,South Canterbury Gymsports,4,OVER,CSG Classic 2022,AA,1,14.100,5.000,1,11.350,5.000,8,12.650,4.500,8,12.700,5.000,6,50.800,5,5 May 2022
253453,Ailie Somerville,Dunedin Gymnastics Academy,4,OVER,CSG Classic 2022,AA,1,13.050,5.000,9=,12.600,5.000,3,12.550,5.000,9,12.050,5.000,10,50.250,6,5 May 2022
268686,Alice Larsen,Affinity Gymnastics Academy,4,OVER,CSG Classic 2022,AA,1,13.250,5.000,7=,12.750,5.000,2,13.200,5.000,3,10.500,4.500,14,49.700,7,5 May 2022
294600,Payton Hutchinson,Olympia Gymsports,4,OVER,CSG Classic 2022,AA,1,13.500,5.000,4=,11.000,5.000,11,12.300,4.500,11,12.400,5.000,8,49.200,8,5 May 2022
556306,Meg Allingham,Affinity Gymnastics Academy,4,OVER,CSG Classic 2022,AA,1,13.500,5.000,4=,11.650,5.000,7,12.200,4.500,12,11.750,5.000,11,49.100,9,5 May 2022
554592,Ava Nicholson-Smith,Gymnastics Nelson,4,OVER,CSG Classic 2022,AA,1,13.000,5.000,11,10.850,5.000,12,12.500,4.500,10,12.650,5.000,7,49.000,10,5 May 2022
595860,Michaela Stimolo-Varel…,Dynamic Gymnastics,4,OVER,CSG Classic 2022,AA,1,13.050,5.000,9=,9.100,4.000,14,13.000,5.000,5=,13.450,5.000,2,48.600,11,5 May 2022
248656,Ella Henderson,Christchurch School of Gymn…,4,OVER,CSG Classic 2022,AA,1,14.050,5.000,2,11.300,5.000,9,11.800,4.000,13,11.350,5.000,12,48.500,12,5 May 2022
268742,Sophia Thompson,Affinity Gymnastics Academy,4,OVER,CSG Classic 2022,AA,1,12.700,5.000,12,10.400,5.000,13,12.850,5.000,7,12.350,5.000,9,48.300,13,5 May 2022
270486,Zinara Coombs,Dunedin Gymnastics Academy,4,OVER,CSG Classic 2022,AA,1,12.400,5.000,13,12.100,5.000,4,11.350,4.000,14,10.900,5.000,13,46.750,14,5 May 2022
