gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
291338,Melina Panapa,Te Wero Gymnastics,4,UNDER,CSG Classic 2022,AA,1,14.150,5.000,2,13.900,5.000,3,14.200,5.000,1,13.850,5.000,1,56.100,1,5 May 2022
553109,Toreth Wongeoon,Te Wero Gymnastics,4,UNDER,CSG Classic 2022,AA,1,13.750,5.000,4,14.650,5.000,1,13.750,5.000,2,13.800,4.500,2,55.950,2,5 May 2022
522200,Evelyn McCormack,Te Wero Gymnastics,4,UNDER,CSG Classic 2022,AA,1,14.250,5.000,1,14.250,5.000,2,12.400,5.000,11=,13.350,4.500,3,54.250,3,5 May 2022
218287,Riley Gwynne,Christchurch School of Gymn…,4,UNDER,CSG Classic 2022,AA,1,13.900,5.000,3,12.850,5.000,7=,13.000,4.500,6,12.600,5.000,6=,52.350,4,5 May 2022
511478,Chloe Gordon,Gymnastics Nelson,4,UNDER,CSG Classic 2022,AA,1,13.300,5.000,9=,13.400,5.000,4=,13.450,4.700,4,12.100,4.500,11,52.250,5,5 May 2022
267522,Iya Gear,Te Wero Gymnastics,4,UNDER,CSG Classic 2022,AA,1,12.650,5.000,13,12.500,5.000,12,13.600,5.000,3,13.050,4.500,5,51.800,6,5 May 2022
302347,Keeley Beeden,Gymnastics Nelson,4,UNDER,CSG Classic 2022,AA,1,13.300,5.000,9=,11.900,5.000,15,12.700,5.000,9,13.100,5.000,4,51.000,7,5 May 2022
603894,Karien de Bock,Olympia Gymsports,4,UNDER,CSG Classic 2022,AA,1,13.650,5.000,5,12.550,5.000,10=,12.450,4.500,10,12.050,5.000,12,50.700,8,5 May 2022
567622,Khaya Mbiyozo,Christchurch School of Gymn…,4,UNDER,CSG Classic 2022,AA,1,12.400,5.000,18=,12.900,5.000,6,13.050,5.000,5,12.300,5.000,8=,50.650,9,5 May 2022
294222,Holly Watkins,Dunedin Gymnastics Academy,4,UNDER,CSG Classic 2022,AA,1,12.150,5.000,20,12.850,5.000,7=,12.400,5.000,11=,12.300,5.000,8=,49.700,10,5 May 2022
299620,Savanna Duffell,Christchurch School of Gymn…,4,UNDER,CSG Classic 2022,AA,1,12.000,5.000,22,13.400,5.000,4=,12.150,4.000,13,11.850,4.500,13,49.400,11,5 May 2022
570325,Christine Wu,Affinity Gymnastics Academy,4,UNDER,CSG Classic 2022,AA,1,13.600,5.000,6,11.550,5.000,19,12.850,5.000,7=,11.100,4.500,17,49.100,12,5 May 2022
584317,Jessie Hanee-Rose Clar…,Olympia Gymsports,4,UNDER,CSG Classic 2022,AA,1,12.400,5.000,18=,12.200,5.000,14,11.750,4.500,14,12.250,4.500,10,48.600,13,5 May 2022
555892,Sophie Whyte,Affinity Gymnastics Academy,4,UNDER,CSG Classic 2022,AA,1,13.250,5.000,11,12.600,5.000,9,11.550,5.000,17,11.150,4.500,16,48.550,14=,5 May 2022
246557,Lilla Mitchell,Christchurch School of Gymn…,4,UNDER,CSG Classic 2022,AA,1,13.450,5.000,7=,11.600,5.000,18,12.850,4.500,7=,10.650,4.500,22,48.550,14=,5 May 2022
586473,Emily Kim,Affinity Gymnastics Academy,4,UNDER,CSG Classic 2022,AA,1,13.450,5.000,7=,12.550,5.000,10=,10.950,5.000,21,11.250,4.500,14=,48.200,16,5 May 2022
531168,Maddie Cooney,Christchurch School of Gymn…,4,UNDER,CSG Classic 2022,AA,1,12.100,5.000,21,12.300,5.000,13,10.250,4.000,24,12.600,5.000,6=,47.250,17,5 May 2022
574024,Izabella Madden,ICE Gymsports North Canterb…,4,UNDER,CSG Classic 2022,AA,1,12.600,5.000,14=,11.450,5.000,20,11.300,4.200,18,10.800,4.000,21,46.150,18,5 May 2022
270337,Elsie Barnett,Dunedin Gymnastics Academy,4,UNDER,CSG Classic 2022,AA,1,12.600,5.000,14=,11.150,5.000,21,11.050,4.500,19,10.950,5.000,18,45.750,19,5 May 2022
245007,Andrea Blancia,Olympia Gymsports,4,UNDER,CSG Classic 2022,AA,1,11.000,5.000,25,11.700,5.000,17,11.700,5.000,15,10.850,4.500,19=,45.250,20,5 May 2022
304064,Addison Grimshaw,Christchurch School of Gymn…,4,UNDER,CSG Classic 2022,AA,1,12.850,5.000,12,9.600,5.000,25,11.000,4.500,20,11.250,4.000,14=,44.700,21,5 May 2022
267506,Alicia Cunningham,Christchurch School of Gymn…,4,UNDER,CSG Classic 2022,AA,1,11.800,5.000,23,11.850,5.000,16,10.100,3.500,25,10.600,4.500,23,44.350,22,5 May 2022
513657,Hailie Frude,Olympia Gymsports,4,UNDER,CSG Classic 2022,AA,1,12.600,5.000,14=,10.000,5.000,24,11.650,4.500,16,10.000,4.000,24,44.250,23,5 May 2022
627799,Dakota Laplanche,Olympia Gymsports,4,UNDER,CSG Classic 2022,AA,1,11.550,5.000,24,10.250,5.000,23,10.500,3.500,22,10.850,4.500,19=,43.150,24,5 May 2022
294306,Sophie Whalan,Dunedin Gymnastics Academy,4,UNDER,CSG Classic 2022,AA,1,12.450,5.000,17,10.800,5.000,22,10.300,4.500,23,9.500,3.500,25,43.050,25,5 May 2022
