gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
582297,Chelsea Brennan,Counties Manukau,6,OVER,CSG Classic 2022,AA,1,13.300,5.000,23,13.466,5.000,1,13.833,5.000,5,14.233,5.000,1,54.832,1,5 May 2022
212326,Chloe Williams,Christchurch School of Gymn…,6,OVER,CSG Classic 2022,AA,1,13.766,5.000,8,12.666,5.000,4,14.133,5.000,2,14.033,5.000,2,54.598,2,5 May 2022
224292,Mali Neno,Impact,6,OVER,CSG Classic 2022,AA,1,13.800,5.000,4=,12.900,5.000,2,13.600,5.000,6=,14.000,5.000,3,54.300,3,5 May 2022
531998,Kayla Roberts,Counties Manukau,6,OVER,CSG Classic 2022,AA,1,13.733,5.000,9,12.233,5.000,11=,14.333,5.000,1,12.600,5.000,22=,52.899,4,5 May 2022
208986,Millie Crowe,Impact,6,OVER,CSG Classic 2022,AA,1,13.500,5.000,18=,11.833,5.000,16,13.600,5.000,6=,13.700,5.000,4,52.633,5,5 May 2022
217282,Harriet MacGregor,Tri Star,6,OVER,CSG Classic 2022,AA,1,13.666,5.000,10=,12.766,5.000,3,12.633,5.000,20,13.400,5.000,8,52.465,6,5 May 2022
252650,Chloe Roberts,Waitara,6,OVER,CSG Classic 2022,AA,1,13.533,5.000,16=,12.533,5.000,7,13.333,5.000,10,12.833,5.000,17=,52.232,7,5 May 2022
239498,Piper Skinner,Impact,6,OVER,CSG Classic 2022,AA,1,13.466,5.000,20=,12.166,5.000,13,14.000,5.000,4,12.566,5.000,24,52.198,8,5 May 2022
553783,Emma Bungard,Affinity Gymnastics Academy,6,OVER,CSG Classic 2022,AA,1,13.666,5.000,10=,12.366,5.000,9,12.833,5.000,16,13.266,5.000,11,52.131,9,5 May 2022
247187,Amelia Archer,Twisters,6,OVER,CSG Classic 2022,AA,1,13.933,5.000,3,11.866,5.000,15,12.866,5.000,15,13.200,5.000,13,51.865,10,5 May 2022
521962,Pera Gordon,Christchurch School of Gymn…,6,OVER,CSG Classic 2022,AA,1,13.533,5.000,16=,12.500,5.000,8,12.366,5.000,22=,13.366,5.000,9,51.765,11,5 May 2022
159704,Zoe Rotherham,Tri Star,6,OVER,CSG Classic 2022,AA,1,13.800,5.000,4=,11.166,5.000,19,13.033,5.000,12,13.433,5.000,7,51.432,12,5 May 2022
202467,Lucy-Rose Callaghan,Te Wero Gymnastics,6,OVER,CSG Classic 2022,AA,1,13.633,5.000,12=,11.400,5.000,18,12.900,5.000,14,13.133,5.000,14,51.066,13,5 May 2022
153810,Rilee Brown,Kapiti Gymnastics,6,OVER,CSG Classic 2022,AA,1,13.800,5.000,4=,12.033,5.000,14,12.600,4.500,21,12.600,5.000,22=,51.033,14,5 May 2022
593455,Avaleigh Lauer,Franklin Gymsports,6,OVER,CSG Classic 2022,AA,1,12.533,5.000,32,12.600,5.000,6,13.000,4.500,13,12.833,5.000,17=,50.966,15,5 May 2022
171683,Akaylia Jackson,Impact,6,OVER,CSG Classic 2022,AA,1,13.566,5.000,14=,12.333,5.000,10,12.266,5.000,25,12.766,5.000,20=,50.931,16,5 May 2022
558397,Leah Mackle,Christchurch School of Gymn…,6,OVER,CSG Classic 2022,AA,1,13.800,5.000,4=,11.600,5.000,17,12.233,5.000,26,13.100,5.000,15,50.733,17,5 May 2022
303250,Bailey Tomokino,Tri Star,6,OVER,CSG Classic 2022,AA,1,14.000,5.000,1=,12.233,5.000,11=,11.633,5.000,27,12.833,5.000,17=,50.699,18,5 May 2022
179641,Charlie Standing,Impact,6,OVER,CSG Classic 2022,AA,1,14.000,5.000,1=,10.466,5.000,24,12.733,5.000,18=,13.233,5.000,12,50.432,19,5 May 2022
531971,Klara McKeefry,Counties Manukau,6,OVER,CSG Classic 2022,AA,1,12.833,5.000,30,9.133,4.500,28,14.033,5.000,3,13.300,5.000,10,49.299,20,5 May 2022
258146,Madeleine Stuart,Christchurch School of Gymn…,6,OVER,CSG Classic 2022,AA,1,13.233,5.000,25,11.100,5.000,20,12.766,5.000,17,12.000,5.000,27,49.099,21,5 May 2022
211907,Amelia Quinn,Christchurch School of Gymn…,6,OVER,CSG Classic 2022,AA,1,13.500,5.000,18=,10.766,5.000,23,11.233,4.500,28,13.566,5.000,5,49.065,22,5 May 2022
201703,Nellie Burns,Impact,6,OVER,CSG Classic 2022,AA,1,12.400,5.000,33,10.800,5.000,22,13.266,5.000,11,12.433,5.000,25,48.899,23,5 May 2022
542095,Wiktoria Bak,North Harbour Gymnastics Cl…,6,OVER,CSG Classic 2022,AA,1,13.200,5.000,26,10.433,4.500,25,13.500,5.000,9,11.333,5.000,30,48.466,24,5 May 2022
541992,Isabella Kwon,North Harbour Gymnastics Cl…,6,OVER,CSG Classic 2022,AA,1,13.366,5.000,22,12.633,5.000,5,10.300,5.000,32,11.866,5.000,28,48.165,25,5 May 2022
540648,Sienna Thorburn,North Harbour Gymnastics Cl…,6,OVER,CSG Classic 2022,AA,1,13.466,5.000,20=,8.033,4.500,30,13.566,5.000,8,12.933,5.000,16,47.998,26,5 May 2022
259656,Ana Nellas,Twisters,6,OVER,CSG Classic 2022,AA,1,13.633,5.000,12=,10.100,4.500,26,10.366,4.000,31,13.533,5.000,6,47.632,27,5 May 2022
189409,Kaija Wheeler,Franklin Gymsports,6,OVER,CSG Classic 2022,AA,1,13.166,5.000,27,8.600,4.500,29,12.333,4.500,24,12.766,5.000,20=,46.865,28,5 May 2022
540258,Lyvia Burrows,North Harbour Gymnastics Cl…,6,OVER,CSG Classic 2022,AA,1,13.066,5.000,28,7.866,4.500,31,12.733,5.000,18=,12.166,5.000,26,45.831,29,5 May 2022
541973,Emma Smith,North Harbour Gymnastics Cl…,6,OVER,CSG Classic 2022,AA,1,12.700,5.000,31,10.000,4.500,27,10.466,4.500,30,11.733,5.000,29,44.899,30,5 May 2022
542053,Ruby Burnett,North Harbour Gymnastics Cl…,6,OVER,CSG Classic 2022,AA,1,12.933,5.000,29,6.566,4.500,32,10.933,4.500,29,11.200,5.000,31,41.632,31,5 May 2022
253827,Sienna Yearbury,Christchurch School of Gymn…,6,OVER,CSG Classic 2022,AA,1,13.266,5.000,24,10.866,5.000,21,12.366,5.000,22=,DNS,DNS,DNS,DNF,-,5 May 2022
187493,Tegan Austin,Christchurch School of Gymn…,6,OVER,CSG Classic 2022,AA,1,13.566,5.000,14=,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNF,-,5 May 2022
233157,Anya McDonald,Christchurch School of Gymn…,6,OVER,CSG Classic 2022,AA,1,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,-,5 May 2022
