gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
105411,Kahu Barsdell,Eastern Suburbs Gymnastics,7,OVER,CSG Classic 2022,AA,1,11.633,3.400,4,11.766,3.900,1,13.000,4.600,1,12.366,4.200,3=,48.765,1,5 May 2022
248334,Jaylyn Tasker,Gymnastics Nelson,7,OVER,CSG Classic 2022,AA,1,11.866,3.200,2=,10.466,2.900,9,11.400,3.400,4,12.766,4.400,1,46.498,2,5 May 2022
641778,Lauren Carr,Hutt Valley Gymnastics,7,OVER,CSG Classic 2022,AA,1,11.566,3.200,5,11.133,3.400,5=,10.233,3.800,11,12.366,4.000,3=,45.298,3,5 May 2022
269872,LuLu Miller,Impact,7,OVER,CSG Classic 2022,AA,1,10.766,1.600,10,11.700,3.100,2,10.033,2.900,12,12.133,4.000,5,44.632,4,5 May 2022
267437,Allegra Ruruku-Hunt,Kapiti Gymnastics,7,OVER,CSG Classic 2022,AA,1,10.533,2.000,14=,10.266,2.400,10=,11.933,4.200,2,11.500,3.700,14,44.232,5,5 May 2022
542001,Jessica Handley,North Harbour Gymnastics Cl…,7,OVER,CSG Classic 2022,AA,1,10.600,1.600,11=,11.333,3.000,4,10.266,3.400,10,12.000,3.800,7=,44.199,6,5 May 2022
195043,Ashlee Reddecliffe,Gymnastics Nelson,7,OVER,CSG Classic 2022,AA,1,11.033,3.400,8,11.100,3.900,7,10.633,3.500,7,11.333,4.000,16,44.099,7,5 May 2022
269827,Paige Pratt,Impact,7,OVER,CSG Classic 2022,AA,1,10.500,1.600,16=,11.633,3.000,3,9.900,3.500,13=,11.200,3.500,18,43.233,8,5 May 2022
208819,Charlie Simmons,Hutt Valley Gymnastics,7,OVER,CSG Classic 2022,AA,1,9.933,1.600,24,9.833,2.100,14,11.766,3.600,3,11.600,4.100,12,43.132,9,5 May 2022
148720,Riana Moffat,Kapiti Gymnastics,7,OVER,CSG Classic 2022,AA,1,10.566,2.400,13,10.266,2.400,10=,11.266,3.400,5,10.833,2.900,22,42.931,10,5 May 2022
267024,Susannah Charlier,Hutt Valley Gymnastics,7,OVER,CSG Classic 2022,AA,1,10.800,2.400,9,9.566,2.100,19,10.433,2.700,8,12.066,4.100,6,42.865,11,5 May 2022
194347,Luci Strachan,Waitara,7,OVER,CSG Classic 2022,AA,1,11.133,2.400,7,11.033,3.500,8,9.033,3.100,19,11.266,4.000,17,42.465,12,5 May 2022
117504,Lara Cooper,Hutt Valley Gymnastics,7,OVER,CSG Classic 2022,AA,1,10.533,1.600,14=,10.000,2.000,13,9.900,3.300,13=,11.866,3.200,9=,42.299,13,5 May 2022
208048,Rachel Scott,Counties Manukau,7,OVER,CSG Classic 2022,AA,1,11.866,3.200,2=,9.766,2.100,15,8.633,3.700,22,12.000,4.300,7=,42.265,14,5 May 2022
531987,Gurjeeya Kaur,Counties Manukau,7,OVER,CSG Classic 2022,AA,1,11.500,3.200,6,9.000,2.100,22,9.266,3.500,17,12.400,3.900,2,42.166,15,5 May 2022
226602,Lucy Moore,Christchurch School of Gymn…,7,OVER,CSG Classic 2022,AA,1,10.333,1.600,20,9.666,3.200,18,11.133,3.400,6,10.800,3.500,23,41.932,16,5 May 2022
125086,Emma Hoffman,Gymnastics Nelson,7,OVER,CSG Classic 2022,AA,1,10.400,1.600,18,11.133,3.000,5=,7.900,3.200,24,11.866,3.700,9=,41.299,17,5 May 2022
185902,Cailin Ward,Waitara,7,OVER,CSG Classic 2022,AA,1,12.033,3.400,1,8.966,2.100,23,8.400,3.000,23,11.800,4.500,11,41.199,18,5 May 2022
230623,Allie Wilson,Dunedin Gymnastics Academy,7,OVER,CSG Classic 2022,AA,1,10.600,2.400,11=,9.200,1.500,21,9.400,2.400,16,11.433,3.600,15,40.633,19,5 May 2022
557557,Nika Tinsley,Tri Star,7,OVER,CSG Classic 2022,AA,1,10.366,1.600,19,9.700,2.100,16=,9.166,2.800,18,10.866,3.400,21,40.098,20,5 May 2022
542048,Rebecca Andrewes,North Harbour Gymnastics Cl…,7,OVER,CSG Classic 2022,AA,1,10.133,1.600,22,8.400,2.100,24,9.733,3.400,15,11.033,3.700,19,39.299,21,5 May 2022
207338,Shavaun Harvey,Counties Manukau,7,OVER,CSG Classic 2022,AA,1,10.500,1.600,16=,9.700,2.100,16=,8.700,3.600,21,10.300,3.100,24,39.200,22,5 May 2022
175488,Daniella Van Delden,Tri Star,7,OVER,CSG Classic 2022,AA,1,9.900,1.600,25,10.133,2.400,12,6.733,2.400,25,10.966,3.200,20,37.732,23,5 May 2022
297893,Freya Wano,Waitara,7,OVER,CSG Classic 2022,AA,1,DNS,DNS,DNS,DNS,DNS,DNS,10.300,4.000,9,0.000,0.000,25,DNF,-,5 May 2022
226317,Taylor Whiting,Hutt Valley Gymnastics,7,OVER,CSG Classic 2022,AA,1,10.000,2.400,23,9.300,2.100,20,DNS,DNS,DNS,11.533,3.300,13,DNF,-,5 May 2022
542097,Yuki Squires,North Harbour Gymnastics Cl…,7,OVER,CSG Classic 2022,AA,1,10.166,1.600,21,8.133,2.100,25,8.866,2.600,20,DNS,DNS,DNS,DNF,-,5 May 2022
136201,Olivia Ferguson,Christchurch School of Gymn…,7,OVER,CSG Classic 2022,AA,1,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,-,5 May 2022
