gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
91326,Willow Reid,Eastern Suburbs Gymnastics,7,UNDER,CSG Classic 2022,AA,1,10.300,1.600,22,12.966,4.200,1,12.800,4.400,2,13.100,4.100,1,49.166,1,5 May 2022
105381,Sarah Kennard,Eastern Suburbs Gymnastics,7,UNDER,CSG Classic 2022,AA,1,10.800,1.600,7=,11.966,3.500,3=,13.200,4.600,1,12.666,4.200,2,48.632,2,5 May 2022
245523,Maia McLaughlan,Hutt Valley Gymnastics,7,UNDER,CSG Classic 2022,AA,1,10.800,1.600,7=,11.933,3.500,6,12.700,4.300,3,12.466,4.100,5,47.899,3,5 May 2022
105397,Olivia Sue,Eastern Suburbs Gymnastics,7,UNDER,CSG Classic 2022,AA,1,11.833,3.200,1,11.266,3.100,13,12.433,4.300,4,11.733,4.000,11=,47.265,4,5 May 2022
534459,Madison Philpot,Invercargill Gymnastics Clu…,7,UNDER,CSG Classic 2022,AA,1,11.633,3.400,3,11.466,3.200,11,11.766,4.600,9,11.966,4.400,9,46.831,5,5 May 2022
218272,Ella Thomas,Christchurch School of Gymn…,7,UNDER,CSG Classic 2022,AA,1,10.366,1.600,19=,11.966,3.500,3=,11.933,4.300,8,12.533,4.300,3,46.798,6,5 May 2022
105334,Oliva Hermez,Eastern Suburbs Gymnastics,7,UNDER,CSG Classic 2022,AA,1,11.766,3.400,2,11.966,3.600,3=,10.800,3.800,18,12.133,4.100,7,46.665,7,5 May 2022
185851,Emily Barback,Impact,7,UNDER,CSG Classic 2022,AA,1,10.733,1.600,12=,12.233,3.500,2,12.000,3.700,7,11.300,3.700,17,46.266,8,5 May 2022
542050,Rebecca Tull,Invercargill Gymnastics Clu…,7,UNDER,CSG Classic 2022,AA,1,11.566,3.200,4,11.600,3.500,9,11.566,3.800,11,10.900,3.800,19,45.632,9,5 May 2022
240902,Elizabeth Longhurst,Hutt Valley Gymnastics,7,UNDER,CSG Classic 2022,AA,1,10.600,1.600,14,11.500,3.100,10,11.500,3.800,12,11.733,3.700,11=,45.333,10,5 May 2022
91281,Colbie De Jager,Eastern Suburbs Gymnastics,7,UNDER,CSG Classic 2022,AA,1,10.866,1.600,6,11.000,3.900,15,10.566,4.600,19,12.433,4.100,6,44.865,11,5 May 2022
218274,Kyla Cowles,Christchurch School of Gymn…,7,UNDER,CSG Classic 2022,AA,1,10.333,2.000,21,11.333,3.100,12,11.166,4.400,14,11.733,4.000,11=,44.565,12,5 May 2022
234254,Rosa Dawson,Queenstown Gymnastics Club,7,UNDER,CSG Classic 2022,AA,1,10.800,3.400,7=,11.133,3.000,14,11.133,2.900,15,11.433,3.500,15,44.499,13,5 May 2022
5013,Tait Sorenen,Eastern Suburbs Gymnastics,7,UNDER,CSG Classic 2022,AA,1,9.700,1.600,26,11.900,3.500,7,10.200,3.600,21,12.500,4.300,4,44.300,14,5 May 2022
279431,Paige Rhodes,Christchurch School of Gymn…,7,UNDER,CSG Classic 2022,AA,1,10.033,1.600,24,10.600,2.400,17,10.966,3.800,17,12.066,4.000,8,43.665,15,5 May 2022
262724,Briallen Aberhart,Hutt Valley Gymnastics,7,UNDER,CSG Classic 2022,AA,1,10.766,2.400,10=,10.166,2.100,18=,11.000,3.800,16,11.333,3.300,16,43.265,16,5 May 2022
278730,Te Ana Waiariki,Hutt Valley Gymnastics,7,UNDER,CSG Classic 2022,AA,1,10.766,2.400,10=,11.633,3.500,8,8.800,3.000,24,11.933,4.200,10,43.132,17,5 May 2022
105387,Emily King,Eastern Suburbs Gymnastics,7,UNDER,CSG Classic 2022,AA,1,10.400,1.600,18,9.666,3.100,22,11.666,4.000,10,11.233,3.700,18,42.965,18=,5 May 2022
539349,Alayna Wright,North Harbour Gymnastics Cl…,7,UNDER,CSG Classic 2022,AA,1,10.733,1.600,12=,10.833,2.700,16,12.266,3.800,5,9.133,2.000,24,42.965,18=,5 May 2022
542006,Kate Bisset,North Harbour Gymnastics Cl…,7,UNDER,CSG Classic 2022,AA,1,10.533,2.400,15=,9.533,2.700,23,12.133,3.800,6,10.166,2.800,21,42.365,20,5 May 2022
246882,Eve Pagan,Queenstown Gymnastics Club,7,UNDER,CSG Classic 2022,AA,1,10.433,2.000,17,9.066,2.100,25,10.533,4.300,20,11.466,3.600,14,41.498,21,5 May 2022
225926,Hannah Paterson,Olympia Gymsports,7,UNDER,CSG Classic 2022,AA,1,10.000,2.400,25,9.866,2.400,21,11.300,3.100,13,9.866,4.100,22,41.032,22,5 May 2022
188490,Makenzie Reddaway,Hutt Valley Gymnastics,7,UNDER,CSG Classic 2022,AA,1,10.933,2.400,5,10.166,3.500,18=,9.066,1.700,23,10.700,3.200,20,40.865,23,5 May 2022
273698,Alice Hector,Affinity Gymnastics Academy,7,UNDER,CSG Classic 2022,AA,1,10.200,1.600,23,9.300,2.100,24,8.400,2.300,25,8.700,2.100,25,36.600,24,5 May 2022
272241,Gabriella d'Auvergne,Olympia Gymsports,7,UNDER,CSG Classic 2022,AA,1,10.366,2.400,19=,DNS,DNS,DNS,4.733,2.000,26,9.733,3.700,23,DNF,-,5 May 2022
212830,Leah Austin,Hutt Valley Gymnastics,7,UNDER,CSG Classic 2022,AA,1,10.533,2.400,15=,9.900,3.000,20,10.100,3.300,22,DNS,DNS,DNS,DNF,-,5 May 2022
225402,Micah Whitley,Olympia Gymsports,7,UNDER,CSG Classic 2022,AA,1,9.333,1.600,27,8.633,2.100,26,DNS,DNS,DNS,8.366,2.700,26,DNF,-,5 May 2022
