gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
177374,Sienna Gilmore,Christchurch School of Gymn…,8,UNDER,CSG Classic 2022,AA,1,11.466,3.400,5,10.800,2.400,3,12.333,4.400,1,12.666,4.500,1,47.265,1,5 May 2022
164084,Elise Didierjean,Christchurch School of Gymn…,8,UNDER,CSG Classic 2022,AA,1,12.366,3.200,1,10.733,2.900,4,10.633,4.000,6,11.266,3.800,8,44.998,2,5 May 2022
215898,Sophie Jones,Twisters,8,UNDER,CSG Classic 2022,AA,1,11.266,2.600,6,10.233,2.400,5,11.733,3.500,3,11.700,3.500,3,44.932,3,5 May 2022
654518,Talaya Vorster,North Harbour Gymnastics Cl…,8,UNDER,CSG Classic 2022,AA,1,10.633,1.600,8,9.000,2.100,8,12.033,4.200,2,11.633,3.900,4=,43.299,4,5 May 2022
200572,Lulu Pearse,Christchurch School of Gymn…,8,UNDER,CSG Classic 2022,AA,1,10.500,1.600,9=,11.133,3.000,2,11.266,4.600,4,10.200,3.300,10,43.099,5,5 May 2022
258049,Elizabeth Litt,Christchurch School of Gymn…,8,UNDER,CSG Classic 2022,AA,1,11.700,3.200,2,9.033,2.300,7,10.666,4.000,5,11.533,3.600,6,42.932,6,5 May 2022
105421,Aria Johnstone,Eastern Suburbs Gymnastics,8,UNDER,CSG Classic 2022,AA,1,11.066,1.600,7,11.633,3.300,1,7.900,3.600,10,11.200,3.500,9,41.799,7,5 May 2022
542072,Sienna Shields,North Harbour Gymnastics Cl…,8,UNDER,CSG Classic 2022,AA,1,11.566,3.200,4,9.800,2.300,6,8.566,3.800,9,11.633,4.100,4=,41.565,8,5 May 2022
534480,Millie Scott,Invercargill Gymnastics Clu…,8,UNDER,CSG Classic 2022,AA,1,11.633,3.400,3,8.533,2.400,9,10.566,3.500,7,10.133,3.200,11,40.865,9,5 May 2022
188174,Claudia Renaud,Te Wero Gymnastics,8,UNDER,CSG Classic 2022,AA,1,DNS,DNS,DNS,DNS,DNS,DNS,10.533,4.400,8,12.166,4.300,2,DNF,-,5 May 2022
159461,Hayley Pye,Hutt Valley Gymnastics,8,UNDER,CSG Classic 2022,AA,1,9.600,1.600,11,DNS,DNS,DNS,DNS,DNS,DNS,11.400,3.400,7,DNF,-,5 May 2022
162119,Sophie Glasgow,Tri Star,8,UNDER,CSG Classic 2022,AA,1,10.500,1.600,9=,DNS,DNS,DNS,DNS,DNS,DNS,9.333,3.500,12,DNF,-,5 May 2022
