gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
141749,Jessica Lee-Joe,Capital Gymnastics,9,NONE,CSG Classic 2022,AA,1,12.100,3.400,6,10.200,3.200,7,12.150,4.000,1,12.250,3.700,3=,46.700,1,5 May 2022
173931,Lucy Roberts,Capital Gymnastics,9,NONE,CSG Classic 2022,AA,1,12.700,3.400,2,10.550,3.200,6,10.550,3.400,7,12.250,3.900,3=,46.050,2,5 May 2022
232105,Maddison Brick,Impact,9,NONE,CSG Classic 2022,AA,1,12.750,3.400,1,8.300,3.400,15,11.550,4.100,3,12.800,4.300,1,45.400,3,5 May 2022
140613,Bobbi Brown,Tri Star,9,NONE,CSG Classic 2022,AA,1,12.200,3.400,4=,10.900,3.400,3,11.150,4.700,5,10.900,3.200,9=,45.150,4,5 May 2022
102365,Ingrid Sims,Rimutaka,9,NONE,CSG Classic 2022,AA,1,11.250,3.400,13,11.250,3.400,1,11.600,4.100,2,10.900,4.200,9=,45.000,5,5 May 2022
119376,Georgia Dale,Tri Star,9,NONE,CSG Classic 2022,AA,1,12.550,3.400,3,9.900,2.700,9,9.250,4.400,13,12.000,3.800,5,43.700,6,5 May 2022
187241,Emily Moritz,Gymnastics Nelson,9,NONE,CSG Classic 2022,AA,1,10.900,1.600,14,10.950,3.100,2,10.200,2.800,8,11.550,3.800,6=,43.600,7,5 May 2022
534489,Amber Horwood,Invercargill Gymnastics Clu…,9,NONE,CSG Classic 2022,AA,1,12.200,3.400,4=,10.100,3.200,8,9.500,3.800,12,11.550,4.400,6=,43.350,8,5 May 2022
230603,Kate Seymour,Twisters,9,NONE,CSG Classic 2022,AA,1,11.950,3.200,8,8.550,2.500,14,11.250,3.600,4,10.900,3.500,9=,42.650,9,5 May 2022
542084,Sophie Farrell,North Harbour Gymnastics Cl…,9,NONE,CSG Classic 2022,AA,1,11.700,3.200,11,10.750,2.800,4,9.700,3.300,11,10.000,3.700,15,42.150,10,5 May 2022
225945,Anita Routledge,Gymnastics Nelson,9,NONE,CSG Classic 2022,AA,1,11.500,3.200,12,9.850,2.400,10,9.800,3.200,10,10.350,2.900,14,41.500,11,5 May 2022
542003,Kaitlin Viljoen,North Harbour Gymnastics Cl…,9,NONE,CSG Classic 2022,AA,1,10.800,1.600,15,9.800,2.600,11,8.500,4.100,15,11.100,3.600,8,40.200,12,5 May 2022
176428,Jacey Adams,Gymnastics Nelson,9,NONE,CSG Classic 2022,AA,1,9.950,1.600,16,9.150,2.400,12=,10.050,3.100,9,10.900,3.300,9=,40.050,13,5 May 2022
534484,Aaliyah Forbes,Invercargill Gymnastics Clu…,9,NONE,CSG Classic 2022,AA,1,11.850,3.400,10,9.150,3.300,12=,8.550,3.300,14,9.750,4.100,16,39.300,14,5 May 2022
541960,Cailin Sargent,North Harbour Gymnastics Cl…,9,NONE,CSG Classic 2022,AA,1,12.000,3.200,7,DNS,DNS,DNS,7.850,3.000,16,12.550,4.000,2,DNF,-,5 May 2022
153488,Charlotte Thompson,Christchurch School of Gymn…,9,NONE,CSG Classic 2022,AA,1,11.900,3.200,9,10.650,3.200,5,11.000,4.200,6,DNS,DNS,DNS,DNF,-,5 May 2022
304590,Serena Lim,Te Wero Gymnastics,9,NONE,CSG Classic 2022,AA,1,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,10.650,4.000,13,DNF,-,5 May 2022
