gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
594943,Aria Tamafuta,Hutt Valley Gymnastics,1,UNDER,Capital Juniors 2022,AA,,13.550,5.000,3=,13.900,5.000,1,14.150,5.000,2,13.700,5.000,2,55.300,1,23 May 2022
681188,Lux Makutu,Levin Gymnastics Club,1,UNDER,Capital Juniors 2022,AA,,13.450,5.000,5,13.300,5.000,3,14.050,5.000,3=,14.050,5.000,1,54.850,2,23 May 2022
657169,Laney Short,Manawatu Gymsports,1,UNDER,Capital Juniors 2022,AA,,13.350,5.000,6,12.850,5.000,6,14.350,5.000,1,12.850,4.500,7,53.400,3,23 May 2022
681190,Lylah Huse,Levin Gymnastics Club,1,UNDER,Capital Juniors 2022,AA,,13.550,5.000,3=,13.100,5.000,4,13.050,5.000,7=,13.100,5.000,6,52.800,4,23 May 2022
663574,Heidee Pratt,Levin Gymnastics Club,1,UNDER,Capital Juniors 2022,AA,,13.050,5.000,8,13.350,5.000,2,13.000,5.000,9,12.550,4.500,8=,51.950,5=,23 May 2022
570249,Aliyah O'Fee,Manawatu Gymsports,1,UNDER,Capital Juniors 2022,AA,,13.250,5.000,7,12.300,5.000,7,13.050,5.000,7=,13.350,5.000,3,51.950,5=,23 May 2022
633237,Mila Hudson,Manawatu Gymsports,1,UNDER,Capital Juniors 2022,AA,,11.900,5.000,11,11.950,5.000,8,13.100,5.000,6,13.200,5.000,5,50.150,7,23 May 2022
633906,Milly Lean,Manawatu Gymsports,1,UNDER,Capital Juniors 2022,AA,,13.600,5.000,2,13.050,5.000,5,10.700,5.000,11,12.550,5.000,8=,49.900,8,23 May 2022
302387,Keitāria Aumua,Manawatu Gymsports,1,UNDER,Capital Juniors 2022,AA,,12.800,5.000,9,11.100,5.000,9,12.850,5.000,10,12.050,5.000,11,48.800,9,23 May 2022
618031,Tova Grocott,Hutt Valley Gymnastics,1,UNDER,Capital Juniors 2022,AA,,13.850,5.000,1,6.550,3.500,10,14.050,5.000,3=,13.300,5.000,4,47.750,10,23 May 2022
617893,Mackenzie Burridge,Hutt Valley Gymnastics,1,UNDER,Capital Juniors 2022,AA,,12.550,5.000,10,5.700,3.000,11,13.400,5.000,5,12.450,4.500,10,44.100,11,23 May 2022
