gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
554430,Lilly de Hann,Twisters Tawa Gymnastics Cl…,1,UNDER,Capital Juniors 2022,AA,1,13.550,5.000,2,13.900,5.000,1,14.050,5.000,1,13.700,5.000,1,55.200,1,23 May 2022
628509,Chloe Rankin,Hutt Valley Gymnastics,1,UNDER,Capital Juniors 2022,AA,1,13.250,5.000,4,13.400,5.000,5,12.700,5.000,6,13.150,4.500,3,52.500,2,23 May 2022
559841,Harper Smith,Rimutaka Gymsports,1,UNDER,Capital Juniors 2022,AA,1,13.050,5.000,5,13.000,5.000,7,13.750,5.000,2,11.900,5.000,5,51.700,3,23 May 2022
641599,Olympia Barington-Prow…,Onslow Gymnastics,1,UNDER,Capital Juniors 2022,AA,1,14.050,5.000,1,13.650,5.000,4,10.950,4.000,10,12.700,5.000,4,51.350,4,23 May 2022
657184,Ellie Brownie,Onslow Gymnastics,1,UNDER,Capital Juniors 2022,AA,1,13.500,5.000,3,12.050,5.000,9,12.000,4.500,7,13.350,5.000,2,50.900,5,23 May 2022
557006,Ava Moraes-Schulz,Hutt Valley Gymnastics,1,UNDER,Capital Juniors 2022,AA,1,11.150,5.000,10,13.750,5.000,2,13.500,5.000,3,11.750,4.000,6=,50.150,6,23 May 2022
642911,Aurora Stupples,Hutt Valley Gymnastics,1,UNDER,Capital Juniors 2022,AA,1,11.750,5.000,9,13.700,5.000,3,12.950,5.000,5,10.700,4.000,10,49.100,7,23 May 2022
503680,Natalia Zimmerman,Rimutaka Gymsports,1,UNDER,Capital Juniors 2022,AA,1,12.650,5.000,6,11.100,5.000,10,13.050,5.000,4,11.150,4.000,9,47.950,8,23 May 2022
281304,Sienna Richardson,Hutt Valley Gymnastics,1,UNDER,Capital Juniors 2022,AA,1,10.500,5.000,11,12.650,5.000,8,11.950,5.000,8,11.400,4.500,8,46.500,9,23 May 2022
521694,Capri England,Rimutaka Gymsports,1,UNDER,Capital Juniors 2022,AA,1,11.850,5.000,8,10.750,5.000,11,11.800,5.000,9,11.750,4.000,6=,46.150,10,23 May 2022
670457,Evie Connell,Hutt Valley Gymnastics,1,UNDER,Capital Juniors 2022,AA,1,12.350,5.000,7,13.050,5.000,6,10.150,4.500,11,9.150,3.500,11,44.700,11,23 May 2022
