gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
302417,Ari Burton,Rimutaka Gymsports,3,UNDER,Capital Juniors 2022,AA,1,13.950,5.000,4,13.550,5.000,7=,14.250,5.000,2,13.900,5.000,1,55.650,1,23 May 2022
566951,Avee Hickey,Twisters Tawa Gymnastics Cl…,3,UNDER,Capital Juniors 2022,AA,1,13.600,5.000,11=,13.050,5.000,16=,14.400,5.000,1,13.300,5.000,9=,54.350,2,23 May 2022
566964,Lucie Tonkin,Twisters Tawa Gymnastics Cl…,3,UNDER,Capital Juniors 2022,AA,1,13.050,5.000,21=,13.750,5.000,2=,13.800,5.000,4,13.600,5.000,7,54.200,3,23 May 2022
281369,Grace Wright,Hutt Valley Gymnastics,3,UNDER,Capital Juniors 2022,AA,1,12.900,5.000,25,13.750,5.000,2=,13.650,4.500,5,13.650,5.000,6,53.950,4,23 May 2022
272474,Libby Hall,Hutt Valley Gymnastics,3,UNDER,Capital Juniors 2022,AA,1,13.850,5.000,5,13.600,5.000,5=,12.200,5.000,21,13.700,5.000,4=,53.350,5=,23 May 2022
272492,Ruby Brown,Hutt Valley Gymnastics,3,UNDER,Capital Juniors 2022,AA,1,14.000,5.000,3,13.750,5.000,2=,13.550,5.000,6,12.050,5.000,24,53.350,5=,23 May 2022
296576,Scarlett Harper,Kapiti Gymnastics,3,UNDER,Capital Juniors 2022,AA,1,14.050,5.000,2,13.200,5.000,12=,12.300,4.500,18=,13.700,5.000,4=,53.250,7,23 May 2022
596102,Xanthe McCutcheon,Harbour City Gymnastics,3,UNDER,Capital Juniors 2022,AA,1,13.500,5.000,14=,12.800,5.000,22=,13.050,4.500,12,13.800,5.000,2=,53.150,8=,23 May 2022
600802,Yolandy Russell,Twisters Tawa Gymnastics Cl…,3,UNDER,Capital Juniors 2022,AA,1,13.750,5.000,7,13.300,5.000,9=,13.300,4.500,9,12.800,5.000,13,53.150,8=,23 May 2022
261751,Olive Salmon,Manawatu Gymsports,3,UNDER,Capital Juniors 2022,AA,1,13.400,5.000,17,14.250,5.000,1,11.850,4.200,27,13.450,5.000,8,52.950,10,23 May 2022
295643,Sofia Creighton,Onslow Gymnastics,3,UNDER,Capital Juniors 2022,AA,1,14.200,5.000,1,13.300,5.000,9=,13.200,4.500,10,12.150,4.500,23,52.850,11,23 May 2022
296548,Alexa Ngan,Hutt Valley Gymnastics,3,UNDER,Capital Juniors 2022,AA,1,13.100,5.000,20,12.400,5.000,27,13.450,5.000,7,13.800,5.000,2=,52.750,12,23 May 2022
633272,Kia Hewitt,Manawatu Gymsports,3,UNDER,Capital Juniors 2022,AA,1,13.800,5.000,6,13.100,5.000,14=,13.100,4.500,11,12.650,5.000,15,52.650,13,23 May 2022
562627,Antonia Gorbushina,Onslow Gymnastics,3,UNDER,Capital Juniors 2022,AA,1,13.650,5.000,10,12.900,5.000,20=,13.350,4.500,8,12.350,5.000,20,52.250,14,23 May 2022
286779,Aurora Edwards,Manawatu Gymsports,3,UNDER,Capital Juniors 2022,AA,1,13.450,5.000,16,12.900,5.000,20=,12.650,4.500,15=,13.150,5.000,11,52.150,15,23 May 2022
600797,Emma Marks,Twisters Tawa Gymnastics Cl…,3,UNDER,Capital Juniors 2022,AA,1,12.500,5.000,30,12.650,5.000,25,14.150,5.000,3,12.500,5.000,17=,51.800,16,23 May 2022
682542,Carita Lindhér,Capital Gymnastics,3,UNDER,Capital Juniors 2022,AA,1,13.250,5.000,18,13.600,5.000,5=,12.300,5.000,18=,12.600,5.000,16,51.750,17,23 May 2022
548814,Mila Birch,Harbour City Gymnastics,3,UNDER,Capital Juniors 2022,AA,1,13.700,5.000,8=,12.800,5.000,22=,12.100,5.000,22=,12.750,5.000,14,51.350,18,23 May 2022
537780,Loula Dewes,Hutt Valley Gymnastics,3,UNDER,Capital Juniors 2022,AA,1,13.550,5.000,13,13.550,5.000,7=,12.750,4.500,14,11.050,4.000,33,50.900,19=,23 May 2022
570512,Obi Haworth,Onslow Gymnastics,3,UNDER,Capital Juniors 2022,AA,1,13.000,5.000,24,13.050,5.000,16=,13.000,4.500,13,11.850,4.500,26,50.900,19=,23 May 2022
591839,Gaia Gilbertson,Manawatu Gymsports,3,UNDER,Capital Juniors 2022,AA,1,13.500,5.000,14=,13.100,5.000,14=,12.650,5.000,15=,11.450,4.500,29,50.700,21,23 May 2022
600969,Charlotte Kirkwood,Twisters Tawa Gymnastics Cl…,3,UNDER,Capital Juniors 2022,AA,1,12.850,5.000,26=,12.800,5.000,22=,12.500,4.500,17,12.400,4.500,19,50.550,22,23 May 2022
283315,Ruby Fleet,Kapiti Gymnastics,3,UNDER,Capital Juniors 2022,AA,1,13.150,5.000,19,13.250,5.000,11,10.550,4.000,32,13.300,5.000,9=,50.250,23,23 May 2022
272458,Elise McLaughlin,Hutt Valley Gymnastics,3,UNDER,Capital Juniors 2022,AA,1,13.700,5.000,8=,13.200,5.000,12=,10.200,3.500,33,12.850,4.500,12,49.950,24,23 May 2022
511266,Kahlia Creedy,Manawatu Gymsports,3,UNDER,Capital Juniors 2022,AA,1,13.050,5.000,21=,13.050,5.000,16=,12.050,5.000,24,11.400,4.500,30=,49.550,25,23 May 2022
229071,Rose Kellett,Hutt Valley Gymnastics,3,UNDER,Capital Juniors 2022,AA,1,12.700,5.000,28,12.600,5.000,26,11.950,4.500,25,12.200,5.000,21=,49.450,26,23 May 2022
663576,Jade Milson,Levin Gymnastics Club,3,UNDER,Capital Juniors 2022,AA,1,12.450,5.000,31,12.200,5.000,30,12.300,5.000,18=,12.200,5.000,21=,49.150,27,23 May 2022
584093,Kiarah Finlayson,Manawatu Gymsports,3,UNDER,Capital Juniors 2022,AA,1,13.600,5.000,11=,12.250,5.000,29,11.400,5.000,29,11.650,4.000,28,48.900,28,23 May 2022
290325,Ameelia Roos,Hutt Valley Gymnastics,3,UNDER,Capital Juniors 2022,AA,1,12.200,5.000,32,12.000,5.000,32,11.700,4.000,28,12.500,5.000,17=,48.400,29,23 May 2022
522656,Georgia Campbell,Rimutaka Gymsports,3,UNDER,Capital Juniors 2022,AA,1,12.850,5.000,26=,13.000,5.000,19,10.150,3.500,34,11.900,4.500,25,47.900,30,23 May 2022
223149,Niamh Stewart,Hutt Valley Gymnastics,3,UNDER,Capital Juniors 2022,AA,1,12.550,5.000,29,11.450,5.000,34,12.100,4.200,22=,11.700,5.000,27,47.800,31,23 May 2022
243381,Emily Tomlinson,Manawatu Gymsports,3,UNDER,Capital Juniors 2022,AA,1,13.050,5.000,21=,12.300,5.000,28,10.850,4.000,31,11.350,4.500,32,47.550,32,23 May 2022
261748,Kiana Mokai,Manawatu Gymsports,3,UNDER,Capital Juniors 2022,AA,1,12.050,5.000,33,11.750,5.000,33,11.250,4.000,30,11.400,4.500,30=,46.450,33,23 May 2022
254139,Toscane Farcy,Rimutaka Gymsports,3,UNDER,Capital Juniors 2022,AA,1,12.000,5.000,34,12.150,5.000,31,11.900,4.500,26,9.900,4.000,34,45.950,34,23 May 2022
