gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
301186,Cara Cozo,Counties Manukau Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.450,5.000,4=,13.350,5.000,3,14.200,5.000,1=,13.400,5.000,1,54.400,1,10 May 2022
551024,Marley Stowers-Slatter,Counties Manukau Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.950,5.000,1,13.200,5.000,4=,13.400,5.000,4,13.300,5.000,2,53.850,2,10 May 2022
531990,Annabelle Peacock,Counties Manukau Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.050,5.000,11=,13.450,5.000,2,14.200,5.000,1=,12.750,5.000,6,53.450,3,10 May 2022
262671,Mia Abapo,Hamilton City Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.450,5.000,4=,13.800,5.000,1,12.750,4.500,12=,12.600,5.000,8,52.600,4,10 May 2022
218948,Cian Joe,Hastings Gymnastics Club,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.200,5.000,8,12.850,5.000,8=,13.200,4.500,5,12.950,5.000,4,52.200,5,10 May 2022
236936,Christabelle Tan,Counties Manukau Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.700,5.000,18=,12.850,5.000,8=,13.600,5.000,3,12.800,5.000,5,51.950,6,10 May 2022
179683,Alyssa Mitchell,Hamilton City Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.150,5.000,9=,13.100,5.000,6,13.100,5.000,7,11.700,5.000,14=,51.050,7,10 May 2022
187196,Paige Solly,Hamilton City Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.950,5.000,13,12.100,5.000,22=,13.000,5.000,8,12.650,5.000,7,50.700,8,10 May 2022
189259,Micah-Rose Galway,Counties Manukau Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.700,5.000,2,12.950,5.000,7,10.900,4.500,29,13.050,5.000,3,50.600,9,10 May 2022
206213,Mariska Sue,Hutt Valley Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.850,5.000,15,12.250,5.000,18,12.750,5.000,12=,12.350,5.000,11,50.200,10,10 May 2022
288947,Alyssa Reid,Counties Manukau Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.400,5.000,6,12.450,5.000,14,12.900,5.000,11,11.300,4.500,22,50.050,11,10 May 2022
246312,Daesharn Ewans-McMahon,Gymnastics Waitara,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.300,5.000,27,12.700,5.000,10,12.950,5.000,9=,11.900,5.000,13,49.850,12,10 May 2022
295365,Julia Pearson,Hastings Gymnastics Club,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.500,5.000,23,12.150,5.000,21,12.950,5.000,9=,12.200,4.500,12,49.800,13,10 May 2022
286548,Amelia Mowbray,Hamilton City Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.600,5.000,3,12.550,5.000,13,11.700,5.000,22=,11.400,5.000,20,49.250,14=,10 May 2022
209138,Emma Davis,Gymnastics Waitara,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.700,5.000,18=,12.400,5.000,15=,12.450,5.000,17,11.700,5.000,14=,49.250,14=,10 May 2022
217927,Jemma Button,Hamilton City Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.750,5.000,17,12.400,5.000,15=,10.850,5.000,30,12.550,5.000,9,48.550,16=,10 May 2022
272548,Lucia Hertanto,Hutt Valley Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.350,5.000,7,12.650,5.000,11=,11.050,4.500,26,11.500,4.500,19,48.550,16=,10 May 2022
254591,Jessica Royer,Counties Manukau Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.200,5.000,28,12.350,5.000,17,12.600,5.000,15,11.350,4.500,21,48.500,18,10 May 2022
160838,Taylor McCarthy,Hamilton City Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.350,5.000,24=,13.200,5.000,4=,11.150,5.000,25,11.550,5.000,16=,48.250,19=,10 May 2022
226366,Sia Vaka,Hutt Valley Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.650,5.000,20=,11.450,5.000,29,11.700,4.500,22=,12.450,5.000,10,48.250,19=,10 May 2022
555198,Alex McCutcheon,Central,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.350,5.000,24=,12.000,5.000,26,11.750,5.000,21,11.550,5.000,16=,47.650,21,10 May 2022
245525,Marieve Wilson - Bray,Hutt Valley Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.550,5.000,22,12.650,5.000,11=,12.500,5.000,16,9.850,5.000,28,47.550,22,10 May 2022
283203,Stevie-May Husband,Counties Manukau Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.800,5.000,16,12.100,5.000,22=,11.900,4.500,20,10.450,4.500,25,47.250,23,10 May 2022
