gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
301376,Olivia Teixeira,Eastern Suburbs Gymnastics …,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.700,5.000,6,13.650,5.000,2,13.750,5.000,2,13.200,5.000,5,54.300,1,10 May 2022
221769,Seren Hyslop,Eastern Suburbs Gymnastics …,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.600,5.000,7=,13.150,5.000,11=,13.600,5.000,4,13.800,5.000,1,54.150,2,10 May 2022
553132,Beatrix Nicol,Eastern Suburbs Gymnastics …,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.750,5.000,5,13.600,5.000,3,13.650,5.000,3,12.900,5.000,11=,53.900,3,10 May 2022
262671,Mia Abapo,Hamilton City Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.600,5.000,7=,13.700,5.000,1,13.050,5.000,7,12.750,5.000,14,53.100,4,10 May 2022
301186,Cara Cozo,Counties Manukau Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.900,5.000,2=,12.100,5.000,23,13.800,5.000,1,13.250,5.000,4,53.050,5,10 May 2022
179812,Francisca Marshall,Mid Island Gym Sports,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.800,5.000,4,13.350,5.000,4=,12.700,5.000,8,13.100,5.000,6,52.950,6,10 May 2022
218948,Cian Joe,Hastings Gymnastics Club,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.250,5.000,15,13.150,5.000,11=,13.100,5.000,6,13.000,5.000,8=,52.500,7,10 May 2022
247449,Mila Watherson,Impact Gymsport Academy,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,14.400,5.000,1,12.400,5.000,19,12.250,4.700,12,12.950,5.000,10,52.000,8,10 May 2022
551024,Marley Stowers-Slatter,Counties Manukau Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.200,5.000,16=,13.300,5.000,6=,12.000,5.000,15,13.450,5.000,3,51.950,9,10 May 2022
258752,Willow Carswell,Impact Gymsport Academy,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.900,5.000,2=,12.700,5.000,16,12.100,4.500,14,13.000,5.000,8=,51.700,10,10 May 2022
238233,Monique Cvitanich,Turn and Gymnastic Circle,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.300,5.000,13=,13.350,5.000,4=,11.800,4.500,16,13.050,5.000,7,51.500,11,10 May 2022
187196,Paige Solly,Hamilton City Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.300,5.000,13=,12.450,5.000,18,12.150,5.000,13,12.900,5.000,11=,50.800,12,10 May 2022
179611,Hope Schuster,Turn and Gymnastic Circle,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.400,5.000,12,13.300,5.000,6=,11.450,5.000,23,12.500,5.000,17=,50.650,13,10 May 2022
531990,Annabelle Peacock,Counties Manukau Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.800,5.000,20=,13.300,5.000,6=,13.300,5.000,5,10.950,5.000,25,50.350,14,10 May 2022
236936,Christabelle Tan,Counties Manukau Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.050,5.000,18=,12.150,5.000,22,12.600,5.000,10=,12.500,5.000,17=,50.300,15,10 May 2022
295365,Julia Pearson,Hastings Gymnastics Club,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.050,5.000,18=,12.200,5.000,21,10.900,4.000,24,13.600,5.000,2,49.750,16,10 May 2022
219712,Awatea Tana,Mid Island Gym Sports,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.800,5.000,20=,13.000,5.000,13,11.750,4.500,17,12.150,5.000,20,49.700,17,10 May 2022
256431,Abby Downes,Kapiti Gymnastics Club,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.600,5.000,7=,11.900,5.000,24=,11.500,4.000,20=,12.550,5.000,16,49.550,18,10 May 2022
288947,Alyssa Reid,Counties Manukau Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.450,5.000,11,11.900,5.000,24=,12.650,5.000,9,11.500,4.500,23=,49.500,19,10 May 2022
246312,Daesharn Ewans-McMahon,Gymnastics Waitara,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.400,5.000,24,13.300,5.000,6=,11.500,4.500,20=,12.200,5.000,19,49.400,20,10 May 2022
179683,Alyssa Mitchell,Hamilton City Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.800,5.000,20=,13.300,5.000,6=,11.600,4.500,19,11.500,4.500,23=,49.200,21=,10 May 2022
271121,Morghan Heron,Mid Island Gym Sports,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.200,5.000,16=,12.850,5.000,15,11.500,4.000,20=,11.650,5.000,21,49.200,21=,10 May 2022
189259,Micah-Rose Galway,Counties Manukau Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.600,5.000,7=,12.600,5.000,17,10.100,4.000,25,12.700,5.000,15,49.000,23,10 May 2022
206213,Mariska Sue,Hutt Valley Gymnastics,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.500,5.000,23,12.300,5.000,20,11.650,5.000,18,11.600,5.000,22,48.050,24,10 May 2022
516873,Eloise Towersey,Eastern Suburbs Gymnastics …,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,0.000,0.000,25,12.900,5.000,14,12.600,4.500,10=,12.850,5.000,13,38.350,25,10 May 2022
214492,Ava Ellison,Impact Gymsport Academy,5,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,-,10 May 2022
